[locus_tag=SynWH7803_0001],[protein_id=CAK22427.1],[gene=dnaN],[protein=DNA polymerase III beta subunit],[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=7.58933E-157]
[locus_tag=SynWH7803_1325],[protein_id=CAK23751.1],[gene=proA],[protein=Gamma-glutamyl phosphate reductase],[locus_tag=PMM0590],[protein_id=CAE19049.1],[gene=proA],[protein=Gamma-glutamyl phosphate reductase],[evalue=4.07064E-48]
[locus_tag=SynWH7803_1326],[protein_id=CAK23752.1],[gene=proA],[protein=Gamma-glutamyl phosphate reductase],[locus_tag=PMM0590],[protein_id=CAE19049.1],[gene=proA],[protein=Gamma-glutamyl phosphate reductase],[evalue=5.49710E-24]
[locus_tag=SynWH7803_1328],[protein_id=CAK23754.1],[gene=tsf],[protein=Translation elongation factor Ts],[locus_tag=PMM0754],[protein_id=CAE19213.1],[gene=tsf],[protein=putative Elongation factor Ts],[evalue=5.59490E-125]
[locus_tag=SynWH7803_1329],[protein_id=CAK23755.1],[gene=rpsB],[protein=30S ribosomal protein S2],[locus_tag=PMM0753],[protein_id=CAE19212.1],"[gene=rps2, rpsB]",[protein=30S ribosomal protein S2],[evalue=3.37748E-162]
[locus_tag=SynWH7803_1330],[protein_id=CAK23756.1],[gene=None],[protein=Glycosyltransferase of family GT2],[locus_tag=PMM0752],[protein_id=CAE19211.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=3.09416E-129]
[locus_tag=SynWH7803_1331],[protein_id=CAK23757.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0751],[protein_id=CAE19210.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.08762E-23]
[locus_tag=SynWH7803_1332],[protein_id=CAK23758.1],[gene=devA],[protein=DevA-like ABC transporter ATPase component],[locus_tag=PMM0750],[protein_id=CAE19209.1],[gene=None],"[protein=ABC transporter, ATP-binding component]",[evalue=1.37346E-114],[locus_tag=PMM0434],[protein_id=CAE18893.1],[gene=None],"[protein=possible ABC transporter, ATP binding protein]",[evalue=1.45947E-40],[locus_tag=PMM0803],[protein_id=CAE19262.1],"[gene=futC, sfuC]","[protein=ABC transporter, ATP binding component, possibly iron transporter]",[evalue=3.71658E-40]
[locus_tag=SynWH7803_1333],[protein_id=CAK23759.1],[gene=devC],[protein=DevC-like ABC transporter permease component],[locus_tag=PMM0749],[protein_id=CAE19208.1],[gene=None],"[protein=ABC-transporter, membrane spanning component]",[evalue=0.00000E+00]
[locus_tag=SynWH7803_1334],[protein_id=CAK23760.1],[gene=devB],[protein=DevB-like secretion protein],[locus_tag=PMM0748],[protein_id=CAE19207.1],[gene=None],[protein=possible ABC transporter component],[evalue=3.86646E-91]
[locus_tag=SynWH7803_1335],[protein_id=CAK23761.1],[gene=pcyA],[protein=Phycocyanobilin:ferredoxin oxidoreductase],[locus_tag=PMM0747],[protein_id=CAE19206.1],[gene=pcyA],[protein=ferredoxin-dependent biliverdin reductase],[evalue=2.06689E-58]
[locus_tag=SynWH7803_1336],[protein_id=CAK23762.1],[gene=None],[protein=Zn-dependent peptidase],[locus_tag=PMM0746],[protein_id=CAE19205.1],[gene=None],[protein=Possible Zn-dependent peptidase],[evalue=4.82061E-96]
[locus_tag=SynWH7803_1337],[protein_id=CAK23763.1],[gene=None],[protein=Predicted Zn-dependent peptidase],[locus_tag=PMM0745],[protein_id=CAE19204.1],[gene=None],[protein=Insulinase family (Peptidase family M16)],[evalue=1.08678E-61]
[locus_tag=SynWH7803_1338],[protein_id=CAK23764.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0744],[protein_id=CAE19203.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.45036E-21]
[locus_tag=SynWH7803_1339],[protein_id=CAK23765.1],[gene=None],[protein=Uncharacterized BioY family conserved membrane protein],[locus_tag=PMM0914],[protein_id=CAE19373.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.40176E-14]
[locus_tag=SynWH7803_1340],[protein_id=CAK23766.1],[gene=lspA],[protein=Lipoprotein signal peptidase],[locus_tag=PMM0915],[protein_id=CAE19374.1],[gene=None],[protein=putative lipoprotein signal peptidase],[evalue=1.43149E-21]
[locus_tag=SynWH7803_1341],[protein_id=CAK23767.1],[gene=None],[protein=Glycosyltransferase of family GT51; modular; contains a C-terminal transpeptidase domain; probable murein polymerase],[locus_tag=PMM0427],[protein_id=CAE18886.1],[gene=None],[protein=putative penicillin binding protein],[evalue=5.26038E-72]
[locus_tag=SynWH7803_1342],[protein_id=CAK23768.1],[gene=None],[protein=Membrane associated GTPase],[locus_tag=PMM0916],[protein_id=CAE19375.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.95894E-113],[locus_tag=PMM1444],[protein_id=CAE19903.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.88026E-16]
[locus_tag=SynWH7803_1343],[protein_id=CAK23769.1],[gene=None],[protein=Pyridoxal-dependent decarboxylase family protein],[locus_tag=PMM0917],[protein_id=CAE19376.1],[gene=None],[protein=Pyridoxal-dependent decarboxylase family protein],[evalue=8.63510E-138]
[locus_tag=SynWH7803_1344],[protein_id=CAK23770.1],[gene=tadA],[protein=tRNA-specific adenosine deaminase],[locus_tag=PMM0918],[protein_id=CAE19377.1],[gene=None],[protein=putative cytidine/deoxycytidylate deaminase],[evalue=2.77055E-64]
[locus_tag=SynWH7803_1345],[protein_id=CAK23771.1],"[gene=spt, agt]",[protein=Alanine--glyoxylate transaminase],[locus_tag=PMM0919],[protein_id=CAE19378.1],"[gene=spt, agt]",[protein=serine:pyruvate/alanine:glyoxylate aminotransferase],[evalue=0.00000E+00],[locus_tag=PMM0035],[protein_id=CAE18494.1],[gene=DHSS],[protein=soluble hydrogenase small subunit],[evalue=4.57205E-59]
[locus_tag=SynWH7803_1346],[protein_id=CAK23772.1],[gene=apcE],[protein=Allophycocyanin beta-18 subunit],[locus_tag=PMM0305],[protein_id=CAE18764.1],[gene=cpeB],[protein=Phycobilisome protein],[evalue=1.35796E-12]
[locus_tag=SynWH7803_1347],[protein_id=CAK23773.1],[gene=glnAI],"[protein=Glutamine synthetase, glutamate ammonia ligase]",[locus_tag=PMM0920],[protein_id=CAE19379.1],[gene=glnA],"[protein=Glutamine synthetase, glutamate--ammonia ligase]",[evalue=0.00000E+00]
[locus_tag=SynWH7803_1349],[protein_id=CAK23775.1],[gene=None],[protein=SAM-dependent methyltransferase],[locus_tag=PMM0921],[protein_id=CAE19380.1],[gene=None],[protein=SAM (and some other nucleotide) binding motif:Generic methyl-transferase],[evalue=9.64238E-147]
[locus_tag=SynWH7803_1350],[protein_id=CAK23776.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0687],[protein_id=CAE19146.1],[gene=None],[protein=conserved hypothetical],[evalue=5.12181E-19]
[locus_tag=SynWH7803_1351],[protein_id=CAK23777.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0922],[protein_id=CAE19381.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.31590E-11]
[locus_tag=SynWH7803_1352],[protein_id=CAK23778.1],[gene=rsbW],[protein=Anti-sigma regulatory factor],[locus_tag=PMM0923],[protein_id=CAE19382.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.34675E-52]
[locus_tag=SynWH7803_1353],[protein_id=CAK23779.1],[gene=None],[protein=Conserved hypothetical protein with a GUN4-like domain],[locus_tag=PMM0924],[protein_id=CAE19383.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.53111E-85]
[locus_tag=SynWH7803_1354],[protein_id=CAK23780.1],[gene=None],[protein=Predicted ATPase],[locus_tag=PMM0925],[protein_id=CAE19384.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.63367E-91]
[locus_tag=SynWH7803_1355],[protein_id=CAK23781.1],[gene=psb28],[protein=Photosystem II reaction centre Psb28 protein],[locus_tag=PMM0926],[protein_id=CAE19385.1],[gene=psb28],[protein=possible Photosystem II reaction center Psb28 protein],[evalue=9.50495E-51]
[locus_tag=SynWH7803_1356],[protein_id=CAK23782.1],[gene=None],[protein=Predicted permease],[locus_tag=PMM0927],[protein_id=CAE19386.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.68513E-96]
[locus_tag=SynWH7803_1357],[protein_id=CAK23783.1],[gene=None],[protein=Predicted permease],[locus_tag=PMM0927],[protein_id=CAE19386.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.18662E-32]
[locus_tag=SynWH7803_1358],[protein_id=CAK23784.1],[gene=None],[protein=Flavin reductase like domain protein],[locus_tag=PMM0883],[protein_id=CAE19342.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.25815E-80],[locus_tag=PMM0042],[protein_id=CAE18501.1],[gene=None],[protein=flavoprotein],[evalue=1.07445E-13]
[locus_tag=SynWH7803_1361],[protein_id=CAK23787.1],[gene=secF],[protein=Preprotein translocase SecF subunit],[locus_tag=PMM0928],[protein_id=CAE19387.1],[gene=secF],[protein=preprotein translocase subunit],[evalue=4.62450E-80]
[locus_tag=SynWH7803_1362],[protein_id=CAK23788.1],[gene=secD],[protein=Preprotein translocase SecD subunit],[locus_tag=PMM0929],[protein_id=CAE19388.1],[gene=secD],[protein=preprotein translocase subunit],[evalue=0.00000E+00]
[locus_tag=SynWH7803_1363],[protein_id=CAK23789.1],[gene=pdhB],[protein=Pyruvate dehydrogenase E1 component beta subunit],[locus_tag=PMM0930],[protein_id=CAE19389.1],[gene=pdhB],[protein=Pyruvate dehydrogenase E1 beta subunit],[evalue=0.00000E+00],[locus_tag=PMM0907],[protein_id=CAE19366.1],[gene=Dxs],[protein=1-deoxy-D-xylulose 5-phosphate synthase],[evalue=3.97563E-14],[locus_tag=PMM1230],[protein_id=CAE19689.1],[gene=None],[protein=dehydrogenase E1 component beta subunit],[evalue=1.52340E-13]
[locus_tag=SynWH7803_1364],[protein_id=CAK23790.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM0931],[protein_id=CAE19390.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.37746E-29]
[locus_tag=SynWH7803_1365],[protein_id=CAK23791.1],[gene=ispE],[protein=4-diphosphocytidyl-2-C-methyl-D-erythritol kinase],[locus_tag=PMM0932],[protein_id=CAE19391.1],[gene=ispE],[protein=Putative 4-diphosphocytidyl-2C-methyl-D-erythritol kinase (CMK)],[evalue=1.06334E-97]
[locus_tag=SynWH7803_1366],[protein_id=CAK23792.1],[gene=ksgA],[protein=Dimethyladenosine transferase],[locus_tag=PMM0933],[protein_id=CAE19392.1],[gene=None],"[protein=putative rRNA (adenine-N6,N6)-dimethyltransferase]",[evalue=1.73154E-83]
[locus_tag=SynWH7803_1370],[protein_id=CAK23796.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1106],[protein_id=CAE19565.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.40234E-40]
[locus_tag=SynWH7803_1371],[protein_id=CAK23797.1],[gene=pdxJ],[protein=Pyridoxal phosphate biosynthetic protein PdxJ],[locus_tag=PMM1107],[protein_id=CAE19566.1],[gene=pdxJ],[protein=Pyridoxal phosphate biosynthetic protein PdxJ],[evalue=5.50111E-105]
[locus_tag=SynWH7803_1372],[protein_id=CAK23798.1],[gene=plsC],[protein=1-acyl-sn-glycerol-3-phosphate acyltransferase],[locus_tag=PMM1108],[protein_id=CAE19567.1],[gene=None],[protein=Phospholipid and glycerol acyltransferase (from 'motifs_6.msf')],[evalue=1.01653E-66]
[locus_tag=SynWH7803_1373],[protein_id=CAK23799.1],[gene=None],[protein=Uncharacterized conserved secreted protein],[locus_tag=PMM1109],[protein_id=CAE19568.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.81028E-56]
[locus_tag=SynWH7803_1374],[protein_id=CAK23800.1],[gene=None],[protein=BolA-like protein],[locus_tag=PMM1110],[protein_id=CAE19569.1],[gene=None],[protein=BolA-like protein],[evalue=2.24763E-26]
[locus_tag=SynWH7803_1375],[protein_id=CAK23801.1],[gene=None],[protein=Glutaredoxin-related protein],[locus_tag=PMM1111],[protein_id=CAE19570.1],[gene=None],[protein=Glutaredoxin-related protein],[evalue=6.10356E-61]
[locus_tag=SynWH7803_1376],[protein_id=CAK23802.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1112],[protein_id=CAE19571.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.38837E-38]
[locus_tag=SynWH7803_1377],[protein_id=CAK23803.1],[gene=None],[protein=Two component system response regulator],[locus_tag=PMM1113],[protein_id=CAE19572.1],[gene=None],[protein=two-component response regulator],[evalue=2.69850E-139],[locus_tag=PMM0705],[protein_id=CAE19164.1],[gene=phoB],"[protein=two-component response regulator, phosphate]",[evalue=1.23838E-26],[locus_tag=PMM1619],[protein_id=CAE20078.1],[gene=None],[protein=two-component response regulator],[evalue=6.84382E-24]
[locus_tag=SynWH7803_1378],[protein_id=CAK23804.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM1114],[protein_id=CAE19573.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.10964E-31]
[locus_tag=SynWH7803_1380],[protein_id=CAK23806.1],[gene=crtH],[protein=Carotenoid isomerase],[locus_tag=PMM1115],[protein_id=CAE19574.1],[gene=crtH],[protein=putative carotenoid isomerase],[evalue=0.00000E+00],[locus_tag=PMM0339],[protein_id=CAE18798.1],[gene=T8L23.23],[protein=Bacterial-type phytoene dehydrogenase],[evalue=1.27215E-47]
[locus_tag=SynWH7803_1382],[protein_id=CAK23808.1],[gene=None],[protein=Protein gid homolog],[locus_tag=PMM1116],[protein_id=CAE19575.1],[gene=gidA],[protein=NAD binding site:Glucose inhibited division protein A family],[evalue=0.00000E+00]
[locus_tag=SynWH7803_1385],[protein_id=CAK23811.1],[gene=None],[protein=Two-component system response regulator (signal receiver domain)],[locus_tag=PMM0134],[protein_id=CAE18593.1],[gene=rpaB],[protein=two-component response regulator],[evalue=5.69754E-15],[locus_tag=PMM1619],[protein_id=CAE20078.1],[gene=None],[protein=two-component response regulator],[evalue=1.08802E-13],[locus_tag=PMM0705],[protein_id=CAE19164.1],[gene=phoB],"[protein=two-component response regulator, phosphate]",[evalue=3.94702E-13]
[locus_tag=SynWH7803_1389],[protein_id=CAK23815.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM1037],[protein_id=CAE19496.1],[gene=None],[protein=conserved hypothetical],[evalue=3.27997E-25]
[locus_tag=SynWH7803_1392],[protein_id=CAK23818.1],[gene=fur],[protein=Ferric uptake regulator family protein],[locus_tag=PMM0637],[protein_id=CAE19096.1],[gene=fur],[protein=Ferric uptake regulator family],[evalue=2.72240E-57]
[locus_tag=SynWH7803_1393],[protein_id=CAK23819.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM0622],[protein_id=CAE19081.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.52752E-46]
[locus_tag=SynWH7803_1394],[protein_id=CAK23820.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0395],[protein_id=CAE18854.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.37227E-22]
[locus_tag=SynWH7803_1395],[protein_id=CAK23821.1],[gene=None],[protein=Predicted Fe-S oxidoreductase],[locus_tag=PMM0638],[protein_id=CAE19097.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.32199E-118]
[locus_tag=SynWH7803_1398],[protein_id=CAK23824.1],[gene=stpA],[protein=Glucosylglycerol-phosphate phosphatase (Salt tolerance protein A)],[locus_tag=PMM0639],[protein_id=CAE19098.1],[gene=stpA],[protein=putative glucosylglycerolphosphate phosphatase],[evalue=2.91633E-128]
[locus_tag=SynWH7803_1399],[protein_id=CAK23825.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0640],[protein_id=CAE19099.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.30059E-176]
[locus_tag=SynWH7803_1406],[protein_id=CAK23832.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0641],[protein_id=CAE19100.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.92297E-55]
[locus_tag=SynWH7803_1407],[protein_id=CAK23833.1],[gene=cysD],[protein=O-Acetyl homoserine sulfhydrylase],[locus_tag=PMM0642],[protein_id=CAE19101.1],[gene=cysD],[protein=putative O-Acetyl homoserine sulfhydrylase],[evalue=0.00000E+00],[locus_tag=PMM0409],[protein_id=CAE18868.1],[gene=metB],[protein=putative Cystathionine gamma-synthase],[evalue=1.61567E-43]
[locus_tag=SynWH7803_1408],[protein_id=CAK23834.1],[gene=metA],[protein=Homoserine O-succinyltransferase],[locus_tag=PMM0643],[protein_id=CAE19102.1],[gene=metA],[protein=putative homoserine O-succinyltransferase],[evalue=2.87196E-178]
[locus_tag=SynWH7803_1412],[protein_id=CAK23838.1],[gene=None],[protein=Predicted permease],[locus_tag=PMM1175],[protein_id=CAE19634.1],[gene=None],"[protein=possible AEC transporter family, substrate unknown]",[evalue=1.17165E-44]
[locus_tag=SynWH7803_1414],[protein_id=CAK23840.1],[gene=None],"[protein=ABC transporter for amino acids, ATP binding component]",[locus_tag=PMM0434],[protein_id=CAE18893.1],[gene=None],"[protein=possible ABC transporter, ATP binding protein]",[evalue=1.20613E-44],[locus_tag=PMM0750],[protein_id=CAE19209.1],[gene=None],"[protein=ABC transporter, ATP-binding component]",[evalue=5.04687E-40],[locus_tag=PMM0372],[protein_id=CAE18831.1],[gene=None],[protein=putative cyanate ABC transporter],[evalue=1.64614E-33]
[locus_tag=SynWH7803_1420],[protein_id=CAK23846.1],[gene=None],"[protein=Sulfate permease, MFS superfamily]",[locus_tag=PMM0644],[protein_id=CAE19103.1],[gene=None],[protein=putative sulfate transporter],[evalue=0.00000E+00],[locus_tag=PMM0214],[protein_id=CAE18673.1],[gene=None],[protein=putative sulfate transporter],[evalue=2.61196E-38]
[locus_tag=SynWH7803_1421],[protein_id=CAK23847.1],[gene=None],[protein=FAD/FMN-containing dehydrogenase],[locus_tag=PMM0645],[protein_id=CAE19104.1],[gene=None],"[protein=FAD linked oxidase, N-terminal]",[evalue=3.04323E-89]
[locus_tag=SynWH7803_1422],[protein_id=CAK23848.1],[gene=cbiX],[protein=Putative sirohydrochlorin cobaltochelatase],[locus_tag=PMM0646],[protein_id=CAE19105.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.20314E-148]
[locus_tag=SynWH7803_1423],[protein_id=CAK23849.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0647],[protein_id=CAE19106.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.47058E-22],[locus_tag=PMM1429],[protein_id=CAE19888.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.83263E-13]
[locus_tag=SynWH7803_1424],[protein_id=CAK23850.1],[gene=betA],[protein=Choline dehydrogenase],[locus_tag=PMM0648],[protein_id=CAE19107.1],[gene=None],[protein=Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site],[evalue=0.00000E+00]
[locus_tag=SynWH7803_1425],[protein_id=CAK23851.1],[gene=None],[protein=L-asparaginase II],[locus_tag=PMM0821],[protein_id=CAE19280.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.37990E-126]
[locus_tag=SynWH7803_1426],[protein_id=CAK23852.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM0822],[protein_id=CAE19281.1],[gene=K8K14.9],[protein=putative protein],[evalue=8.81798E-36]
[locus_tag=SynWH7803_1427],[protein_id=CAK23853.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0823],[protein_id=CAE19282.1],[gene=None],[protein=Domain of unknown function DUF143:Iojap-related protein],[evalue=1.03735E-42]
[locus_tag=SynWH7803_1428],[protein_id=CAK23854.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0824],[protein_id=CAE19283.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.07548E-117]
[locus_tag=SynWH7803_1429],[protein_id=CAK23855.1],[gene=carB],[protein=Carbamoylphosphate synthase large subunit],[locus_tag=PMM0825],[protein_id=CAE19284.1],[gene=carB],"[protein=carbamoyl-phosphate synthase, large subunit]",[evalue=0.00000E+00],[locus_tag=PMM0060],[protein_id=CAE18519.1],"[gene=accC, fabG]","[protein=acetyl-CoA carboxylase, biotin carboxylase subunit]",[evalue=6.63412E-11]
[locus_tag=SynWH7803_1430],[protein_id=CAK23856.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1170],[protein_id=CAE19629.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.30074E-65]
[locus_tag=SynWH7803_1432],[protein_id=CAK23858.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1131],[protein_id=CAE19590.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.47165E-26],[locus_tag=PMM0826],[protein_id=CAE19285.1],[gene=None],[protein=hypothetical],[evalue=7.46375E-25]
[locus_tag=SynWH7803_1433],[protein_id=CAK23859.1],[gene=mdlB],"[protein=ABC-type multidrug transport system, ATPase and permease components]",[locus_tag=PMM0827],[protein_id=CAE19286.1],[gene=None],"[protein=ABC transporter, possibly multidrug efflux]",[evalue=0.00000E+00],[locus_tag=PMM1099],[protein_id=CAE19558.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=2.61778E-74],[locus_tag=PMM0954],[protein_id=CAE19413.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[evalue=2.34261E-71]
[locus_tag=SynWH7803_1434],[protein_id=CAK23860.1],[gene=None],[protein=S4-like RNA-binding protein],[locus_tag=PMM0828],[protein_id=CAE19287.1],[gene=None],[protein=S4 domain],[evalue=1.87357E-18]
[locus_tag=SynWH7803_1435],[protein_id=CAK23861.1],"[gene=tpiA, tpi, cbbJ, tim]",[protein=Triosephosphate isomerase],[locus_tag=PMM0829],[protein_id=CAE19288.1],"[gene=tpi, cbbJ]",[protein=Triosephosphate isomerase],[evalue=7.25308E-124]
[locus_tag=SynWH7803_1436],[protein_id=CAK23862.1],[gene=folP],[protein=Dihydropteroate synthase],[locus_tag=PMM0830],[protein_id=CAE19289.1],[gene=folP],[protein=putative dihydropteroate synthase],[evalue=5.59926E-97]
[locus_tag=SynWH7803_1437],[protein_id=CAK23863.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0423],[protein_id=CAE18882.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.00179E-42]
[locus_tag=SynWH7803_1438],[protein_id=CAK23864.1],[gene=chlH],[protein=Protoporphyrin IX Mg-chelatase subunit],[locus_tag=PMM0831],[protein_id=CAE19290.1],[gene=chlH],"[protein=protoporphyrin IX magnesium chelatase, subunit chlH]",[evalue=0.00000E+00],[locus_tag=PMM0879],[protein_id=CAE19338.1],[gene=CobN],[protein=cobalamin biosynthetic protein CobN],[evalue=4.78912E-105]
[locus_tag=SynWH7803_1439],[protein_id=CAK23865.1],[gene=dapB],[protein=Dihydrodipicolinate reductase],[locus_tag=PMM0832],[protein_id=CAE19291.1],[gene=dapB],[protein=Dihydrodipicolinate reductase],[evalue=1.03766E-129]
[locus_tag=SynWH7803_1440],[protein_id=CAK23866.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM0833],[protein_id=CAE19292.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.55160E-84]
[locus_tag=SynWH7803_1441],[protein_id=CAK23867.1],[gene=hli],[protein=High light inducible protein],[locus_tag=PMM1398],[protein_id=CAE19857.1],[gene=hli7],[protein=possible high light inducible protein],[evalue=9.11460E-13],[locus_tag=PMM0817],[protein_id=CAE19276.1],[gene=hli17],[protein=possible high light inducible protein],[evalue=9.11460E-13],[locus_tag=PMM1135],[protein_id=CAE19594.1],[gene=hli14],[protein=possible high light inducible protein],[evalue=1.76939E-12]
[locus_tag=SynWH7803_1442],[protein_id=CAK23868.1],[gene=ubiH],[protein=Putative 2-octaprenyl-6-methoxyphenol hydroxylase],[locus_tag=PMM0834],[protein_id=CAE19293.1],[gene=ubiH],[protein=possible 2-octaprenyl-6-methoxyphenol 4-monoxygenase; UbiH],[evalue=4.94153E-77]
[locus_tag=SynWH7803_1444],[protein_id=CAK23870.1],[gene=apt],[protein=Adenine phosphoribosyltransferase],[locus_tag=PMM1122],[protein_id=CAE19581.1],[gene=apt],[protein=Phosphoribosyl transferase],[evalue=6.41209E-37]
[locus_tag=SynWH7803_1445],[protein_id=CAK23871.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0836],[protein_id=CAE19295.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.81085E-30]
[locus_tag=SynWH7803_1446],[protein_id=CAK23872.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0837],[protein_id=CAE19296.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.36173E-20]
[locus_tag=SynWH7803_1449],[protein_id=CAK23875.1],[gene=None],[protein=Two-component system response regulator],[locus_tag=PMM0134],[protein_id=CAE18593.1],[gene=rpaB],[protein=two-component response regulator],[evalue=4.29083E-43],[locus_tag=PMM1619],[protein_id=CAE20078.1],[gene=None],[protein=two-component response regulator],[evalue=8.03030E-42],[locus_tag=PMM0705],[protein_id=CAE19164.1],[gene=phoB],"[protein=two-component response regulator, phosphate]",[evalue=2.51737E-39]
[locus_tag=SynWH7803_1452],[protein_id=CAK23878.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0629],[protein_id=CAE19088.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.15964E-32]
[locus_tag=SynWH7803_1455],[protein_id=CAK23881.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1884],[protein_id=CAP16388.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=5.25166E-13]
[locus_tag=SynWH7803_1459],[protein_id=CAK23885.1],[gene=proP],[protein=Permease of the major facilitator superfamily / multidrug efflux transporter],[locus_tag=PMM0712],[protein_id=CAE19171.1],[gene=None],"[protein=multidrug efflux transporter, MFS family]",[evalue=0.00000E+00]
[locus_tag=SynWH7803_1460],[protein_id=CAK23886.1],[gene=gap3],[protein=Glyceraldehyde-3-phosphate dehydrogenase],[locus_tag=PMM0713],[protein_id=CAE19172.1],[gene=gap1],[protein=Putative glyceraldehyde 3-phosphate dehydrogenase],[evalue=4.41506E-180],[locus_tag=PMM0023],[protein_id=CAE18482.1],[gene=gap2],[protein=Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)],[evalue=7.54338E-93]
[locus_tag=SynWH7803_1461],[protein_id=CAK23887.1],[gene=arsR],"[protein=Predicted transcriptional regulator, arsR family]",[locus_tag=PMM0714],[protein_id=CAE19173.1],[gene=None],"[protein=Bacterial regulatory proteins, ArsR family]",[evalue=8.87558E-30]
[locus_tag=SynWH7803_1462],[protein_id=CAK23888.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1383],[protein_id=CAE19842.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.07667E-66]
[locus_tag=SynWH7803_1464],[protein_id=CAK23890.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0651],[protein_id=CAE19110.1],[gene=None],[protein=possible VHS domain],[evalue=7.14533E-21]
[locus_tag=SynWH7803_1468],[protein_id=CAK23894.1],[gene=tesA],[protein=Lysophospholipase L1 and related esterases],[locus_tag=PMM0670],[protein_id=CAE19129.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.10292E-89]
