[locus_tag=SynWH8103_00001],[protein_id=CRY90759.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=3.93831E-159]
[locus_tag=SynWH8103_01338],[protein_id=CRY92067.1],[gene=None],[protein=uncharacterized membrane protein],[locus_tag=PMM0849],[protein_id=CAE19308.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.82926E-20],[locus_tag=PMM0848],[protein_id=CAE19307.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.72166E-19]
[locus_tag=SynWH8103_01339],[protein_id=CRY92068.1],[gene=None],[protein=flagellin N-methylase family protein],[locus_tag=PMM0850],[protein_id=CAE19309.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.66357E-30]
[locus_tag=SynWH8103_01341],[protein_id=CRY92070.1],[gene=None],"[protein=HAD hydrolase, IA, variant 3 family protein]",[locus_tag=PMM0851],[protein_id=CAE19310.1],[gene=None],[protein=Putative CbbY homolog],[evalue=9.03346E-61]
[locus_tag=SynWH8103_01342],[protein_id=CRY92071.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0852],[protein_id=CAE19311.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.36728E-09]
[locus_tag=SynWH8103_01344],[protein_id=CRY92072.1],[gene=None],[protein=phosphoribulokinase/uridine kinase family enzyme],[locus_tag=PMM0959],[protein_id=CAE19418.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.21325E-76]
[locus_tag=SynWH8103_01343],[protein_id=CRY92073.1],[gene=rpmF],[protein=50S ribosomal protein L32],[locus_tag=PMM0853],[protein_id=CAE19312.1],"[gene=rpl32, rpmF]",[protein=50S ribosomal protein L32],[evalue=1.96492E-21]
[locus_tag=SynWH8103_01345],[protein_id=CRY92074.1],[gene=ftsH3],[protein=cell division protein FtsH],[locus_tag=PMM0854],[protein_id=CAE19313.1],[gene=ftsH4],[protein=cell division protein FtsH4],[evalue=0.00000E+00],[locus_tag=PMM0743],[protein_id=CAE19202.1],[gene=ftsH1],[protein=FtsH ATP-dependent protease homolog],[evalue=0.00000E+00],[locus_tag=PMM0226],[protein_id=CAE18685.1],[gene=ftsH2],[protein=cell division protein FtsH2],[evalue=0.00000E+00]
[locus_tag=SynWH8103_01347],[protein_id=CRY92076.1],[gene=prx],[protein=2-Cys Peroxiredoxin],[locus_tag=PMM0856],[protein_id=CAE19315.1],[gene=tpx],[protein=thioredoxin peroxidase],[evalue=2.91417E-113],[locus_tag=PMM0903],[protein_id=CAE19362.1],[gene=None],[protein=Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein],[evalue=2.08541E-17],[locus_tag=PMM0345],[protein_id=CAE18804.1],[gene=None],[protein=putative bacterioferritin comigratory protein],[evalue=5.19491E-14]
[locus_tag=SynWH8103_01350],[protein_id=CRY92078.1],[gene=None],[protein=spoU rRNA Methylase family protein],[locus_tag=PMM0862],[protein_id=CAE19321.1],[gene=None],[protein=putative tRNA/rRNA methyltransferase (SpoU family)],[evalue=2.34805E-50],[locus_tag=PMM0948],[protein_id=CAE19407.1],[gene=None],[protein=tRNA/rRNA methyltransferase],[evalue=3.34865E-06]
[locus_tag=SynWH8103_01351],[protein_id=CRY92079.1],[gene=None],[protein=cobinamide kinase / cobinamide phosphate guanyltransferase family protein],[locus_tag=PMM0863],[protein_id=CAE19322.1],[gene=cobU/cobP],[protein=putative cobinamide kinase],[evalue=5.00693E-43]
[locus_tag=SynWH8103_01356],[protein_id=CRY92084.1],[gene=metG],[protein=methionine--tRNA ligase],[locus_tag=PMM0867],[protein_id=CAE19326.1],[gene=metG],[protein=Methionyl-tRNA synthetase],[evalue=0.00000E+00],[locus_tag=PMM1682],[protein_id=CAE20141.1],[gene=valS],[protein=Valyl-tRNA synthetase],[evalue=1.08397E-07]
[locus_tag=SynWH8103_01357],[protein_id=CRY92086.1],[gene=rnb],[protein=exoribonuclease II],[locus_tag=PMM0868],[protein_id=CAE19327.1],[gene=None],[protein=probable ribonuclease II],[evalue=6.79283E-61]
[locus_tag=SynWH8103_01359],[protein_id=CRY92087.1],[gene=rpsR],[protein=30S ribosomal protein S18],[locus_tag=PMM0869],[protein_id=CAE19328.1],"[gene=rps18, rpsR]",[protein=30S Ribosomal protein S18],[evalue=6.88339E-44]
[locus_tag=SynWH8103_01360],[protein_id=CRY92088.1],[gene=rpmG],[protein=50S ribosomal protein L33],[locus_tag=PMM0870],[protein_id=CAE19329.1],"[gene=rpl33, rpmG]",[protein=50S Ribosomal protein L33],[evalue=2.02158E-28]
[locus_tag=SynWH8103_01362],[protein_id=CRY92089.1],[gene=pheT],"[protein=phenylalanine--tRNA ligase, beta subunit]",[locus_tag=PMM0871],[protein_id=CAE19330.1],[gene=pheT],[protein=Phenylalanyl-tRNA synthetase beta chain],[evalue=0.00000E+00]
[locus_tag=SynWH8103_01363],[protein_id=CRY92091.1],[gene=apcD],[protein=allophycocyanin alpha-B chain],[locus_tag=PMM0305],[protein_id=CAE18764.1],[gene=cpeB],[protein=Phycobilisome protein],[evalue=3.39706E-11]
[locus_tag=SynWH8103_01366],[protein_id=CRY92094.1],[gene=None],[protein=DnaJ domain containing protein],[locus_tag=PMM0873],[protein_id=CAE19332.1],[gene=None],[protein=possible DnaJ domain],[evalue=3.87210E-90]
[locus_tag=SynWH8103_01369],[protein_id=CRY92096.1],[gene=None],[protein=putative sigma factor SigF],[locus_tag=PMM1915],[protein_id=CAP16419.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=8.02616E-11]
[locus_tag=SynWH8103_01370],[protein_id=CRY92098.1],[gene=None],[protein=ATP adenylyltransferase family protein],[locus_tag=PMM0874],[protein_id=CAE19333.1],[gene=None],[protein=possible ATP adenylyltransferase],[evalue=2.17745E-88]
[locus_tag=SynWH8103_01372],[protein_id=CRY92099.1],[gene=None],[protein=short chain dehydrogenase family protein],[locus_tag=PMM0414],[protein_id=CAE18873.1],[gene=None],[protein=putative short chain dehydrogenase],[evalue=7.60404E-90],[locus_tag=PMM0694],[protein_id=CAE19153.1],[gene=None],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily],[evalue=1.42668E-17]
[locus_tag=SynWH8103_01371],[protein_id=CRY92100.1],[gene=unk14A],[protein=Conserved hypothetical protein],[locus_tag=PMM0875],[protein_id=CAE19334.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.83672E-55]
[locus_tag=SynWH8103_01373],[protein_id=CRY92101.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0876],[protein_id=CAE19335.1],[gene=None],[protein=conserved hypothetical],[evalue=4.99135E-22]
[locus_tag=SynWH8103_01374],[protein_id=CRY92102.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0346],[protein_id=CAE18805.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.60930E-40]
[locus_tag=SynWH8103_01375],[protein_id=CRY92103.1],[gene=metH],[protein=methionine synthase],[locus_tag=PMM0877],[protein_id=CAE19336.1],[gene=metH],[protein=putative methionine synthase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_01376],[protein_id=CRY92104.1],[gene=ilvE],[protein=branched-chain amino acid aminotransferase],[locus_tag=PMM0878],[protein_id=CAE19337.1],[gene=ilvE],[protein=putative Branched-chain amino acid aminotransferase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_01378],[protein_id=CRY92105.1],[gene=cobN],"[protein=cobaltochelatase, CobN subunit]",[locus_tag=PMM0879],[protein_id=CAE19338.1],[gene=CobN],[protein=cobalamin biosynthetic protein CobN],[evalue=0.00000E+00],[locus_tag=PMM0831],[protein_id=CAE19290.1],[gene=chlH],"[protein=protoporphyrin IX magnesium chelatase, subunit chlH]",[evalue=2.35273E-113]
[locus_tag=SynWH8103_01379],[protein_id=CRY92107.1],[gene=None],[protein=PHP domain protein],[locus_tag=PMM0880],[protein_id=CAE19339.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.74774E-66]
[locus_tag=SynWH8103_01380],[protein_id=CRY92108.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0881],[protein_id=CAE19340.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.01625E-74]
[locus_tag=SynWH8103_01381],[protein_id=CRY92109.1],[gene=None],[protein=Uncharacterized DNA photolyase domain-containingprotein],[locus_tag=PMM0425],[protein_id=CAE18884.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=SynWH8103_01383],[protein_id=CRY92111.1],[gene=uvrC],"[protein=excinuclease UvrABC complex, endonuclease subunit]",[locus_tag=PMM0882],[protein_id=CAE19341.1],[gene=uvrC],[protein=Excinuclease ABC subunit C (UvrC)],[evalue=0.00000E+00]
[locus_tag=SynWH8103_01384],[protein_id=CRY92112.1],[gene=None],[protein=flavin reductase like domain protein],[locus_tag=PMM0883],[protein_id=CAE19342.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.75291E-79],[locus_tag=PMM0043],[protein_id=CAE18502.1],[gene=None],[protein=flavoprotein],[evalue=3.16895E-09],[locus_tag=PMM0042],[protein_id=CAE18501.1],[gene=None],[protein=flavoprotein],[evalue=5.11877E-09]
[locus_tag=SynWH8103_01386],[protein_id=CRY92113.1],[gene=coaD],[protein=pantetheine-phosphate adenylyltransferase],[locus_tag=PMM0884],[protein_id=CAE19343.1],[gene=coaD],[protein=putative pantetheine-phosphate adenylyltransferase],[evalue=4.13714E-63]
[locus_tag=SynWH8103_01387],[protein_id=CRY92115.1],[gene=pbp4],[protein=penicillin-binding-like protein Pbp4],[locus_tag=PMM0885],[protein_id=CAE19344.1],"[gene=dacB, pbp]",[protein=putative D-Ala-D-Ala carboxypeptidase 3 (S13) family],[evalue=3.88782E-60]
[locus_tag=SynWH8103_01389],[protein_id=CRY92117.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0886],[protein_id=CAE19345.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.24079E-41]
[locus_tag=SynWH8103_01390],[protein_id=CRY92118.1],[gene=None],[protein=aminotransferase class-V family protein],[locus_tag=PMM0887],[protein_id=CAE19346.1],[gene=nifS],[protein=possible cysteine desulfurase (class-V aminotransferase family)],[evalue=1.14613E-68],[locus_tag=PMM0170],[protein_id=CAE18629.1],[gene=None],[protein=NifS-like aminotransferase class-V],[evalue=1.77399E-47],[locus_tag=PMM0070],[protein_id=CAE18529.1],[gene=None],[protein=putative cysteine desulfurase or selenocysteine lyase],[evalue=2.33246E-19]
[locus_tag=SynWH8103_01391],[protein_id=CRY92119.1],[gene=dapF],[protein=diaminopimelate epimerase],[locus_tag=PMM0888],[protein_id=CAE19347.1],[gene=dapF],[protein=Diaminopimelate epimerase],[evalue=2.93309E-84]
[locus_tag=SynWH8103_01392],[protein_id=CRY92120.1],[gene=leuS],[protein=leucine--tRNA ligase],[locus_tag=PMM0889],[protein_id=CAE19348.1],[gene=leuS],[protein=Leucyl-tRNA synthetase],[evalue=0.00000E+00],[locus_tag=PMM1682],[protein_id=CAE20141.1],[gene=valS],[protein=Valyl-tRNA synthetase],[evalue=5.55933E-31],[locus_tag=PMM0238],[protein_id=CAE18697.1],[gene=ileS],[protein=Isoleucyl-tRNA synthetase],[evalue=7.11282E-26]
[locus_tag=SynWH8103_01393],[protein_id=CRY92121.1],[gene=None],[protein=phosphoglucose isomerase family protein],[locus_tag=PMM0890],[protein_id=CAE19349.1],[gene=pgi],[protein=Phosphoglucose isomerase (PGI)],[evalue=0.00000E+00]
[locus_tag=SynWH8103_01400],[protein_id=CRY92127.1],[gene=purN],[protein=phosphoribosylglycinamide formyltransferase],[locus_tag=PMM0891],[protein_id=CAE19350.1],[gene=purN],[protein=phosphoribosylglycinamide formyltransferase],[evalue=2.89993E-46],[locus_tag=PMM1702],[protein_id=CAE20161.1],[gene=purU],[protein=formyltetrahydrofolate deformylase],[evalue=1.12008E-22],[locus_tag=PMM0841],[protein_id=CAE19300.1],[gene=fmt],[protein=putative Methionyl-tRNA formyltransferase],[evalue=7.94599E-06]
[locus_tag=SynWH8103_01399],[protein_id=CRY92128.1],[gene=argC],[protein=N-acetyl-gamma-glutamyl-phosphate reductase],[locus_tag=PMM0892],[protein_id=CAE19351.1],[gene=argC],[protein=N-acetyl-gamma-glutamyl-phosphate reductase],[evalue=2.65744E-150]
[locus_tag=SynWH8103_01401],[protein_id=CRY92129.1],[gene=ribA],[protein=GTP cyclohydrolase II],[locus_tag=PMM0893],[protein_id=CAE19352.1],[gene=ribA/ribB],"[protein=possible GTP cyclohydrolase II / 3,4-dihydroxy-2-butanone 4-phosphate synthase]",[evalue=0.00000E+00]
[locus_tag=SynWH8103_01402],[protein_id=CRY92130.1],[gene=ppiB],[protein=Peptidyl-prolyl cis-trans isomerase],[locus_tag=PMM0894],[protein_id=CAE19353.1],[gene=None],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[evalue=1.22824E-79]
[locus_tag=SynWH8103_01404],[protein_id=CRY92131.1],[gene=mtnP],[protein=methylthioadenosine phosphorylase],[locus_tag=PMM0301],[protein_id=CAE18760.1],[gene=None],[protein=5'-methylthioadenosine phosphorylase],[evalue=8.58999E-138]
[locus_tag=SynWH8103_01405],[protein_id=CRY92133.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0895],[protein_id=CAE19354.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.79500E-43]
[locus_tag=SynWH8103_01406],[protein_id=CRY92134.1],[gene=dnaJ],[protein=Chaperone protein dnaJ],[locus_tag=PMM0896],[protein_id=CAE19355.1],[gene=dnaJ2],[protein=DnaJ2 protein],[evalue=1.00075E-119],[locus_tag=PMM0017],[protein_id=CAE18476.1],[gene=dnaJ],[protein=DnaJ protein],[evalue=4.51550E-14],[locus_tag=PMM0017],[protein_id=CAE18476.1],[gene=dnaJ],[protein=DnaJ protein],[evalue=3.20023E-09]
[locus_tag=SynWH8103_01407],[protein_id=CRY92135.1],[gene=dnaK2],[protein=chaperone protein DnaK],[locus_tag=PMM0897],[protein_id=CAE19356.1],[gene=dnaK],"[protein=Molecular chaperone DnaK, heat shock protein hsp70]",[evalue=0.00000E+00],[locus_tag=PMM1704],[protein_id=CAE20163.1],[gene=dnaK2],"[protein=Molecular chaperone DnaK2, heat shock protein hsp70-2]",[evalue=0.00000E+00],[locus_tag=PMM1432],[protein_id=CAE19891.1],[gene=None],[protein=putative DnaK-type molecular chaperone (HSP70 family)],[evalue=3.80635E-12]
[locus_tag=SynWH8103_01408],[protein_id=CRY92136.1],[gene=pstC],[protein=ABC-type phosphate transport system permease component],[locus_tag=PMM0723],[protein_id=CAE19182.1],"[gene=pstC,phoW]",[protein=putative phosphate ABC transporter],[evalue=1.75379E-146],[locus_tag=PMM0724],[protein_id=CAE19183.1],"[gene=pstA,phoT]",[protein=putative phosphate ABC transporter],[evalue=3.98726E-17]
[locus_tag=SynWH8103_01409],[protein_id=CRY92137.1],[gene=pstA],[protein=ABC-type phosphate transport system permease component],[locus_tag=PMM0724],[protein_id=CAE19183.1],"[gene=pstA,phoT]",[protein=putative phosphate ABC transporter],[evalue=8.49903E-118],[locus_tag=PMM0723],[protein_id=CAE19182.1],"[gene=pstC,phoW]",[protein=putative phosphate ABC transporter],[evalue=2.95762E-19]
[locus_tag=SynWH8103_01410],[protein_id=CRY92138.1],[gene=pstB],[protein=ABC-type phosphate transport system ATPase component],[locus_tag=PMM0725],[protein_id=CAE19184.1],[gene=None],"[protein=putative phosphate ABC transporter, ATP binding subunit]",[evalue=6.61271E-158],[locus_tag=PMM0372],[protein_id=CAE18831.1],[gene=None],[protein=putative cyanate ABC transporter],[evalue=3.36823E-25],[locus_tag=PMM0750],[protein_id=CAE19209.1],[gene=None],"[protein=ABC transporter, ATP-binding component]",[evalue=2.44710E-22]
[locus_tag=SynWH8103_01413],[protein_id=CRY92140.1],[gene=petF],[protein=2Fe-2S ferredoxin],[locus_tag=PMM0898],[protein_id=CAE19357.1],[gene=petF],"[protein=ferredoxin, petF-like protein]",[evalue=1.20354E-43],[locus_tag=PMM1449],[protein_id=CAE19908.1],[gene=petF],[protein=ferredoxin],[evalue=2.41073E-20],[locus_tag=PMM1352],[protein_id=CAE19811.1],[gene=petF],[protein=ferredoxin],[evalue=4.09356E-18]
[locus_tag=SynWH8103_01414],[protein_id=CRY92141.1],[gene=suhB],[protein=inositol-1-monophosphatase],[locus_tag=PMM0899],[protein_id=CAE19358.1],[gene=None],[protein=Possible myo-inositol-1(or 4)-monophosphatase],[evalue=1.14898E-108],[locus_tag=PMM0096],[protein_id=CAE18555.1],[gene=None],[protein=inositol monophosphate family protein],[evalue=2.32537E-19],[locus_tag=PMM1192],[protein_id=CAE19651.1],[gene=None],[protein=CysQ protein homolog],[evalue=2.16571E-17]
[locus_tag=SynWH8103_01415],[protein_id=CRY92142.1],[gene=hisZ],[protein=ATP-phosphorybosyl-transferase regulatory subunit],[locus_tag=PMM0900],[protein_id=CAE19359.1],[gene=hisZ],[protein=possible Histidyl-tRNA synthetase],[evalue=8.81352E-80],[locus_tag=PMM0623],[protein_id=CAE19082.1],[gene=hisS],[protein=Histidyl-tRNA synthetase],[evalue=1.57719E-10]
[locus_tag=SynWH8103_01417],[protein_id=CRY92144.1],[gene=htpG],[protein=Chaperone protein HtpG],[locus_tag=PMM0901],[protein_id=CAE19360.1],[gene=htpG],[protein=heat shock protein HtpG],[evalue=0.00000E+00]
[locus_tag=SynWH8103_01418],[protein_id=CRY92145.1],[gene=rpmB],[protein=50S ribosomal protein L28],[locus_tag=PMM0902],[protein_id=CAE19361.1],"[gene=rpl28, rpmB]",[protein=50S ribosomal protein L28],[evalue=3.38067E-39]
[locus_tag=SynWH8103_01419],[protein_id=CRY92146.1],[gene=prxQ],[protein=Peroxiredoxin],[locus_tag=PMM0903],[protein_id=CAE19362.1],[gene=None],[protein=Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein],[evalue=4.07408E-55],[locus_tag=PMM0079],[protein_id=CAE18538.1],[gene=bcp],[protein=putative bacterioferritin comigratory (BCP) protein],[evalue=2.06062E-18],[locus_tag=PMM0345],[protein_id=CAE18804.1],[gene=None],[protein=putative bacterioferritin comigratory protein],[evalue=1.32544E-17]
[locus_tag=SynWH8103_01424],[protein_id=CRY92151.1],[gene=ggtA],"[protein=ABC-type sugar transport system, ATPase component]",[locus_tag=PMM0803],[protein_id=CAE19262.1],"[gene=futC, sfuC]","[protein=ABC transporter, ATP binding component, possibly iron transporter]",[evalue=3.37598E-58],[locus_tag=PMM0372],[protein_id=CAE18831.1],[gene=None],[protein=putative cyanate ABC transporter],[evalue=9.30660E-37],[locus_tag=PMM0434],[protein_id=CAE18893.1],[gene=None],"[protein=possible ABC transporter, ATP binding protein]",[evalue=4.48523E-35]
[locus_tag=SynWH8103_01427],[protein_id=CRY92154.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0904],[protein_id=CAE19363.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.64229E-27]
[locus_tag=SynWH8103_01428],[protein_id=CRY92155.1],[gene=None],[protein=uncharacterized conserved membrane protein (DUF3593)],[locus_tag=PMM0905],[protein_id=CAE19364.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.80259E-22]
[locus_tag=SynWH8103_01430],[protein_id=CRY92157.1],[gene=psaK],[protein=photosystem I reaction center subunit X],[locus_tag=PMM0906],[protein_id=CAE19365.1],[gene=psaK],[protein=Photosystem I PsaK protein (subunit X)],[evalue=3.41556E-32]
[locus_tag=SynWH8103_01431],[protein_id=CRY92158.1],[gene=None],[protein=FAD binding domain protein],[locus_tag=PMM0760],[protein_id=CAE19219.1],[gene=chlP],[protein=Aromatic-ring hydroxylase (flavoprotein monooxygenase)],[evalue=4.67439E-09]
[locus_tag=SynWH8103_01432],[protein_id=CRY92159.1],[gene=dxs],[protein=1-deoxy-D-xylulose-5-phosphate synthase],[locus_tag=PMM0907],[protein_id=CAE19366.1],[gene=Dxs],[protein=1-deoxy-D-xylulose 5-phosphate synthase],[evalue=0.00000E+00],[locus_tag=PMM1236],[protein_id=CAE19695.1],[gene=None],[protein=unknown],[evalue=1.74418E-34],[locus_tag=PMM0930],[protein_id=CAE19389.1],[gene=pdhB],[protein=Pyruvate dehydrogenase E1 beta subunit],[evalue=2.98244E-13]
[locus_tag=SynWH8103_01433],[protein_id=CRY92160.1],[gene=ilvA],"[protein=threonine ammonia-lyase, biosynthetic]",[locus_tag=PMM0908],[protein_id=CAE19367.1],[gene=ilvA],[protein=threonine dehydratase],[evalue=0.00000E+00],[locus_tag=PMM1716],[protein_id=CAE20175.1],[gene=thrC],"[protein=Threonine synthase: Pyridoxal-5'-phosphate-dependent enzymes, beta family]",[evalue=2.22644E-07]
[locus_tag=SynWH8103_01434],[protein_id=CRY92161.1],[gene=scpB],[protein=segregation and condensation protein B],[locus_tag=PMM0909],[protein_id=CAE19368.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.41477E-54]
[locus_tag=SynWH8103_01435],[protein_id=CRY92162.1],[gene=ylmG1],[protein=cell division membrane protein YlmG1 (factor involved in shape determination)],[locus_tag=PMM0910],[protein_id=CAE19369.1],[gene=None],[protein=conserved hypothetical membrane protein],[evalue=2.52994E-30],[locus_tag=PMM0061],[protein_id=CAE18520.1],[gene=None],"[protein=YGGT family, conserved hypothetical integral membrane protein]",[evalue=1.86260E-08]
[locus_tag=SynWH8103_01437],[protein_id=CRY92164.1],[gene=None],"[protein=possible pyrophosphatase, MazG family]",[locus_tag=PMM0911],[protein_id=CAE19370.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.44822E-49]
[locus_tag=SynWH8103_01438],[protein_id=CRY92165.1],[gene=pyk],[protein=Pyruvate kinase],[locus_tag=PMM0912],[protein_id=CAE19371.1],[gene=pykF],[protein=Pyruvate kinase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_01439],[protein_id=CRY92166.1],[gene=None],[protein=putative ABC efflux system],[locus_tag=PMM0913],[protein_id=CAE19372.1],[gene=None],[protein=possible ABC transporter],[evalue=0.00000E+00]
[locus_tag=SynWH8103_01440],[protein_id=CRY92167.1],[gene=ftsH2],[protein=photosystem II D1 repair protein FtsH2],[locus_tag=PMM0743],[protein_id=CAE19202.1],[gene=ftsH1],[protein=FtsH ATP-dependent protease homolog],[evalue=0.00000E+00],[locus_tag=PMM0226],[protein_id=CAE18685.1],[gene=ftsH2],[protein=cell division protein FtsH2],[evalue=0.00000E+00],[locus_tag=PMM1264],[protein_id=CAE19723.1],[gene=ftsH3],[protein=cell division protein FtsH3],[evalue=4.52066E-166]
[locus_tag=SynWH8103_01443],[protein_id=CRY92170.1],[gene=clpP1],[protein=Protease subunit of ATP-dependent Clp protease],[locus_tag=PMM0742],[protein_id=CAE19201.1],[gene=clpP1],[protein=Clp protease subunit],[evalue=2.92787E-126],[locus_tag=PMM1656],[protein_id=CAE20115.1],[gene=clpP2],[protein=Clp protease proteolytic subunit],[evalue=1.41925E-93],[locus_tag=PMM1314],[protein_id=CAE19773.1],[gene=clpP3],[protein=Clp protease proteolytic subunit],[evalue=3.69441E-77]
[locus_tag=SynWH8103_01444],[protein_id=CRY92171.1],[gene=psb29],[protein=photosystem II biogenesis protein Psb29],[locus_tag=PMM0741],[protein_id=CAE19200.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.47618E-43]
[locus_tag=SynWH8103_01447],[protein_id=CRY92174.1],[gene=clpS],[protein=ATP-dependent Clp protease adaptor protein ClpS],[locus_tag=PMM0686],[protein_id=CAE19145.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.95317E-17],[locus_tag=PMM1499],[protein_id=CAE19958.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.51726E-12]
[locus_tag=SynWH8103_01449],[protein_id=CRY92176.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0739],[protein_id=CAE19198.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.60611E-31]
[locus_tag=SynWH8103_01451],[protein_id=CRY92179.1],[gene=purK],[protein=N5-carboxyaminoimidazole ribonucleotide synthetase monomer],[locus_tag=PMM0683],[protein_id=CAE19142.1],[gene=purK],[protein=phosphoribosylaminoimidazole carboxylase],[evalue=1.32842E-134],[locus_tag=PMM1004],[protein_id=CAE19463.1],[gene=purT],[protein=GAR transformylase 2],[evalue=3.79210E-17]
[locus_tag=SynWH8103_01455],[protein_id=CRY92181.1],[gene=aroB],[protein=3-dehydroquinate synthase],[locus_tag=PMM0682],[protein_id=CAE19141.1],[gene=aroB],[protein=3-dehydroquinate synthase],[evalue=2.35838E-140]
[locus_tag=SynWH8103_01454],[protein_id=CRY92182.1],[gene=None],[protein=S-adenosyl-L-methionine-dependent methyltransferase family protein],[locus_tag=PMM0681],[protein_id=CAE19140.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.24229E-92]
[locus_tag=SynWH8103_01456],[protein_id=CRY92183.1],[gene=None],[protein=repair family protein],[locus_tag=PMM0680],[protein_id=CAE19139.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.37503E-117]
[locus_tag=SynWH8103_01459],[protein_id=CRY92186.1],[gene=None],[protein=Predicted phosphoesterase],[locus_tag=PMM0679],[protein_id=CAE19138.1],[gene=None],[protein=putative transcripton factor],[evalue=1.82719E-68]
[locus_tag=SynWH8103_01461],[protein_id=CRY92188.1],[gene=nadA],"[protein=quinolinate synthetase complex, A subunit]",[locus_tag=PMM0678],[protein_id=CAE19137.1],[gene=None],[protein=Quinolinate synthetase A protein],[evalue=6.95486E-168]
[locus_tag=SynWH8103_01464],[protein_id=CRY92190.1],[gene=None],[protein=possible exonuclease of the metallo-beta-lactamase family],[locus_tag=PMM0730],[protein_id=CAE19189.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.47139E-109]
[locus_tag=SynWH8103_01466],[protein_id=CRY92192.1],[gene=None],[protein=GAF domain protein],[locus_tag=PMM1369],[protein_id=CAE19828.1],[gene=None],[protein=GAF domain],[evalue=1.18767E-88]
[locus_tag=SynWH8103_01467],[protein_id=CRY92194.1],[gene=None],[protein=ATP-dependent DNA ligase],[locus_tag=PMM0729],[protein_id=CAE19188.1],[gene=None],[protein=possible ATP-dependent DNA ligase],[evalue=2.59214E-163]
[locus_tag=SynWH8103_01468],[protein_id=CRY92195.1],[gene=None],"[protein=Lhr-like RNA helicase, superfamily II]",[locus_tag=PMM0728],[protein_id=CAE19187.1],[gene=None],[protein=DEAD/DEAH box helicase:Helicase C-terminal domain],[evalue=0.00000E+00],[locus_tag=PMM1467],[protein_id=CAE19926.1],[gene=None],[protein=putative DNA helicase],[evalue=7.14535E-10],[locus_tag=PMM1101],[protein_id=CAE19560.1],[gene=None],[protein=putative ATP-dependent RNA helicase],[evalue=2.40131E-08]
[locus_tag=SynWH8103_01470],[protein_id=CRY92197.1],[gene=chrB],[protein=chromate transporter],[locus_tag=PMM0711],[protein_id=CAE19170.1],[gene=None],"[protein=putative chromate transporter, CHR family]",[evalue=2.69993E-69]
[locus_tag=SynWH8103_01471],[protein_id=CRY92198.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1388],[protein_id=CAE19847.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.13643E-43]
[locus_tag=SynWH8103_01481],[protein_id=CRY92209.1],[gene=None],[protein=methyltransferase domain protein],[locus_tag=PMM1168],[protein_id=CAE19627.1],[gene=F4P13.20],[protein=conserved hypothetical protein],[evalue=3.07466E-71]
