[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[evalue=5.02794E-142]
[locus_tag=PMM0892],[protein_id=CAE19351.1],[gene=argC],[protein=N-acetyl-gamma-glutamyl-phosphate reductase],[locus_tag=Syncc8109_1276],[protein_id=AHF63643.1],[gene=argC],[protein=N-acetyl-gamma-glutamyl-phosphate reductase],[evalue=2.16873E-146]
[locus_tag=PMM0893],[protein_id=CAE19352.1],[gene=ribA/ribB],"[protein=possible GTP cyclohydrolase II / 3,4-dihydroxy-2-butanone 4-phosphate synthase]",[locus_tag=Syncc8109_1274],[protein_id=AHF63641.1],[gene=ribA/ribB],"[protein=3,4-dihydroxy-2-butanone 4-phosphate synthase]",[evalue=0.00000E+00]
[locus_tag=PMM0894],[protein_id=CAE19353.1],[gene=None],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[locus_tag=Syncc8109_1273],[protein_id=AHF63640.1],[gene=None],[protein=Peptidylprolyl isomerase],[evalue=4.61065E-79]
[locus_tag=PMM0895],[protein_id=CAE19354.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1270],[protein_id=AHF63637.1],[gene=None],[protein=hypothetical protein],[evalue=1.43365E-42]
[locus_tag=PMM0896],[protein_id=CAE19355.1],[gene=dnaJ2],[protein=DnaJ2 protein],[locus_tag=Syncc8109_1269],[protein_id=AHF63636.1],[gene=dnaJ2],[protein=Heat shock protein DnaJ-like protein],[evalue=1.71675E-103],[locus_tag=Syncc8109_0558],[protein_id=AHF62945.1],[gene=dnaJ3],[protein=Heat shock protein DnaJ-like protein],[evalue=1.12319E-29],[locus_tag=Syncc8109_0023],[protein_id=AHF62449.1],[gene=dnaJ],[protein=Heat shock protein DnaJ],[evalue=1.90487E-13]
[locus_tag=PMM0897],[protein_id=CAE19356.1],[gene=dnaK],"[protein=Molecular chaperone DnaK, heat shock protein hsp70]",[locus_tag=Syncc8109_1268],[protein_id=AHF63635.1],[gene=dnaK],"[protein=molecular chaperone DnaK, heat shock protein HSP70]",[evalue=0.00000E+00],[locus_tag=Syncc8109_2744],[protein_id=AHF65050.1],[gene=dnaK],[protein=Heat shock protein Hsp70],[evalue=0.00000E+00],[locus_tag=Syncc8109_2242],[protein_id=AHF64568.1],[gene=dnaK],[protein=putative DnaK-type molecular chaperone (HSP70 family)],[evalue=7.69452E-12]
[locus_tag=PMM0898],[protein_id=CAE19357.1],[gene=petF],"[protein=ferredoxin, petF-like protein]",[locus_tag=Syncc8109_1263],[protein_id=AHF63631.1],[gene=petF],[protein=ferredoxin],[evalue=7.99175E-46],[locus_tag=Syncc8109_2266],[protein_id=AHF64592.1],[gene=petF1],[protein=Ferredoxin (2Fe-2S)],[evalue=5.89646E-22],[locus_tag=Syncc8109_2229],[protein_id=AHF64556.1],[gene=petF],[protein=Ferredoxin],[evalue=2.87637E-18]
[locus_tag=PMM0899],[protein_id=CAE19358.1],[gene=None],[protein=Possible myo-inositol-1(or 4)-monophosphatase],[locus_tag=Syncc8109_1262],[protein_id=AHF63630.1],[gene=None],[protein=Inositol-1(or 4)-monophosphatase],[evalue=2.19402E-109],[locus_tag=Syncc8109_2424],[protein_id=AHF64735.1],[gene=None],[protein=inositol monophosphate family protein],[evalue=1.61846E-17],[locus_tag=Syncc8109_0628],[protein_id=AHF63013.1],[gene=cysQ],[protein=CysQ protein-like protein],[evalue=2.06561E-11]
[locus_tag=PMM0900],[protein_id=CAE19359.1],[gene=hisZ],[protein=possible Histidyl-tRNA synthetase],[locus_tag=Syncc8109_1261],[protein_id=AHF63629.1],[gene=None],[protein=ATP phosphoribosyltransferase regulatory subunit],[evalue=1.34247E-88]
[locus_tag=PMM0901],[protein_id=CAE19360.1],[gene=htpG],[protein=heat shock protein HtpG],[locus_tag=Syncc8109_1259],[protein_id=AHF63627.1],[gene=htpG],"[protein=ATP-binding region, ATPase-like protein]",[evalue=0.00000E+00]
[locus_tag=PMM0902],[protein_id=CAE19361.1],"[gene=rpl28, rpmB]",[protein=50S ribosomal protein L28],[locus_tag=Syncc8109_1258],[protein_id=AHF63626.1],[gene=rpmB],[protein=LSU ribosomal protein L28P],[evalue=2.05491E-37]
[locus_tag=PMM0903],[protein_id=CAE19362.1],[gene=None],[protein=Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein],[locus_tag=Syncc8109_1257],[protein_id=AHF63625.1],[gene=None],[protein=Twin-arginine translocation pathway signal],[evalue=6.83529E-59],[locus_tag=Syncc8109_1547],[protein_id=AHF63907.1],[gene=None],[protein=putative bacterioferritin comigratory protein],[evalue=1.82339E-23],[locus_tag=Syncc8109_2389],[protein_id=AHF64706.1],[gene=bcp],[protein=putative bacterioferritin comigratory (BCP) protein],[evalue=2.77491E-18]
[locus_tag=PMM0904],[protein_id=CAE19363.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1250],[protein_id=AHF63618.1],[gene=None],[protein=hypothetical protein],[evalue=6.11435E-28]
[locus_tag=PMM0905],[protein_id=CAE19364.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1249],[protein_id=AHF63617.1],[gene=None],[protein=hypothetical protein],[evalue=5.65585E-25]
[locus_tag=PMM0906],[protein_id=CAE19365.1],[gene=psaK],[protein=Photosystem I PsaK protein (subunit X)],[locus_tag=Syncc8109_1248],[protein_id=AHF63616.1],[gene=psaK],[protein=putative photosystem I reaction center subunit X (PsaK)],[evalue=4.51039E-32]
[locus_tag=PMM0907],[protein_id=CAE19366.1],[gene=Dxs],[protein=1-deoxy-D-xylulose 5-phosphate synthase],[locus_tag=Syncc8109_1246],[protein_id=AHF63614.1],[gene=Dxs],[protein=deoxyxylulose-5-phosphate synthase],[evalue=0.00000E+00],[locus_tag=Syncc8109_1491],[protein_id=AHF63853.1],[gene=pdhB],[protein=pyruvate dehydrogenase E1 beta subunit],[evalue=3.62018E-14]
[locus_tag=PMM0908],[protein_id=CAE19367.1],[gene=ilvA],[protein=threonine dehydratase],[locus_tag=Syncc8109_1245],[protein_id=AHF63613.1],[gene=ilvA],"[protein=threonine dehydratase, biosynthetic]",[evalue=0.00000E+00]
[locus_tag=PMM0909],[protein_id=CAE19368.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1244],[protein_id=AHF63612.1],[gene=None],[protein=putative transcriptional regulator],[evalue=5.77348E-56]
[locus_tag=PMM0910],[protein_id=CAE19369.1],[gene=None],[protein=conserved hypothetical membrane protein],[locus_tag=Syncc8109_1243],[protein_id=AHF63611.1],[gene=None],[protein=hypothetical protein],[evalue=3.35354E-29]
[locus_tag=PMM0911],[protein_id=CAE19370.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1241],[protein_id=AHF63609.1],[gene=None],[protein=hypothetical protein],[evalue=8.75927E-48]
[locus_tag=PMM0912],[protein_id=CAE19371.1],[gene=pykF],[protein=Pyruvate kinase],[locus_tag=Syncc8109_1240],[protein_id=AHF63608.1],[gene=pykF],[protein=pyruvate kinase],[evalue=0.00000E+00]
[locus_tag=PMM0913],[protein_id=CAE19372.1],[gene=None],[protein=possible ABC transporter],[locus_tag=Syncc8109_1239],[protein_id=AHF63607.1],[gene=None],[protein=putative ABC transporter],[evalue=0.00000E+00]
[locus_tag=PMM0914],[protein_id=CAE19373.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1468],[protein_id=AHF63830.1],[gene=None],[protein=BioY protein],[evalue=4.53207E-16]
[locus_tag=PMM0915],[protein_id=CAE19374.1],[gene=None],[protein=putative lipoprotein signal peptidase],[locus_tag=Syncc8109_1469],[protein_id=AHF63831.1],[gene=None],[protein=lipoprotein signal peptidase],[evalue=9.47309E-17]
[locus_tag=PMM0916],[protein_id=CAE19375.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1470],[protein_id=AHF63832.1],[gene=None],[protein=Small GTP-binding protein domain protein],[evalue=1.12451E-103],[locus_tag=Syncc8109_2259],[protein_id=AHF64585.1],[gene=None],[protein=Small GTP-binding protein domain protein],[evalue=5.71078E-23]
[locus_tag=PMM0917],[protein_id=CAE19376.1],[gene=None],[protein=Pyridoxal-dependent decarboxylase family protein],[locus_tag=Syncc8109_1471],[protein_id=AHF63833.1],[gene=None],[protein=pyridoxal-dependent decarboxylase family protein],[evalue=8.36031E-138]
[locus_tag=PMM0918],[protein_id=CAE19377.1],[gene=None],[protein=putative cytidine/deoxycytidylate deaminase],[locus_tag=Syncc8109_1472],[protein_id=AHF63834.1],[gene=cumB],[protein=cytidine/deoxycytidylate deaminase family protein],[evalue=2.98111E-61]
[locus_tag=PMM0919],[protein_id=CAE19378.1],"[gene=spt, agt]",[protein=serine:pyruvate/alanine:glyoxylate aminotransferase],[locus_tag=Syncc8109_1473],[protein_id=AHF63835.1],[gene=spt],[protein=serine:pyruvate/alanine:glyoxylate aminotransferase],[evalue=0.00000E+00],[locus_tag=Syncc8109_0050],[protein_id=AHF62475.1],[gene=DHSS],[protein=soluble hydrogenase small subunit],[evalue=9.15961E-56]
[locus_tag=PMM0920],[protein_id=CAE19379.1],[gene=glnA],"[protein=Glutamine synthetase, glutamate--ammonia ligase]",[locus_tag=Syncc8109_1475],[protein_id=AHF63837.1],[gene=glnA],"[protein=glutamine synthetase, type I]",[evalue=0.00000E+00]
[locus_tag=PMM0921],[protein_id=CAE19380.1],[gene=None],[protein=SAM (and some other nucleotide) binding motif:Generic methyl-transferase],[locus_tag=Syncc8109_1476],[protein_id=AHF63838.1],[gene=None],[protein=generic methyl-transferase],[evalue=5.19568E-153],[locus_tag=Syncc8109_1988],[protein_id=AHF64332.1],[gene=None],[protein=putative methyltransferase],[evalue=3.94517E-14]
[locus_tag=PMM0922],[protein_id=CAE19381.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1479],[protein_id=AHF63841.1],[gene=None],[protein=hypothetical protein],[evalue=3.04420E-13]
[locus_tag=PMM0923],[protein_id=CAE19382.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1480],[protein_id=AHF63842.1],[gene=None],[protein=putative anti-sigma regulatory factor (serine/threonine protein kinase)],[evalue=5.34296E-45]
[locus_tag=PMM0924],[protein_id=CAE19383.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1481],[protein_id=AHF63843.1],[gene=None],[protein=hypothetical protein],[evalue=1.11438E-91]
[locus_tag=PMM0925],[protein_id=CAE19384.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1482],[protein_id=AHF63844.1],[gene=None],[protein=Rhodanese-like protein],[evalue=1.57526E-106]
[locus_tag=PMM0926],[protein_id=CAE19385.1],[gene=psb28],[protein=possible Photosystem II reaction center Psb28 protein],[locus_tag=Syncc8109_1483],[protein_id=AHF63845.1],[gene=psb28],[protein=putative photosystem II reaction center Psb28 protein],[evalue=1.32376E-45]
[locus_tag=PMM0927],[protein_id=CAE19386.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1484],[protein_id=AHF63846.1],[gene=None],[protein=hypothetical protein],[evalue=5.40685E-65],[locus_tag=Syncc8109_1485],[protein_id=AHF63847.1],[gene=None],[protein=hypothetical protein],[evalue=9.57751E-24]
[locus_tag=PMM0928],[protein_id=CAE19387.1],[gene=secF],[protein=preprotein translocase subunit],[locus_tag=Syncc8109_1489],[protein_id=AHF63851.1],[gene=secF],[protein=SecF protein],[evalue=9.71360E-74]
[locus_tag=PMM0929],[protein_id=CAE19388.1],[gene=secD],[protein=preprotein translocase subunit],[locus_tag=Syncc8109_1490],[protein_id=AHF63852.1],[gene=secD],[protein=protein-export membrane protein SecD],[evalue=5.08917E-175]
[locus_tag=PMM0930],[protein_id=CAE19389.1],[gene=pdhB],[protein=Pyruvate dehydrogenase E1 beta subunit],[locus_tag=Syncc8109_1491],[protein_id=AHF63853.1],[gene=pdhB],[protein=pyruvate dehydrogenase E1 beta subunit],[evalue=0.00000E+00],[locus_tag=Syncc8109_1246],[protein_id=AHF63614.1],[gene=Dxs],[protein=deoxyxylulose-5-phosphate synthase],[evalue=6.06531E-14]
[locus_tag=PMM0931],[protein_id=CAE19390.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1494],[protein_id=AHF63855.1],[gene=None],[protein=hypothetical protein],[evalue=1.46305E-21]
[locus_tag=PMM0932],[protein_id=CAE19391.1],[gene=ispE],[protein=Putative 4-diphosphocytidyl-2C-methyl-D-erythritol kinase (CMK)],[locus_tag=Syncc8109_1495],[protein_id=AHF63856.1],[gene=ispE],[protein=4-diphosphocytidyl-2C-methyl-D-erythritol kinase],[evalue=8.25301E-92]
[locus_tag=PMM0933],[protein_id=CAE19392.1],[gene=None],"[protein=putative rRNA (adenine-N6,N6)-dimethyltransferase]",[locus_tag=Syncc8109_1496],[protein_id=AHF63857.1],[gene=ksgA],[protein=dimethyladenosine transferase],[evalue=9.75392E-90]
[locus_tag=PMM0935],[protein_id=CAE19394.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1512],[protein_id=AHF63873.1],[gene=None],[protein=hypothetical protein],[evalue=1.07927E-40]
[locus_tag=PMM0936],[protein_id=CAE19395.1],[gene=None],[protein=putative SOS mutagenesis protein UmuD],[locus_tag=Syncc8109_1516],[protein_id=AHF63877.1],[gene=umuD],[protein=putative SOS mutagenesis protein UmuD],[evalue=1.26071E-45]
[locus_tag=PMM0937],[protein_id=CAE19396.1],[gene=umuC],[protein=putative UmuC protein],[locus_tag=Syncc8109_1517],[protein_id=AHF63878.1],[gene=umuC],[protein=DNA-directed DNA polymerase],[evalue=7.12013E-148]
[locus_tag=PMM0939],[protein_id=CAE19398.1],[gene=None],[protein=CHC2 zinc finger:Toprim domain],[locus_tag=Syncc8109_1520],[protein_id=AHF63881.1],[gene=dnaG],[protein=DNA primase],[evalue=0.00000E+00]
[locus_tag=PMM0940],[protein_id=CAE19399.1],[gene=None],"[protein=Integral membrane protein, DUF6]",[locus_tag=Syncc8109_1521],[protein_id=AHF63882.1],[gene=None],[protein=hypothetical protein],[evalue=2.21047E-79]
[locus_tag=PMM0942],[protein_id=CAE19401.1],[gene=ruvA],[protein=putative holliday junction DNA helicase RuvA],[locus_tag=Syncc8109_1523],[protein_id=AHF63884.1],[gene=ruvA],"[protein=DNA recombination protein, RuvA]",[evalue=1.21745E-31]
[locus_tag=PMM0943],[protein_id=CAE19402.1],"[gene=rps15, rpsO]",[protein=30S Ribosomal protein S15],[locus_tag=Syncc8109_1524],[protein_id=AHF63885.1],[gene=rps15],[protein=ribosomal protein S15],[evalue=6.68796E-46]
[locus_tag=PMM0944],[protein_id=CAE19403.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1525],[protein_id=AHF63886.1],[gene=None],[protein=hypothetical protein],[evalue=4.87018E-29]
[locus_tag=PMM0945],[protein_id=CAE19404.1],[gene=dnaE],"[protein=DNA polymerase III, alpha subunit]",[locus_tag=Syncc8109_1526],[protein_id=AHF63887.1],[gene=dnaE],"[protein=DNA polymerase III, alpha subunit]",[evalue=0.00000E+00]
[locus_tag=PMM0946],[protein_id=CAE19405.1],[gene=gatA],[protein=Glutamyl-tRNA(Gln) amidotransferase A subunit],[locus_tag=Syncc8109_1527],[protein_id=AHF63888.1],[gene=gatA],"[protein=glutamyl-tRNA(Gln) amidotransferase, A subunit]",[evalue=0.00000E+00]
[locus_tag=PMM0947],[protein_id=CAE19406.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1528],[protein_id=AHF63889.1],[gene=None],[protein=hypothetical protein],[evalue=1.11922E-25]
[locus_tag=PMM0948],[protein_id=CAE19407.1],[gene=None],[protein=tRNA/rRNA methyltransferase],[locus_tag=Syncc8109_1529],[protein_id=AHF63890.1],[gene=None],"[protein=RNA methyltransferase TrmH, group 3]",[evalue=2.84538E-98],[locus_tag=Syncc8109_1908],[protein_id=AHF64253.1],[gene=None],[protein=tRNA (guanosine-2'-O-)-methyltransferase],[evalue=4.72621E-11]
[locus_tag=PMM0949],[protein_id=CAE19408.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1530],[protein_id=AHF63891.1],[gene=None],[protein=hypothetical protein],[evalue=7.10200E-46]
[locus_tag=PMM0950],[protein_id=None],[gene=None],[protein=STAS domain:Anti-sigma factor antagonist],[locus_tag=Syncc8109_1531],[protein_id=AHF63892.1],[gene=None],"[protein=anti-anti-sigma regulatory factor, SpoIIAA]",[evalue=5.90529E-42]
[locus_tag=PMM0951],[protein_id=CAE19410.1],"[gene=carA, pyrA]",[protein=carbamoyl-phosphate synthase small chain],[locus_tag=Syncc8109_1532],[protein_id=AHF63893.1],[gene=carA],"[protein=carbamoyl-phosphate synthase, small subunit]",[evalue=7.65705E-161]
[locus_tag=PMM0952],[protein_id=CAE19411.1],[gene=trpD/G],[protein=putative Anthranilate synthase component II],[locus_tag=Syncc8109_1533],[protein_id=AHF63894.1],[gene=trpD],[protein=anthranilate phosphoribosyltransferase],[evalue=1.39088E-126]
[locus_tag=PMM0953],[protein_id=CAE19412.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0585],[protein_id=AHF62972.1],[gene=None],[protein=hypothetical protein],[evalue=1.65050E-21]
[locus_tag=PMM0954],[protein_id=CAE19413.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[locus_tag=Syncc8109_1534],[protein_id=AHF63895.1],[gene=None],[protein=ATPase],[evalue=0.00000E+00],[locus_tag=Syncc8109_0860],[protein_id=AHF63238.1],[gene=mdlB],[protein=ATPase],[evalue=1.13506E-79],[locus_tag=Syncc8109_0984],[protein_id=AHF63358.1],[gene=mdlB],[protein=ATPase],[evalue=4.76269E-68]
[locus_tag=PMM0955],[protein_id=CAE19414.1],[gene=msrA],[protein=Peptide methionine sulfoxide reductase],[locus_tag=Syncc8109_1538],[protein_id=AHF63899.1],[gene=msrA],[protein=peptide methionine sulfoxide reductase],[evalue=5.82224E-97],[locus_tag=Syncc8109_2203],[protein_id=AHF64532.1],[gene=msrA],[protein=peptide methionine sulfoxide reductase],[evalue=9.72658E-22]
[locus_tag=PMM0956],[protein_id=CAE19415.1],[gene=None],[protein=Bacitracin resistance protein BacA],[locus_tag=Syncc8109_2427],[protein_id=AHF64738.1],[gene=bacA],"[protein=undecaprenol kinase, putative]",[evalue=6.58330E-68]
[locus_tag=PMM0958],[protein_id=CAE19417.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_2674],[protein_id=AHF64980.1],[gene=None],[protein=hypothetical protein],[evalue=1.11897E-18]
[locus_tag=PMM0959],[protein_id=CAE19418.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1344],[protein_id=AHF63707.1],[gene=None],[protein=hypothetical protein],[evalue=1.22831E-73]
[locus_tag=PMM0960],[protein_id=CAE19419.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2668],[protein_id=AHF64974.1],[gene=yedP],[protein=HAD-superfamily hydrolase YedP],[evalue=4.35500E-71]
[locus_tag=PMM0961],[protein_id=CAE19420.1],[gene=None],[protein=Glycoside hydrolase family 13],[locus_tag=Syncc8109_2669],[protein_id=AHF64975.1],[gene=None],"[protein=Alpha amylase, catalytic subdomain protein]",[evalue=0.00000E+00]
[locus_tag=PMM0962],[protein_id=CAE19421.1],[gene=None],[protein=possible Vng0271c],[locus_tag=Syncc8109_2670],[protein_id=AHF64976.1],[gene=None],[protein=hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0963],[protein_id=CAE19422.1],[gene=ureC],[protein=Urease alpha subunit],[locus_tag=Syncc8109_2687],[protein_id=AHF64993.1],[gene=ureC],"[protein=urease, alpha subunit]",[evalue=0.00000E+00]
[locus_tag=PMM0964],[protein_id=CAE19423.1],[gene=ureB],[protein=Urease beta subunit],[locus_tag=Syncc8109_2686],[protein_id=AHF64992.1],[gene=ureB],"[protein=urease, beta subunit]",[evalue=7.48628E-47]
[locus_tag=PMM0965],[protein_id=CAE19424.1],[gene=ureA],[protein=Urease gamma subunit],[locus_tag=Syncc8109_2685],[protein_id=AHF64991.1],[gene=ureA],"[protein=urease, gamma subunit]",[evalue=9.98756E-57]
[locus_tag=PMM0966],[protein_id=CAE19425.1],[gene=ureD],[protein=urease accessory protein UreD],[locus_tag=Syncc8109_2684],[protein_id=AHF64990.1],[gene=ureD],[protein=urease accessory protein D],[evalue=1.33201E-80]
[locus_tag=PMM0967],[protein_id=CAE19426.1],[gene=ureE],[protein=urease accessory protein UreE],[locus_tag=Syncc8109_2682],[protein_id=AHF64988.1],[gene=ureE],[protein=urease accessory protein E],[evalue=1.26466E-28]
[locus_tag=PMM0968],[protein_id=CAE19427.1],[gene=ureF],[protein=urease accessory protein UreF],[locus_tag=Syncc8109_2681],[protein_id=AHF64987.1],[gene=ureF],[protein=urease accessory protein F],[evalue=4.84953E-48]
[locus_tag=PMM0969],[protein_id=CAE19428.1],[gene=ureG],[protein=urease accessory protein UreG],[locus_tag=Syncc8109_2680],[protein_id=AHF64986.1],[gene=ureG],[protein=urease accessory protein UreG],[evalue=2.94067E-102]
[locus_tag=PMM0970],[protein_id=CAE19429.1],[gene=urtA],"[protein=putative urea ABC transporter, substrate binding protein]",[locus_tag=Syncc8109_2679],[protein_id=AHF64985.1],[gene=urtA1],"[protein=putative urea ABC transporter, urea binding protein]",[evalue=0.00000E+00]
[locus_tag=PMM0971],[protein_id=CAE19430.1],[gene=urtB],[protein=putative urea ABC transporter],[locus_tag=Syncc8109_2678],[protein_id=AHF64984.1],[gene=urtB],[protein=putative urea ABC transporter],[evalue=6.99724E-131]
[locus_tag=PMM0972],[protein_id=CAE19431.1],[gene=urtC],[protein=putative membrane protein of urea ABC transport system],[locus_tag=Syncc8109_2677],[protein_id=AHF64983.1],[gene=urtC],[protein=Putative membrane protein of ABC transport system],[evalue=0.00000E+00]
[locus_tag=PMM0973],[protein_id=CAE19432.1],[gene=urtD],[protein=putative ATP binding subunit of urea ABC transport system],[locus_tag=Syncc8109_2676],[protein_id=AHF64982.1],[gene=urtD],[protein=Putative ATP-binding subunit of urea ABC transport system],[evalue=8.00362E-132],[locus_tag=Syncc8109_1444],[protein_id=AHF63806.1],[gene=None],[protein=ATPase],[evalue=3.18913E-30],[locus_tag=Syncc8109_1252],[protein_id=AHF63620.1],[gene=None],[protein=ATPase],[evalue=6.08267E-23]
[locus_tag=PMM0974],[protein_id=CAE19433.1],[gene=urtE],[protein=Putative ATP-binding subunit of urea ABC transport system],[locus_tag=Syncc8109_2675],[protein_id=AHF64981.1],[gene=urtE],[protein=Putative ATP-binding subunit of urea ABC transport system],[evalue=7.47283E-132],[locus_tag=Syncc8109_1444],[protein_id=AHF63806.1],[gene=None],[protein=ATPase],[evalue=1.77592E-33],[locus_tag=Syncc8109_1461],[protein_id=AHF63823.1],[gene=None],[protein=ATPase],[evalue=1.66361E-26]
[locus_tag=PMM1919],[protein_id=CAP16424.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=Syncc8109_1183],[protein_id=AHF63553.1],[gene=None],[protein=hypothetical protein],[evalue=1.58759E-15]
[locus_tag=PMM0975],[protein_id=CAE19434.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1903],[protein_id=AHF64248.1],[gene=None],[protein=hypothetical protein],[evalue=1.63053E-13]
[locus_tag=PMM0976],[protein_id=CAE19435.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[locus_tag=Syncc8109_2634],[protein_id=AHF64941.1],[gene=None],[protein=ATPase],[evalue=1.08665E-130],[locus_tag=Syncc8109_0669],[protein_id=AHF63054.1],[gene=drrA],[protein=ATPase],[evalue=6.05635E-24],[locus_tag=Syncc8109_1174],[protein_id=AHF63544.1],[gene=None],[protein=ATPase],[evalue=2.87512E-18]
[locus_tag=PMM0977],[protein_id=CAE19436.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[locus_tag=Syncc8109_2633],[protein_id=AHF64940.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=2.44815E-104]
[locus_tag=PMM0978],[protein_id=CAE19437.1],[gene=None],"[protein=conserved membrane protein, multidrug efflux associated]",[locus_tag=Syncc8109_2632],[protein_id=AHF64939.1],[gene=None],[protein=hypothetical protein],[evalue=4.50647E-81]
[locus_tag=PMM0981],[protein_id=CAE19440.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1634],[protein_id=AHF63991.1],[gene=None],[protein=hypothetical protein],[evalue=1.26155E-57]
[locus_tag=PMM0982],[protein_id=CAE19441.1],[gene=None],[protein=HNH endonuclease:HNH nuclease],[locus_tag=Syncc8109_0039],[protein_id=AHF62465.1],[gene=mcrA],[protein=HNH nuclease],[evalue=1.00295E-22]
[locus_tag=PMM0985],[protein_id=CAE19444.1],[gene=None],[protein=putative PURINE PHOSPHORIBOSYLTRANSFERASE related protein],[locus_tag=Syncc8109_0719],[protein_id=AHF63099.1],[gene=None],[protein=putative phosphoribosyltransferase family protein],[evalue=2.44201E-42]
[locus_tag=PMM0986],[protein_id=CAE19445.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_0720],[protein_id=AHF63100.1],[gene=None],[protein=hypothetical protein],[evalue=8.44223E-59]
[locus_tag=PMM0987],[protein_id=CAE19446.1],"[gene=rps21, rpsU]",[protein=30S Ribosomal protein S21],[locus_tag=Syncc8109_1620],[protein_id=AHF63977.1],[gene=rps21],[protein=30S ribosomal protein S21],[evalue=1.77641E-31]
[locus_tag=PMM0990],[protein_id=CAE19449.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0954],[protein_id=AHF63329.1],[gene=None],[protein=hypothetical protein],[evalue=2.21271E-47]
[locus_tag=PMM0992],[protein_id=CAE19451.1],[gene=None],[protein=conserved hypotheticcal protein],[locus_tag=Syncc8109_1515],[protein_id=AHF63876.1],[gene=None],[protein=hypothetical protein],[evalue=6.13177E-29]
[locus_tag=PMM0994],[protein_id=CAE19453.1],[gene=None],[protein=GCN5-related N-acetyltransferase],[locus_tag=Syncc8109_2731],[protein_id=AHF65037.1],[gene=None],[protein=acetyltransferase],[evalue=1.63547E-42]
[locus_tag=PMM0998],[protein_id=CAE19457.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1156],[protein_id=AHF63526.1],[gene=None],[protein=hypothetical protein],[evalue=4.37789E-21]
[locus_tag=PMM1000],[protein_id=CAE19459.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1518],[protein_id=AHF63879.1],[gene=None],[protein=hypothetical protein],[evalue=2.35149E-20]
[locus_tag=PMM1001],[protein_id=CAE19460.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2641],[protein_id=AHF64948.1],[gene=None],[protein=hypothetical protein],[evalue=6.68167E-76]
[locus_tag=PMM1002],[protein_id=CAE19461.1],[gene=pepN],[protein=probable aminopeptidase N],[locus_tag=Syncc8109_2006],[protein_id=AHF64350.1],[gene=pepN],"[protein=Peptidase M, neutral zinc metallopeptidase, zinc-binding site]",[evalue=0.00000E+00]
[locus_tag=PMM1004],[protein_id=CAE19463.1],[gene=purT],[protein=GAR transformylase 2],[locus_tag=Syncc8109_2756],[protein_id=AHF65062.1],[gene=purT],[protein=phosphoribosylglycinamide formyltransferase 2],[evalue=1.94950E-157],[locus_tag=Syncc8109_1222],[protein_id=AHF63592.1],[gene=purK],"[protein=phosphoribosylaminoimidazole carboxylase, ATPase subunit]",[evalue=2.43031E-14]
