[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]"
[locus_tag=PMM0596],[protein_id=CAE19055.1],[gene=None],[protein=Putative glucokinase]
[locus_tag=PMM0597],[protein_id=CAE19056.1],[gene=thrS],[protein=Threonyl-tRNA synthetase]
[locus_tag=PMM0598],[protein_id=CAE19057.1],[gene=trpS],[protein=Tryptophanyl-tRNA synthetase]
[locus_tag=PMM0599],[protein_id=CAE19058.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0600],[protein_id=CAE19059.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0601],[protein_id=CAE19060.1],[gene=None],"[protein=ABC transporter, substrate binding protein, possibly Mn]"
[locus_tag=PMM0602],[protein_id=CAE19061.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transporter]"
[locus_tag=PMM0603],[protein_id=CAE19062.1],[gene=None],"[protein=ABC transporter component, possibly Mn transport]"
[locus_tag=PMM0604],[protein_id=CAE19063.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0605],[protein_id=CAE19064.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0606],[protein_id=CAE19065.1],[gene=lepB],[protein=leader peptidase I]
[locus_tag=PMM0607],[protein_id=CAE19066.1],[gene=menD],"[protein=Menaquinone biosynthesis protein; probable 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase]"
[locus_tag=PMM0608],[protein_id=CAE19067.1],[gene=menB],[protein=Napthoate synthase]
[locus_tag=PMM0609],[protein_id=CAE19068.1],[gene=None],[protein=Putative ADPglucose--glucosyltransferase (GlgA)]
[locus_tag=PMM0610],[protein_id=CAE19069.1],[gene=murF],[protein=Cytoplasmic peptidoglycan synthetase]
[locus_tag=PMM0611],[protein_id=CAE19070.1],[gene=glmU],[protein=UDP-N-acetylglucosamine pyrophosphorylase]
[locus_tag=PMM0612],[protein_id=CAE19071.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0613],[protein_id=CAE19072.1],[gene=aroA],[protein=EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)]
[locus_tag=PMM0614],[protein_id=CAE19073.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0615],[protein_id=CAE19074.1],[gene=None],[protein=Possible nitrilase]
[locus_tag=PMM0616],[protein_id=CAE19075.1],[gene=None],[protein=Cell wall hydrolase/autolysin]
[locus_tag=PMM0617],[protein_id=CAE19076.1],[gene=murI],[protein=Putative aspartate and glutamate racemases:Glutamate racemase]
[locus_tag=PMM0618],[protein_id=CAE19077.1],[gene=sds],[protein=polyprenyl synthetase; solanesyl diphosphate synthase (sds)]
[locus_tag=PMM0619],[protein_id=CAE19078.1],[gene=acs],[protein=acetyl-coenzyme A synthetase]
[locus_tag=PMM0620],[protein_id=CAE19079.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0621],[protein_id=CAE19080.1],[gene=dnaQ],"[protein=possible DNA polymerase III, epsilon subunit]"
[locus_tag=PMM0622],[protein_id=CAE19081.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0623],[protein_id=CAE19082.1],[gene=hisS],[protein=Histidyl-tRNA synthetase]
[locus_tag=PMM0627],[protein_id=CAE19086.1],[gene=pcb],[protein=light-harvesting complex protein]
[locus_tag=PMM0630],[protein_id=CAE19089.1],"[gene=GSTTLp28,P28,GSTO1]",[protein=Glutathione S-transferase N terminus]
[locus_tag=PMM0632],[protein_id=CAE19091.1],[gene=None],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily]
[locus_tag=PMM0633],[protein_id=CAE19092.1],[gene=crtL2],[protein=putative lycopene epsilon cyclase]
[locus_tag=PMM0634],[protein_id=CAE19093.1],"[gene=por, pcr]",[protein=possible light-dependent protochlorophyllide oxido-reductase]
[locus_tag=PMM0635],[protein_id=CAE19094.1],[gene=None],"[protein=small mechanosensitive ion channel, MscS family]"
[locus_tag=PMM0637],[protein_id=CAE19096.1],[gene=fur],[protein=Ferric uptake regulator family]
[locus_tag=PMM0638],[protein_id=CAE19097.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0639],[protein_id=CAE19098.1],[gene=stpA],[protein=putative glucosylglycerolphosphate phosphatase]
[locus_tag=PMM0640],[protein_id=CAE19099.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0641],[protein_id=CAE19100.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0642],[protein_id=CAE19101.1],[gene=cysD],[protein=putative O-Acetyl homoserine sulfhydrylase]
[locus_tag=PMM0643],[protein_id=CAE19102.1],[gene=metA],[protein=putative homoserine O-succinyltransferase]
[locus_tag=PMM0644],[protein_id=CAE19103.1],[gene=None],[protein=putative sulfate transporter]
[locus_tag=PMM0645],[protein_id=CAE19104.1],[gene=None],"[protein=FAD linked oxidase, N-terminal]"
[locus_tag=PMM0646],[protein_id=CAE19105.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0647],[protein_id=CAE19106.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0648],[protein_id=CAE19107.1],[gene=None],[protein=Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site]
[locus_tag=PMM0649],[protein_id=CAE19108.1],[gene=None],[protein=Pentapeptide repeats]
[locus_tag=PMM0653],[protein_id=CAE19112.1],[gene=gloA],[protein=LACTOYLGLUTATHIONE LYASE]
[locus_tag=PMM0654],[protein_id=CAE19113.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0658],[protein_id=CAE19117.1],[gene=rsuA],[protein=putative pseudouridylate synthase specific to ribosomal small subunit]
[locus_tag=PMM0661],[protein_id=CAE19120.1],[gene=nrdJ],[protein=ribonucleotide reductase (Class II)]
[locus_tag=PMM0662],[protein_id=CAE19121.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0663],[protein_id=CAE19122.1],[gene=prfC],[protein=peptide-chain-release factor RF-3]
[locus_tag=PMM0664],[protein_id=CAE19123.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0665],[protein_id=CAE19124.1],[gene=hsp33],[protein=Hsp33 protein]
[locus_tag=PMM0666],[protein_id=CAE19125.1],[gene=None],"[protein=possible ABC transporter, ATP-binding component]"
[locus_tag=PMM0667],[protein_id=CAE19126.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0668],[protein_id=CAE19127.1],[gene=None],[protein=Conserved hypothetical protein 46]
[locus_tag=PMM0669],[protein_id=CAE19128.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0670],[protein_id=CAE19129.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0671],[protein_id=CAE19130.1],[gene=None],[protein=putative phosphonate ABC transporter]
[locus_tag=PMM0672],[protein_id=CAE19131.1],[gene=None],[protein=Putative phosphonate ABC transporter]
[locus_tag=PMM0673],[protein_id=CAE19132.1],[gene=None],[protein=Putative phosphonate binding protein for ABC transporter]
[locus_tag=PMM0674],[protein_id=CAE19133.1],[gene=aspC],[protein=Aminotransferases class-I]
[locus_tag=PMM0675],[protein_id=CAE19134.1],[gene=None],[protein=Uracil-DNA glycosylase]
[locus_tag=PMM0676],[protein_id=CAE19135.1],[gene=gcpE],[protein=GcpE protein]
[locus_tag=PMM0677],[protein_id=CAE19136.1],[gene=None],[protein=carboxyl-terminal processing protease]
[locus_tag=PMM0678],[protein_id=CAE19137.1],[gene=None],[protein=Quinolinate synthetase A protein]
[locus_tag=PMM0679],[protein_id=CAE19138.1],[gene=None],[protein=putative transcripton factor]
[locus_tag=PMM0680],[protein_id=CAE19139.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0681],[protein_id=CAE19140.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0682],[protein_id=CAE19141.1],[gene=aroB],[protein=3-dehydroquinate synthase]
[locus_tag=PMM0683],[protein_id=CAE19142.1],[gene=purK],[protein=phosphoribosylaminoimidazole carboxylase]
[locus_tag=PMM0686],[protein_id=CAE19145.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0687],[protein_id=CAE19146.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM0691],[protein_id=CAE19150.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0694],[protein_id=CAE19153.1],[gene=None],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily]
[locus_tag=PMM0703],[protein_id=CAE19162.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0704],[protein_id=CAE19163.1],[gene=None],"[protein=putative potassium channel, VIC family]"
[locus_tag=PMM0705],[protein_id=CAE19164.1],[gene=phoB],"[protein=two-component response regulator, phosphate]"
[locus_tag=PMM0706],[protein_id=CAE19165.1],[gene=phoR],"[protein=two-component sensor histidine kinase, phosphate sensing]"
[locus_tag=PMM0709],[protein_id=CAE19168.1],[gene=som],[protein=possible porin]
[locus_tag=PMM0710],[protein_id=CAE19169.1],[gene=None],"[protein=ABC transporter, substrate binding protein, phosphate]"
[locus_tag=PMM0711],[protein_id=CAE19170.1],[gene=None],"[protein=putative chromate transporter, CHR family]"
[locus_tag=PMM0712],[protein_id=CAE19171.1],[gene=None],"[protein=multidrug efflux transporter, MFS family]"
[locus_tag=PMM0713],[protein_id=CAE19172.1],[gene=gap1],[protein=Putative glyceraldehyde 3-phosphate dehydrogenase]
[locus_tag=PMM0719],[protein_id=CAE19178.1],[gene=None],[protein=hypothetical]
[locus_tag=PMM0723],[protein_id=CAE19182.1],"[gene=pstC,phoW]",[protein=putative phosphate ABC transporter]
[locus_tag=PMM0724],[protein_id=CAE19183.1],"[gene=pstA,phoT]",[protein=putative phosphate ABC transporter]
[locus_tag=PMM0725],[protein_id=CAE19184.1],[gene=None],"[protein=putative phosphate ABC transporter, ATP binding subunit]"
[locus_tag=PMM0727],[protein_id=CAE19186.1],[gene=None],[protein=Serine/threonine specific protein phosphatase]
[locus_tag=PMM0728],[protein_id=CAE19187.1],[gene=None],[protein=DEAD/DEAH box helicase:Helicase C-terminal domain]
[locus_tag=PMM0729],[protein_id=CAE19188.1],[gene=None],[protein=possible ATP-dependent DNA ligase]
[locus_tag=PMM0730],[protein_id=CAE19189.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1883],[protein_id=CAP16387.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMM0738],[protein_id=CAE19197.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM0739],[protein_id=CAE19198.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0741],[protein_id=CAE19200.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0742],[protein_id=CAE19201.1],[gene=clpP1],[protein=Clp protease subunit]
[locus_tag=PMM0743],[protein_id=CAE19202.1],[gene=ftsH1],[protein=FtsH ATP-dependent protease homolog]
[locus_tag=PMM0744],[protein_id=CAE19203.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0745],[protein_id=CAE19204.1],[gene=None],[protein=Insulinase family (Peptidase family M16)]
[locus_tag=PMM0746],[protein_id=CAE19205.1],[gene=None],[protein=Possible Zn-dependent peptidase]
[locus_tag=PMM0747],[protein_id=CAE19206.1],[gene=pcyA],[protein=ferredoxin-dependent biliverdin reductase]
[locus_tag=PMM0748],[protein_id=CAE19207.1],[gene=None],[protein=possible ABC transporter component]
[locus_tag=PMM0749],[protein_id=CAE19208.1],[gene=None],"[protein=ABC-transporter, membrane spanning component]"
[locus_tag=PMM0750],[protein_id=CAE19209.1],[gene=None],"[protein=ABC transporter, ATP-binding component]"
[locus_tag=PMM0752],[protein_id=CAE19211.1],[gene=None],"[protein=Glycosyl transferase, family 2]"
[locus_tag=PMM0753],[protein_id=CAE19212.1],"[gene=rps2, rpsB]",[protein=30S ribosomal protein S2]
[locus_tag=PMM0754],[protein_id=CAE19213.1],[gene=tsf],[protein=putative Elongation factor Ts]
[locus_tag=PMM0756],[protein_id=CAE19215.1],[gene=recG],[protein=ATP-dependent DNA helicase recG]
[locus_tag=PMM0757],[protein_id=CAE19216.1],[gene=None],[protein=D-ala-D-ala dipeptidase]
[locus_tag=PMM0758],[protein_id=CAE19217.1],[gene=sir],[protein=Ferredoxin-sulfite reductase]
[locus_tag=PMM0759],[protein_id=CAE19218.1],[gene=glyS],[protein=Glycyl-tRNA synthetase beta subunit]
[locus_tag=PMM0760],[protein_id=CAE19219.1],[gene=chlP],[protein=Aromatic-ring hydroxylase (flavoprotein monooxygenase)]
[locus_tag=PMM0761],[protein_id=CAE19220.1],[gene=None],[protein=putative carboxypeptidase]
[locus_tag=PMM0762],[protein_id=CAE19221.1],[gene=typA / bipA],[protein=tyrosine binding protein]
[locus_tag=PMM0763],[protein_id=CAE19222.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0764],[protein_id=CAE19223.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]"
[locus_tag=PMM0765],[protein_id=CAE19224.1],[gene=None],[protein=possible heme transporter]
[locus_tag=PMM0766],[protein_id=CAE19225.1],"[gene=rpe, cbbE]",[protein=Ribulose-phosphate 3-epimerase]
[locus_tag=PMM0767],[protein_id=CAE19226.1],"[gene=glpX, cbbF, fbp]","[protein=Fructose-1,6-bisphosphatase/sedoheptulose-1,7-bisphosphatase]"
[locus_tag=PMM0768],[protein_id=CAE19227.1],[gene=hemA],[protein=glutamyl-tRNA reductase]
[locus_tag=PMM0769],[protein_id=CAE19228.1],[gene=glgC],[protein=ADP-glucose pyrophosphorylase]
[locus_tag=PMM0770],[protein_id=CAE19229.1],[gene=gnd],[protein=6-phosphogluconate dehydrogenase]
[locus_tag=PMM0771],[protein_id=CAE19230.1],[gene=None],"[protein=Putative 6-phosphogluconolactonase (DevB, Pgl)]"
[locus_tag=PMM0772],[protein_id=CAE19231.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0773],[protein_id=CAE19232.1],[gene=None],[protein=possible Geminivirus coat protein]
[locus_tag=PMM0774],[protein_id=CAE19233.1],[gene=ilvD],[protein=Dihydroxy-acid dehydratase]
[locus_tag=PMM0775],[protein_id=CAE19234.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM0776],[protein_id=CAE19235.1],[gene=None],[protein=putative uracil phosphoribosyltransferase]
[locus_tag=PMM0777],[protein_id=CAE19236.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0778],[protein_id=CAE19237.1],[gene=cobW],[protein=putative cobalamin synthesis protein]
[locus_tag=PMM0779],[protein_id=CAE19238.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0780],[protein_id=CAE19239.1],"[gene=purQ (purL, pur4)]",[protein=phosphoribosylformylglycinamidine synthase]
[locus_tag=PMM0781],[protein_id=CAE19240.1],"[gene=cbbA,cfxA,fbaA,fda]","[protein=Fructose-bisphosphate/sedoheptulose-1,7-bisphosphate aldolase]"
[locus_tag=PMM0782],[protein_id=CAE19241.1],[gene=None],[protein=putative oxidoreductase]
[locus_tag=PMM0783],[protein_id=CAE19242.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0784],[protein_id=CAE19243.1],[gene=accD],"[protein=acetyl-CoA carboxylase, beta subunit]"
[locus_tag=PMM0785],[protein_id=CAE19244.1],"[gene=prk, cbbP]",[protein=phosphoribulokinase]
[locus_tag=PMM0786],[protein_id=CAE19245.1],[gene=leuB],[protein=3-isopropylmalate dehydrogenase]
[locus_tag=PMM0787],[protein_id=CAE19246.1],[gene=lpxD],[protein=UDP-3-O-[3-hydroxymyristoyl]
[locus_tag=PMM0788],[protein_id=CAE19247.1],[gene=proB],[protein=putative glutamate 5-kinase]
[locus_tag=PMM0789],[protein_id=CAE19248.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0790],[protein_id=CAE19249.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0791],[protein_id=CAE19250.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0793],[protein_id=CAE19252.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0794],[protein_id=CAE19253.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0795],[protein_id=CAE19254.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0796],[protein_id=CAE19255.1],[gene=hisA],[protein=PHOSPHORIBOSYLFORMIMINO-5-AMINOIMIDAZOLE CARBOXAMIDE RIBOTIDE ISOMERASE]
[locus_tag=PMM0797],[protein_id=CAE19256.1],[gene=None],[protein=possible mRNA binding protein]
[locus_tag=PMM0798],[protein_id=CAE19257.1],[gene=pgsA],[protein=CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase]
[locus_tag=PMM0799],[protein_id=CAE19258.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0800],[protein_id=CAE19259.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0801],[protein_id=CAE19260.1],[gene=ycf39],[protein=conserved hypothetical protein]
[locus_tag=PMM0802],[protein_id=CAE19261.1],[gene=None],[protein=putative endonuclease]
[locus_tag=PMM0803],[protein_id=CAE19262.1],"[gene=futC, sfuC]","[protein=ABC transporter, ATP binding component, possibly iron transporter]"
[locus_tag=PMM0807],[protein_id=CAE19266.1],[gene=None],"[protein=possible ABC transporter component, ATP-binding domain]"
[locus_tag=PMM0808],[protein_id=CAE19267.1],[gene=None],[protein=Rieske iron-sulfur protein 2Fe-2S subunit]
[locus_tag=PMM1896],[protein_id=CAP16400.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMM0817],[protein_id=CAE19276.1],[gene=hli17],[protein=possible high light inducible protein]
[locus_tag=PMM0821],[protein_id=CAE19280.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0822],[protein_id=CAE19281.1],[gene=K8K14.9],[protein=putative protein]
[locus_tag=PMM0823],[protein_id=CAE19282.1],[gene=None],[protein=Domain of unknown function DUF143:Iojap-related protein]
[locus_tag=PMM0824],[protein_id=CAE19283.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0825],[protein_id=CAE19284.1],[gene=carB],"[protein=carbamoyl-phosphate synthase, large subunit]"
[locus_tag=PMM0826],[protein_id=CAE19285.1],[gene=None],[protein=hypothetical]
[locus_tag=PMM0827],[protein_id=CAE19286.1],[gene=None],"[protein=ABC transporter, possibly multidrug efflux]"
[locus_tag=PMM0828],[protein_id=CAE19287.1],[gene=None],[protein=S4 domain]
[locus_tag=PMM0829],[protein_id=CAE19288.1],"[gene=tpi, cbbJ]",[protein=Triosephosphate isomerase]
[locus_tag=PMM0830],[protein_id=CAE19289.1],[gene=folP],[protein=putative dihydropteroate synthase]
[locus_tag=PMM0831],[protein_id=CAE19290.1],[gene=chlH],"[protein=protoporphyrin IX magnesium chelatase, subunit chlH]"
[locus_tag=PMM0832],[protein_id=CAE19291.1],[gene=dapB],[protein=Dihydrodipicolinate reductase]
[locus_tag=PMM0833],[protein_id=CAE19292.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0834],[protein_id=CAE19293.1],[gene=ubiH],[protein=possible 2-octaprenyl-6-methoxyphenol 4-monoxygenase; UbiH]
[locus_tag=PMM0836],[protein_id=CAE19295.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0837],[protein_id=CAE19296.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0839],[protein_id=CAE19298.1],[gene=None],[protein=Transcriptional-repair coupling factor]
[locus_tag=PMM0840],[protein_id=CAE19299.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0841],[protein_id=CAE19300.1],[gene=fmt],[protein=putative Methionyl-tRNA formyltransferase]
[locus_tag=PMM0842],[protein_id=CAE19301.1],[gene=pmbA],[protein=possible modulator of DNA gyrase]
[locus_tag=PMM0843],[protein_id=CAE19302.1],[gene=tldD],[protein=putative modulator of DNA gyrase; TldD]
[locus_tag=PMM0844],[protein_id=CAE19303.1],"[gene=PNIL34,AT103]",[protein=phytochrome-regulated gene]
[locus_tag=PMM0845],[protein_id=CAE19304.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0847],[protein_id=CAE19306.1],[gene=zam],[protein=putative acetazolamide conferring resistance protein Zam]
[locus_tag=PMM0848],[protein_id=CAE19307.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0849],[protein_id=CAE19308.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0850],[protein_id=CAE19309.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0851],[protein_id=CAE19310.1],[gene=None],[protein=Putative CbbY homolog]
[locus_tag=PMM0853],[protein_id=CAE19312.1],"[gene=rpl32, rpmF]",[protein=50S ribosomal protein L32]
[locus_tag=PMM0854],[protein_id=CAE19313.1],[gene=ftsH4],[protein=cell division protein FtsH4]
[locus_tag=PMM0856],[protein_id=CAE19315.1],[gene=tpx],[protein=thioredoxin peroxidase]
[locus_tag=PMM0862],[protein_id=CAE19321.1],[gene=None],[protein=putative tRNA/rRNA methyltransferase (SpoU family)]
[locus_tag=PMM0863],[protein_id=CAE19322.1],[gene=cobU/cobP],[protein=putative cobinamide kinase]
[locus_tag=PMM0867],[protein_id=CAE19326.1],[gene=metG],[protein=Methionyl-tRNA synthetase]
[locus_tag=PMM0868],[protein_id=CAE19327.1],[gene=None],[protein=probable ribonuclease II]
[locus_tag=PMM0869],[protein_id=CAE19328.1],"[gene=rps18, rpsR]",[protein=30S Ribosomal protein S18]
[locus_tag=PMM0870],[protein_id=CAE19329.1],"[gene=rpl33, rpmG]",[protein=50S Ribosomal protein L33]
[locus_tag=PMM0871],[protein_id=CAE19330.1],[gene=pheT],[protein=Phenylalanyl-tRNA synthetase beta chain]
[locus_tag=PMM0872],[protein_id=CAE19331.1],[gene=None],[protein=possible Carboxylesterase]
[locus_tag=PMM0873],[protein_id=CAE19332.1],[gene=None],[protein=possible DnaJ domain]
[locus_tag=PMM0874],[protein_id=CAE19333.1],[gene=None],[protein=possible ATP adenylyltransferase]
[locus_tag=PMM0875],[protein_id=CAE19334.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0876],[protein_id=CAE19335.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM0877],[protein_id=CAE19336.1],[gene=metH],[protein=putative methionine synthase]
[locus_tag=PMM0878],[protein_id=CAE19337.1],[gene=ilvE],[protein=putative Branched-chain amino acid aminotransferase]
[locus_tag=PMM0879],[protein_id=CAE19338.1],[gene=CobN],[protein=cobalamin biosynthetic protein CobN]
[locus_tag=PMM0880],[protein_id=CAE19339.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0881],[protein_id=CAE19340.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0882],[protein_id=CAE19341.1],[gene=uvrC],[protein=Excinuclease ABC subunit C (UvrC)]
[locus_tag=PMM0883],[protein_id=CAE19342.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0884],[protein_id=CAE19343.1],[gene=coaD],[protein=putative pantetheine-phosphate adenylyltransferase]
[locus_tag=PMM0885],[protein_id=CAE19344.1],"[gene=dacB, pbp]",[protein=putative D-Ala-D-Ala carboxypeptidase 3 (S13) family]
[locus_tag=PMM0886],[protein_id=CAE19345.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0887],[protein_id=CAE19346.1],[gene=nifS],[protein=possible cysteine desulfurase (class-V aminotransferase family)]
[locus_tag=PMM0888],[protein_id=CAE19347.1],[gene=dapF],[protein=Diaminopimelate epimerase]
[locus_tag=PMM0889],[protein_id=CAE19348.1],[gene=leuS],[protein=Leucyl-tRNA synthetase]
[locus_tag=PMM0890],[protein_id=CAE19349.1],[gene=pgi],[protein=Phosphoglucose isomerase (PGI)]
[locus_tag=PMM0891],[protein_id=CAE19350.1],[gene=purN],[protein=phosphoribosylglycinamide formyltransferase]
[locus_tag=PMM0892],[protein_id=CAE19351.1],[gene=argC],[protein=N-acetyl-gamma-glutamyl-phosphate reductase]
[locus_tag=PMM0893],[protein_id=CAE19352.1],[gene=ribA/ribB],"[protein=possible GTP cyclohydrolase II / 3,4-dihydroxy-2-butanone 4-phosphate synthase]"
[locus_tag=PMM0894],[protein_id=CAE19353.1],[gene=None],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase]
[locus_tag=PMM0895],[protein_id=CAE19354.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0896],[protein_id=CAE19355.1],[gene=dnaJ2],[protein=DnaJ2 protein]
[locus_tag=PMM0897],[protein_id=CAE19356.1],[gene=dnaK],"[protein=Molecular chaperone DnaK, heat shock protein hsp70]"
[locus_tag=PMM0898],[protein_id=CAE19357.1],[gene=petF],"[protein=ferredoxin, petF-like protein]"
[locus_tag=PMM0899],[protein_id=CAE19358.1],[gene=None],[protein=Possible myo-inositol-1(or 4)-monophosphatase]
[locus_tag=PMM0900],[protein_id=CAE19359.1],[gene=hisZ],[protein=possible Histidyl-tRNA synthetase]
[locus_tag=PMM0901],[protein_id=CAE19360.1],[gene=htpG],[protein=heat shock protein HtpG]
[locus_tag=PMM0902],[protein_id=CAE19361.1],"[gene=rpl28, rpmB]",[protein=50S ribosomal protein L28]
[locus_tag=PMM0903],[protein_id=CAE19362.1],[gene=None],[protein=Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein]
[locus_tag=PMM0904],[protein_id=CAE19363.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0905],[protein_id=CAE19364.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0906],[protein_id=CAE19365.1],[gene=psaK],[protein=Photosystem I PsaK protein (subunit X)]
[locus_tag=PMM0907],[protein_id=CAE19366.1],[gene=Dxs],[protein=1-deoxy-D-xylulose 5-phosphate synthase]
[locus_tag=PMM0908],[protein_id=CAE19367.1],[gene=ilvA],[protein=threonine dehydratase]
[locus_tag=PMM0909],[protein_id=CAE19368.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0910],[protein_id=CAE19369.1],[gene=None],[protein=conserved hypothetical membrane protein]
[locus_tag=PMM0911],[protein_id=CAE19370.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0912],[protein_id=CAE19371.1],[gene=pykF],[protein=Pyruvate kinase]
[locus_tag=PMM0913],[protein_id=CAE19372.1],[gene=None],[protein=possible ABC transporter]
[locus_tag=PMM0914],[protein_id=CAE19373.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0915],[protein_id=CAE19374.1],[gene=None],[protein=putative lipoprotein signal peptidase]
[locus_tag=PMM0916],[protein_id=CAE19375.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0917],[protein_id=CAE19376.1],[gene=None],[protein=Pyridoxal-dependent decarboxylase family protein]
[locus_tag=PMM0918],[protein_id=CAE19377.1],[gene=None],[protein=putative cytidine/deoxycytidylate deaminase]
[locus_tag=PMM0919],[protein_id=CAE19378.1],"[gene=spt, agt]",[protein=serine:pyruvate/alanine:glyoxylate aminotransferase]
[locus_tag=PMM0920],[protein_id=CAE19379.1],[gene=glnA],"[protein=Glutamine synthetase, glutamate--ammonia ligase]"
[locus_tag=PMM0921],[protein_id=CAE19380.1],[gene=None],[protein=SAM (and some other nucleotide) binding motif:Generic methyl-transferase]
[locus_tag=PMM0923],[protein_id=CAE19382.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM0924],[protein_id=CAE19383.1],[gene=None],[protein=conserved hypothetical protein]
