[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=SynWH7803_0001],[protein_id=CAK22427.1],[gene=dnaN],[protein=DNA polymerase III beta subunit],[evalue=1.10156E-156]
[locus_tag=PMM0881],[protein_id=CAE19340.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1272],[protein_id=CAK23698.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=6.12279E-76]
[locus_tag=PMM0882],[protein_id=CAE19341.1],[gene=uvrC],[protein=Excinuclease ABC subunit C (UvrC)],[locus_tag=SynWH7803_1269],[protein_id=CAK23695.1],[gene=uvrC],[protein=Nuclease subunit of the excinuclease complex (Excinuclease ABC subunit C)],[evalue=0.00000E+00]
[locus_tag=PMM0883],[protein_id=CAE19342.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1358],[protein_id=CAK23784.1],[gene=None],[protein=Flavin reductase like domain protein],[evalue=9.29253E-80],[locus_tag=SynWH7803_2406],[protein_id=CAK24832.1],[gene=dfa],[protein=Diflavin flavoprotein A],[evalue=2.76598E-11]
[locus_tag=PMM0884],[protein_id=CAE19343.1],[gene=coaD],[protein=putative pantetheine-phosphate adenylyltransferase],[locus_tag=SynWH7803_1268],[protein_id=CAK23694.1],[gene=coaD],[protein=Phosphopantetheine adenylyltransferase],[evalue=9.05552E-76]
[locus_tag=PMM0885],[protein_id=CAE19344.1],"[gene=dacB, pbp]",[protein=putative D-Ala-D-Ala carboxypeptidase 3 (S13) family],[locus_tag=SynWH7803_1266],[protein_id=CAK23692.1],[gene=dacB],[protein=D-alanyl-D-alanine carboxypeptidase],[evalue=4.19626E-59]
[locus_tag=PMM0886],[protein_id=CAE19345.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1264],[protein_id=CAK23690.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=5.36422E-37]
[locus_tag=PMM0887],[protein_id=CAE19346.1],[gene=nifS],[protein=possible cysteine desulfurase (class-V aminotransferase family)],[locus_tag=SynWH7803_1263],[protein_id=CAK23689.1],[gene=nifS],[protein=Cysteine desulfurase],[evalue=1.15389E-86],[locus_tag=SynWH7803_2311],[protein_id=CAK24737.1],[gene=None],[protein=Cysteine desulfurase],[evalue=4.07181E-50],[locus_tag=SynWH7803_2147],[protein_id=CAK24573.1],[gene=csd],[protein=Selenocysteine lyase],[evalue=4.05073E-22]
[locus_tag=PMM0888],[protein_id=CAE19347.1],[gene=dapF],[protein=Diaminopimelate epimerase],[locus_tag=SynWH7803_1262],[protein_id=CAK23688.1],[gene=dapF],[protein=Diaminopimelate epimerase],[evalue=1.76378E-84]
[locus_tag=PMM0889],[protein_id=CAE19348.1],[gene=leuS],[protein=Leucyl-tRNA synthetase],[locus_tag=SynWH7803_1260],[protein_id=CAK23686.1],[gene=leuS],[protein=Leucyl-tRNA synthetase],[evalue=0.00000E+00],[locus_tag=SynWH7803_0335],[protein_id=CAK22761.1],[gene=ileS],[protein=Isoleucyl-tRNA synthetase],[evalue=1.10940E-27],[locus_tag=SynWH7803_2440],[protein_id=CAK24866.1],[gene=valS],[protein=Valyl-tRNA synthetase],[evalue=2.15488E-21]
[locus_tag=PMM0890],[protein_id=CAE19349.1],[gene=pgi],[protein=Phosphoglucose isomerase (PGI)],[locus_tag=SynWH7803_1259],[protein_id=CAK23685.1],[gene=pgi],[protein=Glucose-6-phosphate isomerase],[evalue=0.00000E+00]
[locus_tag=PMM0891],[protein_id=CAE19350.1],[gene=purN],[protein=phosphoribosylglycinamide formyltransferase],[locus_tag=SynWH7803_1254],[protein_id=CAK23680.1],[gene=purN],[protein=Folate-dependent Phosphoribosylglycinamide formyltransferase PurN],[evalue=4.98192E-55],[locus_tag=SynWH7803_2509],[protein_id=CAK24935.1],[gene=purU],[protein=Formyltetrahydrofolate deformylase],[evalue=4.03305E-20]
[locus_tag=PMM0892],[protein_id=CAE19351.1],[gene=argC],[protein=N-acetyl-gamma-glutamyl-phosphate reductase],[locus_tag=SynWH7803_1253],[protein_id=CAK23679.1],[gene=argC],[protein=N-acetyl-gamma-glutamyl-phosphate reductase],[evalue=1.56337E-153]
[locus_tag=PMM0893],[protein_id=CAE19352.1],[gene=ribA/ribB],"[protein=possible GTP cyclohydrolase II / 3,4-dihydroxy-2-butanone 4-phosphate synthase]",[locus_tag=SynWH7803_1252],[protein_id=CAK23678.1],[gene=ribA],"[protein=Riboflavin biosynthesis protein RibA (3, 4-dihydroxy-2-butanone 4-phosphate synthase / GTP cyclohydrolase II)]",[evalue=0.00000E+00]
[locus_tag=PMM0894],[protein_id=CAE19353.1],[gene=None],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[locus_tag=SynWH7803_1251],[protein_id=CAK23677.1],[gene=ppiB],[protein=Peptidyl-prolyl cis-trans isomerase],[evalue=9.77431E-80]
[locus_tag=PMM0895],[protein_id=CAE19354.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1248],[protein_id=CAK23674.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.90352E-44]
[locus_tag=PMM0896],[protein_id=CAE19355.1],[gene=dnaJ2],[protein=DnaJ2 protein],[locus_tag=SynWH7803_1247],[protein_id=CAK23673.1],[gene=dnaJ],[protein=Chaperone protein DnaJ],[evalue=7.41068E-105],[locus_tag=SynWH7803_2100],[protein_id=CAK24526.1],[gene=dnaJ],[protein=DnaJ-class molecular chaperone],[evalue=3.65948E-28],[locus_tag=SynWH7803_0023],[protein_id=CAK22449.1],[gene=None],[protein=DnaJ-class molecular chaperone],[evalue=1.57701E-12]
[locus_tag=PMM0897],[protein_id=CAE19356.1],[gene=dnaK],"[protein=Molecular chaperone DnaK, heat shock protein hsp70]",[locus_tag=SynWH7803_1246],[protein_id=CAK23672.1],[gene=dnaK],[protein=Chaperone protein DnaK],[evalue=0.00000E+00],[locus_tag=SynWH7803_2514],[protein_id=CAK24940.1],[gene=dnaK],[protein=Molecular chaperone DnaK],[evalue=0.00000E+00]
[locus_tag=PMM0898],[protein_id=CAE19357.1],[gene=petF],"[protein=ferredoxin, petF-like protein]",[locus_tag=SynWH7803_1242],[protein_id=CAK23668.1],[gene=petF],[protein=Ferredoxin],[evalue=1.98057E-45],[locus_tag=SynWH7803_2014],[protein_id=CAK24440.1],[gene=petF],[protein=Ferredoxin],[evalue=3.76538E-23],[locus_tag=SynWH7803_1979],[protein_id=CAK24405.1],[gene=petF],[protein=Ferredoxin],[evalue=3.37884E-18]
[locus_tag=PMM0899],[protein_id=CAE19358.1],[gene=None],[protein=Possible myo-inositol-1(or 4)-monophosphatase],[locus_tag=SynWH7803_1241],[protein_id=CAK23667.1],[gene=suhB],[protein=Inositol-1-monophosphatase],[evalue=5.32754E-111],[locus_tag=SynWH7803_2198],[protein_id=CAK24624.1],[gene=None],[protein=Inositol monophosphatase family protein],[evalue=7.58093E-17],[locus_tag=SynWH7803_1909],[protein_id=CAK24335.1],[gene=cysQ],[protein=3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase],[evalue=5.60365E-11]
[locus_tag=PMM0900],[protein_id=CAE19359.1],[gene=hisZ],[protein=possible Histidyl-tRNA synthetase],[locus_tag=SynWH7803_1240],[protein_id=CAK23666.1],[gene=hisZ],[protein=ATP phosphoribosyltransferase regulatory subunit],[evalue=4.54255E-79]
[locus_tag=PMM0901],[protein_id=CAE19360.1],[gene=htpG],[protein=heat shock protein HtpG],[locus_tag=SynWH7803_1238],[protein_id=CAK23664.1],[gene=htpG],[protein=Chaperone protein HtpG],[evalue=0.00000E+00]
[locus_tag=PMM0902],[protein_id=CAE19361.1],"[gene=rpl28, rpmB]",[protein=50S ribosomal protein L28],[locus_tag=SynWH7803_1237],[protein_id=CAK23663.1],[gene=rpmB],[protein=50S ribosomal protein L28],[evalue=2.53158E-40]
[locus_tag=PMM0903],[protein_id=CAE19362.1],[gene=None],[protein=Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein],[locus_tag=SynWH7803_1236],[protein_id=CAK23662.1],[gene=ccp],[protein=Peroxiredoxin],[evalue=1.02146E-56],[locus_tag=SynWH7803_1042],[protein_id=CAK23468.1],[gene=None],[protein=Peroxiredoxin],[evalue=6.61747E-21],[locus_tag=SynWH7803_2172],[protein_id=CAK24598.1],[gene=bcp],[protein=Peroxiredoxin],[evalue=1.62912E-19]
[locus_tag=PMM0904],[protein_id=CAE19363.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1226],[protein_id=CAK23652.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=3.34155E-25]
[locus_tag=PMM0905],[protein_id=CAE19364.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1225],[protein_id=CAK23651.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=2.50180E-19]
[locus_tag=PMM0906],[protein_id=CAE19365.1],[gene=psaK],[protein=Photosystem I PsaK protein (subunit X)],[locus_tag=SynWH7803_1224],[protein_id=CAK23650.1],[gene=psaK],"[protein=Photosystem I reaction center subunit X, PsaK]",[evalue=2.27411E-30]
[locus_tag=PMM0907],[protein_id=CAE19366.1],[gene=Dxs],[protein=1-deoxy-D-xylulose 5-phosphate synthase],[locus_tag=SynWH7803_1223],[protein_id=CAK23649.1],[gene=dxs],[protein=1-deoxy-D-xylulose-5-phosphate synthase],[evalue=0.00000E+00],[locus_tag=SynWH7803_1363],[protein_id=CAK23789.1],[gene=pdhB],[protein=Pyruvate dehydrogenase E1 component beta subunit],[evalue=1.13577E-13]
[locus_tag=PMM0908],[protein_id=CAE19367.1],[gene=ilvA],[protein=threonine dehydratase],[locus_tag=SynWH7803_1222],[protein_id=CAK23648.1],[gene=ilvA],[protein=Threonine dehydratase],[evalue=0.00000E+00]
[locus_tag=PMM0909],[protein_id=CAE19368.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1221],[protein_id=CAK23647.1],[gene=None],[protein=Predicted HTH domain transcriptional regulator],[evalue=8.05654E-55]
[locus_tag=PMM0910],[protein_id=CAE19369.1],[gene=None],[protein=conserved hypothetical membrane protein],[locus_tag=SynWH7803_1220],[protein_id=CAK23646.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=1.09811E-33]
[locus_tag=PMM0911],[protein_id=CAE19370.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1219],[protein_id=CAK23645.1],[gene=None],[protein=Predicted MazG family pyrophosphatase],[evalue=2.74340E-43]
[locus_tag=PMM0912],[protein_id=CAE19371.1],[gene=pykF],[protein=Pyruvate kinase],[locus_tag=SynWH7803_1218],[protein_id=CAK23644.1],[gene=pykF],[protein=Pyruvate kinase],[evalue=0.00000E+00]
[locus_tag=PMM0913],[protein_id=CAE19372.1],[gene=None],[protein=possible ABC transporter],[locus_tag=SynWH7803_1217],[protein_id=CAK23643.1],[gene=None],"[protein=ABC-type antimicrobial peptide transport system, permease component]",[evalue=0.00000E+00]
[locus_tag=PMM0914],[protein_id=CAE19373.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1339],[protein_id=CAK23765.1],[gene=None],[protein=Uncharacterized BioY family conserved membrane protein],[evalue=9.20654E-14]
[locus_tag=PMM0915],[protein_id=CAE19374.1],[gene=None],[protein=putative lipoprotein signal peptidase],[locus_tag=SynWH7803_1340],[protein_id=CAK23766.1],[gene=lspA],[protein=Lipoprotein signal peptidase],[evalue=2.62443E-26]
[locus_tag=PMM0916],[protein_id=CAE19375.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1342],[protein_id=CAK23768.1],[gene=None],[protein=Membrane associated GTPase],[evalue=1.30408E-113]
[locus_tag=PMM0917],[protein_id=CAE19376.1],[gene=None],[protein=Pyridoxal-dependent decarboxylase family protein],[locus_tag=SynWH7803_1343],[protein_id=CAK23769.1],[gene=None],[protein=Pyridoxal-dependent decarboxylase family protein],[evalue=1.97725E-129]
[locus_tag=PMM0918],[protein_id=CAE19377.1],[gene=None],[protein=putative cytidine/deoxycytidylate deaminase],[locus_tag=SynWH7803_1344],[protein_id=CAK23770.1],[gene=tadA],[protein=tRNA-specific adenosine deaminase],[evalue=3.83094E-64]
[locus_tag=PMM0919],[protein_id=CAE19378.1],"[gene=spt, agt]",[protein=serine:pyruvate/alanine:glyoxylate aminotransferase],[locus_tag=SynWH7803_1345],[protein_id=CAK23771.1],"[gene=spt, agt]",[protein=Alanine--glyoxylate transaminase],[evalue=0.00000E+00],[locus_tag=SynWH7803_0046],[protein_id=CAK22472.1],[gene=None],"[protein=DHSS soluble hydrogenase, small subunit]",[evalue=7.36983E-54]
[locus_tag=PMM0920],[protein_id=CAE19379.1],[gene=glnA],"[protein=Glutamine synthetase, glutamate--ammonia ligase]",[locus_tag=SynWH7803_1347],[protein_id=CAK23773.1],[gene=glnAI],"[protein=Glutamine synthetase, glutamate ammonia ligase]",[evalue=0.00000E+00],[locus_tag=SynWH7803_2387],[protein_id=CAK24813.1],[gene=glnAIII],[protein=Glutamine synthetase III],[evalue=1.59654E-21]
[locus_tag=PMM0921],[protein_id=CAE19380.1],[gene=None],[protein=SAM (and some other nucleotide) binding motif:Generic methyl-transferase],[locus_tag=SynWH7803_1349],[protein_id=CAK23775.1],[gene=None],[protein=SAM-dependent methyltransferase],[evalue=1.39423E-146]
[locus_tag=PMM0923],[protein_id=CAE19382.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1352],[protein_id=CAK23778.1],[gene=rsbW],[protein=Anti-sigma regulatory factor],[evalue=2.27037E-43]
[locus_tag=PMM0924],[protein_id=CAE19383.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1353],[protein_id=CAK23779.1],[gene=None],[protein=Conserved hypothetical protein with a GUN4-like domain],[evalue=2.30204E-85]
[locus_tag=PMM0925],[protein_id=CAE19384.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1354],[protein_id=CAK23780.1],[gene=None],[protein=Predicted ATPase],[evalue=5.72646E-100]
[locus_tag=PMM0926],[protein_id=CAE19385.1],[gene=psb28],[protein=possible Photosystem II reaction center Psb28 protein],[locus_tag=SynWH7803_1355],[protein_id=CAK23781.1],[gene=psb28],[protein=Photosystem II reaction centre Psb28 protein],[evalue=1.26427E-50]
[locus_tag=PMM0927],[protein_id=CAE19386.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1356],[protein_id=CAK23782.1],[gene=None],[protein=Predicted permease],[evalue=2.03033E-83],[locus_tag=SynWH7803_1357],[protein_id=CAK23783.1],[gene=None],[protein=Predicted permease],[evalue=9.07736E-15]
[locus_tag=PMM0928],[protein_id=CAE19387.1],[gene=secF],[protein=preprotein translocase subunit],[locus_tag=SynWH7803_1361],[protein_id=CAK23787.1],[gene=secF],[protein=Preprotein translocase SecF subunit],[evalue=4.50166E-81]
[locus_tag=PMM0929],[protein_id=CAE19388.1],[gene=secD],[protein=preprotein translocase subunit],[locus_tag=SynWH7803_1362],[protein_id=CAK23788.1],[gene=secD],[protein=Preprotein translocase SecD subunit],[evalue=0.00000E+00]
[locus_tag=PMM0930],[protein_id=CAE19389.1],[gene=pdhB],[protein=Pyruvate dehydrogenase E1 beta subunit],[locus_tag=SynWH7803_1363],[protein_id=CAK23789.1],[gene=pdhB],[protein=Pyruvate dehydrogenase E1 component beta subunit],[evalue=0.00000E+00],[locus_tag=SynWH7803_1223],[protein_id=CAK23649.1],[gene=dxs],[protein=1-deoxy-D-xylulose-5-phosphate synthase],[evalue=4.59595E-14]
[locus_tag=PMM0931],[protein_id=CAE19390.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1364],[protein_id=CAK23790.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=5.57176E-19]
[locus_tag=PMM0932],[protein_id=CAE19391.1],[gene=ispE],[protein=Putative 4-diphosphocytidyl-2C-methyl-D-erythritol kinase (CMK)],[locus_tag=SynWH7803_1365],[protein_id=CAK23791.1],[gene=ispE],[protein=4-diphosphocytidyl-2-C-methyl-D-erythritol kinase],[evalue=1.57457E-97]
[locus_tag=PMM0933],[protein_id=CAE19392.1],[gene=None],"[protein=putative rRNA (adenine-N6,N6)-dimethyltransferase]",[locus_tag=SynWH7803_1366],[protein_id=CAK23792.1],[gene=ksgA],[protein=Dimethyladenosine transferase],[evalue=7.54981E-79]
[locus_tag=PMM0935],[protein_id=CAE19394.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1085],[protein_id=CAK23511.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=8.36534E-31]
[locus_tag=PMM0936],[protein_id=CAE19395.1],[gene=None],[protein=putative SOS mutagenesis protein UmuD],[locus_tag=SynWH7803_1081],[protein_id=CAK23507.1],[gene=umuD],[protein=Bacterial UmuD protein homolog (SOS-regulated protein)],[evalue=1.21616E-48]
[locus_tag=PMM0937],[protein_id=CAE19396.1],[gene=umuC],[protein=putative UmuC protein],[locus_tag=SynWH7803_1080],[protein_id=CAK23506.1],[gene=umuC],[protein=Bacterial UmuC protein homolog (SOS-regulated protein)],[evalue=5.52405E-145]
[locus_tag=PMM0939],[protein_id=CAE19398.1],[gene=None],[protein=CHC2 zinc finger:Toprim domain],[locus_tag=SynWH7803_1073],[protein_id=CAK23499.1],[gene=dnaG],[protein=DNA primase],[evalue=0.00000E+00]
[locus_tag=PMM0940],[protein_id=CAE19399.1],[gene=None],"[protein=Integral membrane protein, DUF6]",[locus_tag=SynWH7803_1072],[protein_id=CAK23498.1],[gene=None],[protein=Permease of the drug/metabolite transporter (DMT) superfamily],[evalue=4.79131E-74]
[locus_tag=PMM0941],[protein_id=CAE19400.1],[gene=None],[protein=possible cAMP phosphodiesterases class-II],[locus_tag=SynWH7803_1781],[protein_id=CAK24207.1],[gene=None],[protein=Uncharacterized conserved secreted protein],[evalue=6.63251E-12]
[locus_tag=PMM0942],[protein_id=CAE19401.1],[gene=ruvA],[protein=putative holliday junction DNA helicase RuvA],[locus_tag=SynWH7803_1070],[protein_id=CAK23496.1],[gene=ruvA],[protein=Holliday junction resolvasome DNA-binding subunit],[evalue=2.48626E-28]
[locus_tag=PMM0943],[protein_id=CAE19402.1],"[gene=rps15, rpsO]",[protein=30S Ribosomal protein S15],[locus_tag=SynWH7803_1069],[protein_id=CAK23495.1],[gene=rpsO],[protein=30S ribosomal protein S15],[evalue=3.01790E-47]
[locus_tag=PMM0944],[protein_id=CAE19403.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1068],[protein_id=CAK23494.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=8.22109E-29]
[locus_tag=PMM0945],[protein_id=CAE19404.1],[gene=dnaE],"[protein=DNA polymerase III, alpha subunit]",[locus_tag=SynWH7803_1067],[protein_id=CAK23493.1],[gene=dnaE],[protein=DNA polymerase III alpha subunit],[evalue=0.00000E+00]
[locus_tag=PMM0946],[protein_id=CAE19405.1],[gene=gatA],[protein=Glutamyl-tRNA(Gln) amidotransferase A subunit],[locus_tag=SynWH7803_1066],[protein_id=CAK23492.1],[gene=gatA],[protein=Glutamyl-tRNA(Gln) amidotransferase subunit A],[evalue=0.00000E+00]
[locus_tag=PMM0947],[protein_id=CAE19406.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1065],[protein_id=CAK23491.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=6.65027E-27]
[locus_tag=PMM0948],[protein_id=CAE19407.1],[gene=None],[protein=tRNA/rRNA methyltransferase],[locus_tag=SynWH7803_1064],[protein_id=CAK23490.1],[gene=None],[protein=Possible tRNA/rRNA methyltransferase],[evalue=9.16145E-99]
[locus_tag=PMM0949],[protein_id=CAE19408.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1063],[protein_id=CAK23489.1],[gene=None],[protein=Ribonuclease III family protein],[evalue=3.23698E-45]
[locus_tag=PMM0950],[protein_id=None],[gene=None],[protein=STAS domain:Anti-sigma factor antagonist],[locus_tag=SynWH7803_1062],[protein_id=CAK23488.1],[gene=spoIIAA],[protein=Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)],[evalue=1.04965E-34]
[locus_tag=PMM0951],[protein_id=CAE19410.1],"[gene=carA, pyrA]",[protein=carbamoyl-phosphate synthase small chain],[locus_tag=SynWH7803_1061],[protein_id=CAK23487.1],[gene=carA],[protein=Carbamoylphosphate synthase small subunit],[evalue=3.92081E-161],[locus_tag=SynWH7803_2329],[protein_id=CAK24755.1],[gene=pabA],[protein=Para-aminobenzoate synthase component II],[evalue=1.01699E-11]
[locus_tag=PMM0952],[protein_id=CAE19411.1],[gene=trpD/G],[protein=putative Anthranilate synthase component II],[locus_tag=SynWH7803_1060],[protein_id=CAK23486.1],[gene=trpD],[protein=Anthranilate phosphoribosyltransferase],[evalue=1.23366E-129]
[locus_tag=PMM0953],[protein_id=CAE19412.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1059],[protein_id=CAK23485.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.60754E-28]
[locus_tag=PMM0954],[protein_id=CAE19413.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[locus_tag=SynWH7803_1058],[protein_id=CAK23484.1],[gene=None],[protein=ABC-type multidrug transport system ATPase and permease components],[evalue=0.00000E+00],[locus_tag=SynWH7803_1516],[protein_id=CAK23942.1],[gene=None],[protein=ABC-type multidrug transport system ATPase and permease components],[evalue=1.59436E-82],[locus_tag=SynWH7803_1433],[protein_id=CAK23859.1],[gene=mdlB],"[protein=ABC-type multidrug transport system, ATPase and permease components]",[evalue=4.89965E-71]
[locus_tag=PMM0955],[protein_id=CAE19414.1],[gene=msrA],[protein=Peptide methionine sulfoxide reductase],[locus_tag=SynWH7803_1056],[protein_id=CAK23482.1],[gene=msrA],[protein=Peptide methionine sulfoxide reductase],[evalue=2.39976E-94],[locus_tag=SynWH7803_1954],[protein_id=CAK24380.1],[gene=msrA],[protein=Peptide methionine sulfoxide reductase],[evalue=2.50624E-20]
[locus_tag=PMM0956],[protein_id=CAE19415.1],[gene=None],[protein=Bacitracin resistance protein BacA],[locus_tag=SynWH7803_2201],[protein_id=CAK24627.1],[gene=uppP],[protein=Undecaprenyl-diphosphatase],[evalue=2.54334E-72]
[locus_tag=PMM0958],[protein_id=CAE19417.1],[gene=None],[protein=conserved hypothetical],[locus_tag=SynWH7803_2476],[protein_id=CAK24902.1],[gene=None],[protein=Conserved hypothetical protein specific to cyanobacteria],[evalue=4.44489E-15]
[locus_tag=PMM0959],[protein_id=CAE19418.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1114],[protein_id=CAK23540.1],[gene=None],[protein=Predicted kinase],[evalue=9.90467E-60]
[locus_tag=PMM0960],[protein_id=CAE19419.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_2473],[protein_id=CAK24899.1],[gene=None],"[protein=Predicted hydrolase, HAD superfamily]",[evalue=1.37648E-72]
[locus_tag=PMM0961],[protein_id=CAE19420.1],[gene=None],[protein=Glycoside hydrolase family 13],[locus_tag=SynWH7803_2474],[protein_id=CAK24900.1],[gene=None],[protein=Alpha-glycosidase of family GH13; possible sucrose phosphorylase],[evalue=0.00000E+00],[locus_tag=SynWH7803_0545],[protein_id=CAK22971.1],[gene=None],[protein=Alpha-glycosidase of family GH13; possible trehalose synthase],[evalue=3.05173E-15]
[locus_tag=PMM0962],[protein_id=CAE19421.1],[gene=None],[protein=possible Vng0271c],[locus_tag=SynWH7803_2475],[protein_id=CAK24901.1],[gene=None],[protein=Distantly related to glycosyltransferase of family GT2],[evalue=0.00000E+00]
[locus_tag=PMM0970],[protein_id=CAE19429.1],[gene=urtA],"[protein=putative urea ABC transporter, substrate binding protein]",[locus_tag=SynWH7803_0599],[protein_id=CAK23025.1],[gene=None],"[protein=Possible ABC transporter, substrate binding protein]",[evalue=5.87637E-120]
[locus_tag=PMM0973],[protein_id=CAE19432.1],[gene=urtD],[protein=putative ATP binding subunit of urea ABC transport system],[locus_tag=SynWH7803_1311],[protein_id=CAK23737.1],[gene=None],"[protein=Possible ABC transporter, ATP-binding component]",[evalue=3.79382E-25],[locus_tag=SynWH7803_1868],[protein_id=CAK24294.1],[gene=None],"[protein=ABC-type multidrug transport system, ATPase component]",[evalue=2.54959E-22],[locus_tag=SynWH7803_1470],[protein_id=CAK23896.1],[gene=phnE],[protein=ABC-type phosphate/phosphonate transport system ATPase component],[evalue=1.55440E-21]
[locus_tag=PMM0974],[protein_id=CAE19433.1],[gene=urtE],[protein=Putative ATP-binding subunit of urea ABC transport system],[locus_tag=SynWH7803_1311],[protein_id=CAK23737.1],[gene=None],"[protein=Possible ABC transporter, ATP-binding component]",[evalue=6.50765E-31],[locus_tag=SynWH7803_1332],[protein_id=CAK23758.1],[gene=devA],[protein=DevA-like ABC transporter ATPase component],[evalue=5.99111E-30],[locus_tag=SynWH7803_2261],[protein_id=CAK24687.1],[gene=devA],"[protein=ABC-type transport system, involved in lipoprotein release, ATPase component]",[evalue=6.73066E-23]
[locus_tag=PMM1919],[protein_id=CAP16424.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=SynWH7803_1029],[protein_id=CAK23455.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=6.38530E-20]
[locus_tag=PMM0975],[protein_id=CAE19434.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1775],[protein_id=CAK24201.1],[gene=None],[protein=Conserved hypothetical protein specific to cyanobacteria],[evalue=2.98704E-13]
[locus_tag=PMM0976],[protein_id=CAE19435.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[locus_tag=SynWH7803_2439],[protein_id=CAK24865.1],[gene=None],"[protein=ABC-type multidrug transport system, ATPase component]",[evalue=1.63414E-126],[locus_tag=SynWH7803_1868],[protein_id=CAK24294.1],[gene=None],"[protein=ABC-type multidrug transport system, ATPase component]",[evalue=2.21535E-27],[locus_tag=SynWH7803_0979],[protein_id=CAK23405.1],[gene=None],"[protein=ABC-type Mn2+ transport system, ATPase component]",[evalue=8.67046E-18]
[locus_tag=PMM0977],[protein_id=CAE19436.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[locus_tag=SynWH7803_2438],[protein_id=CAK24864.1],[gene=None],"[protein=ABC-type multidrug transport system, permease component]",[evalue=4.34363E-111]
[locus_tag=PMM0978],[protein_id=CAE19437.1],[gene=None],"[protein=conserved membrane protein, multidrug efflux associated]",[locus_tag=SynWH7803_2437],[protein_id=CAK24863.1],[gene=None],[protein=Conserved hypothetical membrane protein],[evalue=2.91511E-70]
[locus_tag=PMM0982],[protein_id=CAE19441.1],[gene=None],[protein=HNH endonuclease:HNH nuclease],[locus_tag=SynWH7803_0038],[protein_id=CAK22464.1],[gene=None],[protein=McrA/HNH family nuclease],[evalue=1.21235E-54]
[locus_tag=PMM0987],[protein_id=CAE19446.1],"[gene=rps21, rpsU]",[protein=30S Ribosomal protein S21],[locus_tag=SynWH7803_2138],[protein_id=CAK24564.1],[gene=rpsU],[protein=30S ribosomal protein S21],[evalue=3.58389E-29]
[locus_tag=PMM0990],[protein_id=CAE19449.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0809],[protein_id=CAK23235.1],[gene=None],[protein=Predicted NAD/FAD-dependent oxidoreductase],[evalue=2.19417E-44]
