[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=0.00000E+00]
[locus_tag=PMM1918],[protein_id=CAP16423.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1918],[protein_id=CAP16423.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=3.23024E-26]
[locus_tag=PMM0958],[protein_id=CAE19417.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM0958],[protein_id=CAE19417.1],[gene=None],[protein=conserved hypothetical],[evalue=1.24164E-52]
[locus_tag=PMM0959],[protein_id=CAE19418.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0959],[protein_id=CAE19418.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0960],[protein_id=CAE19419.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0960],[protein_id=CAE19419.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0961],[protein_id=CAE19420.1],[gene=None],[protein=Glycoside hydrolase family 13],[locus_tag=PMM0961],[protein_id=CAE19420.1],[gene=None],[protein=Glycoside hydrolase family 13],[evalue=0.00000E+00]
[locus_tag=PMM0962],[protein_id=CAE19421.1],[gene=None],[protein=possible Vng0271c],[locus_tag=PMM0962],[protein_id=CAE19421.1],[gene=None],[protein=possible Vng0271c],[evalue=0.00000E+00]
[locus_tag=PMM0963],[protein_id=CAE19422.1],[gene=ureC],[protein=Urease alpha subunit],[locus_tag=PMM0963],[protein_id=CAE19422.1],[gene=ureC],[protein=Urease alpha subunit],[evalue=0.00000E+00]
[locus_tag=PMM0964],[protein_id=CAE19423.1],[gene=ureB],[protein=Urease beta subunit],[locus_tag=PMM0964],[protein_id=CAE19423.1],[gene=ureB],[protein=Urease beta subunit],[evalue=1.99157E-76]
[locus_tag=PMM0965],[protein_id=CAE19424.1],[gene=ureA],[protein=Urease gamma subunit],[locus_tag=PMM0965],[protein_id=CAE19424.1],[gene=ureA],[protein=Urease gamma subunit],[evalue=7.33054E-73]
[locus_tag=PMM0966],[protein_id=CAE19425.1],[gene=ureD],[protein=urease accessory protein UreD],[locus_tag=PMM0966],[protein_id=CAE19425.1],[gene=ureD],[protein=urease accessory protein UreD],[evalue=0.00000E+00]
[locus_tag=PMM0967],[protein_id=CAE19426.1],[gene=ureE],[protein=urease accessory protein UreE],[locus_tag=PMM0967],[protein_id=CAE19426.1],[gene=ureE],[protein=urease accessory protein UreE],[evalue=7.37944E-113]
[locus_tag=PMM0968],[protein_id=CAE19427.1],[gene=ureF],[protein=urease accessory protein UreF],[locus_tag=PMM0968],[protein_id=CAE19427.1],[gene=ureF],[protein=urease accessory protein UreF],[evalue=2.44386E-170]
[locus_tag=PMM0969],[protein_id=CAE19428.1],[gene=ureG],[protein=urease accessory protein UreG],[locus_tag=PMM0969],[protein_id=CAE19428.1],[gene=ureG],[protein=urease accessory protein UreG],[evalue=6.69377E-149]
[locus_tag=PMM0970],[protein_id=CAE19429.1],[gene=urtA],"[protein=putative urea ABC transporter, substrate binding protein]",[locus_tag=PMM0970],[protein_id=CAE19429.1],[gene=urtA],"[protein=putative urea ABC transporter, substrate binding protein]",[evalue=0.00000E+00]
[locus_tag=PMM0971],[protein_id=CAE19430.1],[gene=urtB],[protein=putative urea ABC transporter],[locus_tag=PMM0971],[protein_id=CAE19430.1],[gene=urtB],[protein=putative urea ABC transporter],[evalue=0.00000E+00]
[locus_tag=PMM0972],[protein_id=CAE19431.1],[gene=urtC],[protein=putative membrane protein of urea ABC transport system],[locus_tag=PMM0972],[protein_id=CAE19431.1],[gene=urtC],[protein=putative membrane protein of urea ABC transport system],[evalue=0.00000E+00]
[locus_tag=PMM0973],[protein_id=CAE19432.1],[gene=urtD],[protein=putative ATP binding subunit of urea ABC transport system],[locus_tag=PMM0973],[protein_id=CAE19432.1],[gene=urtD],[protein=putative ATP binding subunit of urea ABC transport system],[evalue=0.00000E+00],[locus_tag=PMM0764],[protein_id=CAE19223.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]",[evalue=1.34230E-31],[locus_tag=PMM0602],[protein_id=CAE19061.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transporter]",[evalue=1.16407E-23]
[locus_tag=PMM0974],[protein_id=CAE19433.1],[gene=urtE],[protein=Putative ATP-binding subunit of urea ABC transport system],[locus_tag=PMM0974],[protein_id=CAE19433.1],[gene=urtE],[protein=Putative ATP-binding subunit of urea ABC transport system],[evalue=2.04726E-173],[locus_tag=PMM0764],[protein_id=CAE19223.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]",[evalue=2.27106E-28],[locus_tag=PMM0750],[protein_id=CAE19209.1],[gene=None],"[protein=ABC transporter, ATP-binding component]",[evalue=4.95870E-25]
[locus_tag=PMM1919],[protein_id=CAP16424.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1919],[protein_id=CAP16424.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=6.41562E-41]
[locus_tag=PMM1920],[protein_id=CAP16425.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1920],[protein_id=CAP16425.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.06737E-22]
[locus_tag=PMM1921],[protein_id=CAP16426.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1921],[protein_id=CAP16426.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=3.13421E-33]
[locus_tag=PMM1922],[protein_id=CAP16427.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1922],[protein_id=CAP16427.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=6.29735E-35]
[locus_tag=PMM0975],[protein_id=CAE19434.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0975],[protein_id=CAE19434.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.98605E-89],[locus_tag=PMM0429],[protein_id=CAE18888.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.35853E-12]
[locus_tag=PMM0976],[protein_id=CAE19435.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[locus_tag=PMM0976],[protein_id=CAE19435.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=0.00000E+00],[locus_tag=PMM0449],[protein_id=CAE18908.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=1.76142E-25],[locus_tag=PMM0602],[protein_id=CAE19061.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transporter]",[evalue=8.24163E-19]
[locus_tag=PMM0977],[protein_id=CAE19436.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[locus_tag=PMM0977],[protein_id=CAE19436.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=0.00000E+00]
[locus_tag=PMM0978],[protein_id=CAE19437.1],[gene=None],"[protein=conserved membrane protein, multidrug efflux associated]",[locus_tag=PMM0978],[protein_id=CAE19437.1],[gene=None],"[protein=conserved membrane protein, multidrug efflux associated]",[evalue=0.00000E+00]
[locus_tag=PMM0979],[protein_id=CAE19438.1],[gene=None],[protein=hypothetical],[locus_tag=PMM0979],[protein_id=CAE19438.1],[gene=None],[protein=hypothetical],[evalue=1.16442E-66]
[locus_tag=PMM0980],[protein_id=CAE19439.1],[gene=None],[protein=hypothetical],[locus_tag=PMM0980],[protein_id=CAE19439.1],[gene=None],[protein=hypothetical],[evalue=3.51087E-53]
[locus_tag=PMM0981],[protein_id=CAE19440.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0981],[protein_id=CAE19440.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0982],[protein_id=CAE19441.1],[gene=None],[protein=None],[locus_tag=PMM0982],[protein_id=CAE19441.1],[gene=None],[protein=None],[evalue=7.51219E-84],[locus_tag=PMM1403],[protein_id=CAE19862.1],[gene=None],[protein=None],[evalue=6.78022E-52],[locus_tag=PMM0031],[protein_id=CAE18490.1],[gene=None],[protein=None],[evalue=8.33478E-52]
[locus_tag=PMM1923],[protein_id=CAP16428.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1923],[protein_id=CAP16428.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.32934E-40]
[locus_tag=PMM0983],[protein_id=CAE19442.1],[gene=None],[protein=possible ATP synthase protein 8],[locus_tag=PMM0983],[protein_id=CAE19442.1],[gene=None],[protein=possible ATP synthase protein 8],[evalue=1.09914E-96]
[locus_tag=PMM1924],[protein_id=CAP16429.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1924],[protein_id=CAP16429.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=6.89529E-52]
[locus_tag=PMM1925],[protein_id=CAP16430.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1925],[protein_id=CAP16430.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=4.74102E-48]
[locus_tag=PMM0984],[protein_id=CAE19443.1],[gene=None],[protein=possible Josephin],[locus_tag=PMM0984],[protein_id=CAE19443.1],[gene=None],[protein=possible Josephin],[evalue=1.18416E-121]
[locus_tag=PMM1926],[protein_id=CAP16431.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1926],[protein_id=CAP16431.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.83231E-40]
[locus_tag=PMM0985],[protein_id=CAE19444.1],[gene=None],[protein=putative PURINE PHOSPHORIBOSYLTRANSFERASE related protein],[locus_tag=PMM0985],[protein_id=CAE19444.1],[gene=None],[protein=putative PURINE PHOSPHORIBOSYLTRANSFERASE related protein],[evalue=1.55850E-94]
[locus_tag=PMM0986],[protein_id=CAE19445.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM0986],[protein_id=CAE19445.1],[gene=None],[protein=conserved hypothetical],[evalue=2.48960E-113]
[locus_tag=PMM0987],[protein_id=CAE19446.1],[gene=None],[protein=30S Ribosomal protein S21],[locus_tag=PMM0987],[protein_id=CAE19446.1],[gene=None],[protein=30S Ribosomal protein S21],[evalue=2.81590E-38]
[locus_tag=PMM0988],[protein_id=CAE19447.1],[gene=None],[protein=Helix-hairpin-helix DNA-binding motif class 1],[locus_tag=PMM0988],[protein_id=CAE19447.1],[gene=None],[protein=Helix-hairpin-helix DNA-binding motif class 1],[evalue=2.48204E-71]
[locus_tag=PMM0989],[protein_id=CAE19448.1],[gene=None],[protein=None],[locus_tag=PMM0989],[protein_id=CAE19448.1],[gene=None],[protein=None],[evalue=5.99145E-143]
[locus_tag=PMM0990],[protein_id=CAE19449.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0990],[protein_id=CAE19449.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0991],[protein_id=CAE19450.1],[gene=None],[protein=possible Paired amphipathic helix repeat],[locus_tag=PMM0991],[protein_id=CAE19450.1],[gene=None],[protein=possible Paired amphipathic helix repeat],[evalue=0.00000E+00]
[locus_tag=PMM1927],[protein_id=CAP16432.1],[gene=None],[protein=Hypothetical protein],[locus_tag=PMM1927],[protein_id=CAP16432.1],[gene=None],[protein=Hypothetical protein],[evalue=9.63052E-43]
[locus_tag=PMM0992],[protein_id=CAE19451.1],[gene=None],[protein=conserved hypotheticcal protein],[locus_tag=PMM0992],[protein_id=CAE19451.1],[gene=None],[protein=conserved hypotheticcal protein],[evalue=1.08782E-95]
[locus_tag=PMM0993],[protein_id=CAE19452.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0993],[protein_id=CAE19452.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.99963E-172]
[locus_tag=PMM0994],[protein_id=CAE19453.1],[gene=None],[protein=GCN5-related N-acetyltransferase],[locus_tag=PMM0994],[protein_id=CAE19453.1],[gene=None],[protein=GCN5-related N-acetyltransferase],[evalue=3.09103E-110]
[locus_tag=PMM0995],[protein_id=CAE19454.1],[gene=None],[protein=hypothetical],[locus_tag=PMM0995],[protein_id=CAE19454.1],[gene=None],[protein=hypothetical],[evalue=3.93004E-70]
[locus_tag=PMM1928],[protein_id=CAP16433.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1928],[protein_id=CAP16433.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=9.34567E-33]
[locus_tag=PMM0996],[protein_id=CAE19455.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0996],[protein_id=CAE19455.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.57488E-79],[locus_tag=PMM1409],[protein_id=CAE19868.1],[gene=None],[protein=possible Rubredoxin],[evalue=3.73982E-17],[locus_tag=PMM0364],[protein_id=CAE18823.1],[gene=None],[protein=possible Malic enzyme],[evalue=1.03815E-13]
[locus_tag=PMM1929],[protein_id=CAP16434.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1929],[protein_id=CAP16434.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=9.86075E-35]
[locus_tag=PMM1930],[protein_id=CAP16435.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1930],[protein_id=CAP16435.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.82186E-21]
[locus_tag=PMM0997],[protein_id=CAE19456.1],[gene=None],[protein=possible Protein of unknown function DUF67],[locus_tag=PMM0997],[protein_id=CAE19456.1],[gene=None],[protein=possible Protein of unknown function DUF67],[evalue=2.08103E-57]
[locus_tag=PMM1931],[protein_id=CAP16436.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1931],[protein_id=CAP16436.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.72498E-27]
[locus_tag=PMM0998],[protein_id=CAE19457.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0998],[protein_id=CAE19457.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.97563E-104]
[locus_tag=PMM0999],[protein_id=CAE19458.1],[gene=None],[protein=hypothetical],[locus_tag=PMM0999],[protein_id=CAE19458.1],[gene=None],[protein=hypothetical],[evalue=8.49194E-41]
[locus_tag=PMM1000],[protein_id=CAE19459.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1000],[protein_id=CAE19459.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.57304E-70]
[locus_tag=PMM1001],[protein_id=CAE19460.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1001],[protein_id=CAE19460.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.11993E-175]
[locus_tag=PMM1932],[protein_id=CAP16437.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1932],[protein_id=CAP16437.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.03139E-38]
[locus_tag=PMM1002],[protein_id=CAE19461.1],[gene=pepN],[protein=probable aminopeptidase N],[locus_tag=PMM1002],[protein_id=CAE19461.1],[gene=pepN],[protein=probable aminopeptidase N],[evalue=0.00000E+00]
[locus_tag=PMM1933],[protein_id=CAP16438.1],[gene=None],[protein=Hypothetical protein],[locus_tag=PMM1933],[protein_id=CAP16438.1],[gene=None],[protein=Hypothetical protein],[evalue=2.89510E-53]
[locus_tag=PMM1003],[protein_id=CAE19462.1],[gene=None],[protein=possible Photosystem II reaction centre N prot],[locus_tag=PMM1003],[protein_id=CAE19462.1],[gene=None],[protein=possible Photosystem II reaction centre N prot],[evalue=4.34436E-44]
[locus_tag=PMM1934],[protein_id=CAP16439.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1934],[protein_id=CAP16439.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.32419E-52]
[locus_tag=PMM1004],[protein_id=CAE19463.1],[gene=purT],[protein=GAR transformylase 2],[locus_tag=PMM1004],[protein_id=CAE19463.1],[gene=purT],[protein=GAR transformylase 2],[evalue=0.00000E+00],[locus_tag=PMM0683],[protein_id=CAE19142.1],[gene=purK],[protein=phosphoribosylaminoimidazole carboxylase],[evalue=3.06538E-19]
[locus_tag=PMM1005],[protein_id=CAE19464.1],[gene=None],[protein=possible Legume lectins alpha domain],[locus_tag=PMM1005],[protein_id=CAE19464.1],[gene=None],[protein=possible Legume lectins alpha domain],[evalue=2.02177E-55]
[locus_tag=PMM1006],[protein_id=CAE19465.1],[gene=None],[protein=Glutathione peroxidase],[locus_tag=PMM1006],[protein_id=CAE19465.1],[gene=None],[protein=Glutathione peroxidase],[evalue=2.27889E-127]
[locus_tag=PMM1007],[protein_id=CAE19466.1],[gene=None],[protein=None],[locus_tag=PMM1007],[protein_id=CAE19466.1],[gene=None],[protein=None],[evalue=1.95706E-136]
[locus_tag=PMM1008],[protein_id=CAE19467.1],[gene=None],[protein=hypothetical],[locus_tag=PMM1008],[protein_id=CAE19467.1],[gene=None],[protein=hypothetical],[evalue=4.06837E-93]
[locus_tag=PMM1009],[protein_id=CAE19468.1],[gene=None],[protein=putative nitrogen regulation protein NifR3 family homolog],[locus_tag=PMM1009],[protein_id=CAE19468.1],[gene=None],[protein=putative nitrogen regulation protein NifR3 family homolog],[evalue=0.00000E+00],[locus_tag=PMM0014],[protein_id=CAE18473.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.22007E-30]
[locus_tag=PMM1010],[protein_id=CAE19469.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1010],[protein_id=CAE19469.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.52697E-57]
[locus_tag=PMM1935],[protein_id=CAP16440.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1935],[protein_id=CAP16440.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=7.78859E-35]
[locus_tag=PMM1011],[protein_id=CAE19470.1],[gene=None],[protein=hypothetical],[locus_tag=PMM1011],[protein_id=CAE19470.1],[gene=None],[protein=hypothetical],[evalue=3.44450E-55]
[locus_tag=PMM1936],[protein_id=CAP16441.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1936],[protein_id=CAP16441.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.11775E-52]
[locus_tag=PMM1012],[protein_id=CAE19471.1],[gene=None],[protein=4-hydroxybenzoyl-CoA thioesterase family active site],[locus_tag=PMM1012],[protein_id=CAE19471.1],[gene=None],[protein=4-hydroxybenzoyl-CoA thioesterase family active site],[evalue=4.72642E-98]
[locus_tag=PMM1937],[protein_id=CAP16442.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1937],[protein_id=CAP16442.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=7.97878E-44]
[locus_tag=PMM1013],[protein_id=CAE19472.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM1013],[protein_id=CAE19472.1],[gene=None],[protein=conserved hypothetical],[evalue=7.32557E-56]
[locus_tag=PMM1014],[protein_id=CAE19473.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1014],[protein_id=CAE19473.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM1015],[protein_id=CAE19474.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1015],[protein_id=CAE19474.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.66077E-97]
[locus_tag=PMM1938],[protein_id=CAP16443.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1938],[protein_id=CAP16443.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=4.87178E-24]
[locus_tag=PMM1016],[protein_id=CAE19475.1],[gene=None],[protein=possible Virion host shutoff protein],[locus_tag=PMM1016],[protein_id=CAE19475.1],[gene=None],[protein=possible Virion host shutoff protein],[evalue=1.17983E-64]
[locus_tag=PMM1017],[protein_id=CAE19476.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM1017],[protein_id=CAE19476.1],[gene=None],[protein=conserved hypothetical],[evalue=4.75819E-129]
[locus_tag=PMM1018],[protein_id=CAE19477.1],[gene=None],[protein=hypothetical],[locus_tag=PMM1018],[protein_id=CAE19477.1],[gene=None],[protein=hypothetical],[evalue=2.13994E-67],[locus_tag=PMM0355],[protein_id=CAE18814.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.06167E-13]
[locus_tag=PMM1939],[protein_id=CAP16444.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1939],[protein_id=CAP16444.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=3.65753E-39]
[locus_tag=PMM1940],[protein_id=CAP16445.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1940],[protein_id=CAP16445.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=4.26311E-26],[locus_tag=PMM1995],[protein_id=CAP16500.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=4.63384E-11]
[locus_tag=PMM1019],[protein_id=CAE19478.1],[gene=None],[protein=possible Integrin alpha cytoplasmic region],[locus_tag=PMM1019],[protein_id=CAE19478.1],[gene=None],[protein=possible Integrin alpha cytoplasmic region],[evalue=1.54937E-68]
[locus_tag=PMM1941],[protein_id=CAP16446.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1941],[protein_id=CAP16446.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.02732E-38],[locus_tag=PMM1855],[protein_id=CAP16359.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=9.39614E-12]
[locus_tag=PMM1020],[protein_id=CAE19479.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1020],[protein_id=CAE19479.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.07564E-40]
[locus_tag=PMM1021],[protein_id=CAE19480.1],[gene=None],[protein=possible Gram-negative pili assembly chaperone],[locus_tag=PMM1021],[protein_id=CAE19480.1],[gene=None],[protein=possible Gram-negative pili assembly chaperone],[evalue=0.00000E+00]
[locus_tag=PMM1022],[protein_id=CAE19481.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM1022],[protein_id=CAE19481.1],[gene=None],[protein=conserved hypothetical],[evalue=3.08904E-82],[locus_tag=PMM1408],[protein_id=CAE19867.1],[gene=None],[protein=hypothetical],[evalue=6.06515E-11]
[locus_tag=PMM1942],[protein_id=None],[gene=None],[protein=None],[locus_tag=PMM1942],[protein_id=None],[gene=None],[protein=None],[evalue=2.08966E-27]
[locus_tag=PMM1943],[protein_id=CAP16448.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1943],[protein_id=CAP16448.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=3.44692E-80]
[locus_tag=PMM1944],[protein_id=CAP16449.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1944],[protein_id=CAP16449.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.22406E-44]
[locus_tag=PMM1023],[protein_id=CAE19482.1],[gene=None],"[protein=possible lactate/malate dehydrogenase, alpha/b]",[locus_tag=PMM1023],[protein_id=CAE19482.1],[gene=None],"[protein=possible lactate/malate dehydrogenase, alpha/b]",[evalue=2.38049E-54]
[locus_tag=PMM1024],[protein_id=CAE19483.1],[gene=None],[protein=hypothetical],[locus_tag=PMM1024],[protein_id=CAE19483.1],[gene=None],[protein=hypothetical],[evalue=1.02728E-63]
[locus_tag=PMM1025],[protein_id=CAE19484.1],[gene=None],[protein=putative stress-induced protein OsmC],[locus_tag=PMM1025],[protein_id=CAE19484.1],[gene=None],[protein=putative stress-induced protein OsmC],[evalue=5.76483E-99]
[locus_tag=PMM1945],[protein_id=CAP16450.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1945],[protein_id=CAP16450.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.00032E-22]
[locus_tag=PMM1946],[protein_id=CAP16451.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1946],[protein_id=CAP16451.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.86550E-44]
[locus_tag=PMM1947],[protein_id=None],[gene=None],[protein=None],[locus_tag=PMM1947],[protein_id=None],[gene=None],[protein=None],[evalue=9.33282E-42]
[locus_tag=PMM1026],[protein_id=CAE19485.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1026],[protein_id=CAE19485.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.20058E-93]
[locus_tag=PMM1027],[protein_id=CAE19486.1],[gene=None],[protein=possible Inward rectifier potassium channel],[locus_tag=PMM1027],[protein_id=CAE19486.1],[gene=None],[protein=possible Inward rectifier potassium channel],[evalue=4.73244E-67]
[locus_tag=PMM1948],[protein_id=CAP16453.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1948],[protein_id=CAP16453.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.29495E-28]
[locus_tag=PMM1949],[protein_id=CAP16454.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1949],[protein_id=CAP16454.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.01975E-32]
[locus_tag=PMM1028],[protein_id=CAE19487.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM1028],[protein_id=CAE19487.1],[gene=None],[protein=conserved hypothetical],[evalue=4.17467E-58],[locus_tag=PMM0872],[protein_id=CAE19331.1],[gene=None],[protein=possible Carboxylesterase],[evalue=1.25331E-43]
[locus_tag=PMM1950],[protein_id=CAP16455.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1950],[protein_id=CAP16455.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=4.02250E-30]
[locus_tag=PMM1029],[protein_id=CAE19488.1],[gene=None],"[protein=ABC transporter component, possibly Mn transport]",[locus_tag=PMM1029],[protein_id=CAE19488.1],[gene=None],"[protein=ABC transporter component, possibly Mn transport]",[evalue=0.00000E+00],[locus_tag=PMM0603],[protein_id=CAE19062.1],[gene=None],"[protein=ABC transporter component, possibly Mn transport]",[evalue=9.49513E-20]
[locus_tag=PMM1030],[protein_id=CAE19489.1],[gene=None],[protein=Ferric uptake regulator family],[locus_tag=PMM1030],[protein_id=CAE19489.1],[gene=None],[protein=Ferric uptake regulator family],[evalue=9.77700E-97],[locus_tag=PMM0637],[protein_id=CAE19096.1],[gene=fur],[protein=Ferric uptake regulator family],[evalue=7.79213E-12]
[locus_tag=PMM1031],[protein_id=CAE19490.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transport]",[locus_tag=PMM1031],[protein_id=CAE19490.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transport]",[evalue=0.00000E+00],[locus_tag=PMM0602],[protein_id=CAE19061.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transporter]",[evalue=5.12856E-29],[locus_tag=PMM0764],[protein_id=CAE19223.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]",[evalue=7.84512E-24]
[locus_tag=PMM1032],[protein_id=CAE19491.1],[gene=None],[protein=None],[locus_tag=PMM1032],[protein_id=CAE19491.1],[gene=None],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM1033],[protein_id=CAE19492.1],[gene=None],[protein=Cobalamin synthesis protein/P47K],[locus_tag=PMM1033],[protein_id=CAE19492.1],[gene=None],[protein=Cobalamin synthesis protein/P47K],[evalue=0.00000E+00],[locus_tag=PMM0490],[protein_id=CAE18949.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.46273E-55],[locus_tag=PMM0778],[protein_id=CAE19237.1],[gene=cobW],[protein=putative cobalamin synthesis protein],[evalue=1.72491E-24]
