[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=3.72400E-142]
[locus_tag=Syncc8109_1270],[protein_id=AHF63637.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0895],[protein_id=CAE19354.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.29851E-42]
[locus_tag=Syncc8109_1272],[protein_id=AHF63639.1],[gene=mtaP],[protein=Methylthioadenosine phosphorylase],[locus_tag=PMM0301],[protein_id=CAE18760.1],[gene=None],[protein=5'-methylthioadenosine phosphorylase],[evalue=1.45178E-136]
[locus_tag=Syncc8109_1273],[protein_id=AHF63640.1],[gene=None],[protein=Peptidylprolyl isomerase],[locus_tag=PMM0894],[protein_id=CAE19353.1],[gene=None],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[evalue=3.74405E-79]
[locus_tag=Syncc8109_1274],[protein_id=AHF63641.1],[gene=ribA/ribB],"[protein=3,4-dihydroxy-2-butanone 4-phosphate synthase]",[locus_tag=PMM0893],[protein_id=CAE19352.1],[gene=ribA/ribB],"[protein=possible GTP cyclohydrolase II / 3,4-dihydroxy-2-butanone 4-phosphate synthase]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_1276],[protein_id=AHF63643.1],[gene=argC],[protein=N-acetyl-gamma-glutamyl-phosphate reductase],[locus_tag=PMM0892],[protein_id=CAE19351.1],[gene=argC],[protein=N-acetyl-gamma-glutamyl-phosphate reductase],[evalue=1.76683E-146]
[locus_tag=Syncc8109_1277],[protein_id=AHF63644.1],[gene=purN],[protein=phosphoribosylglycinamide formyltransferase],[locus_tag=PMM0891],[protein_id=CAE19350.1],[gene=purN],[protein=phosphoribosylglycinamide formyltransferase],[evalue=2.21586E-46],[locus_tag=PMM1702],[protein_id=CAE20161.1],[gene=purU],[protein=formyltetrahydrofolate deformylase],[evalue=5.51101E-20],[locus_tag=PMM0841],[protein_id=CAE19300.1],[gene=fmt],[protein=putative Methionyl-tRNA formyltransferase],[evalue=2.62254E-08]
[locus_tag=Syncc8109_1281],[protein_id=AHF63648.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0424],[protein_id=CAE18883.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.58992E-26]
[locus_tag=Syncc8109_1284],[protein_id=AHF63651.1],[gene=pgi],[protein=glucose-6-phosphate isomerase],[locus_tag=PMM0890],[protein_id=CAE19349.1],[gene=pgi],[protein=Phosphoglucose isomerase (PGI)],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1285],[protein_id=AHF63652.1],[gene=leuS],[protein=leucyl-tRNA synthetase],[locus_tag=PMM0889],[protein_id=CAE19348.1],[gene=leuS],[protein=Leucyl-tRNA synthetase],[evalue=0.00000E+00],[locus_tag=PMM1682],[protein_id=CAE20141.1],[gene=valS],[protein=Valyl-tRNA synthetase],[evalue=1.54038E-28],[locus_tag=PMM0238],[protein_id=CAE18697.1],[gene=ileS],[protein=Isoleucyl-tRNA synthetase],[evalue=1.28189E-21]
[locus_tag=Syncc8109_1287],[protein_id=AHF63654.1],[gene=dapF],[protein=diaminopimelate epimerase],[locus_tag=PMM0888],[protein_id=CAE19347.1],[gene=dapF],[protein=Diaminopimelate epimerase],[evalue=8.06502E-81]
[locus_tag=Syncc8109_1288],[protein_id=AHF63655.1],[gene=nifS],[protein=putative cysteine desulfurase (class-V aminotransferase family)],[locus_tag=PMM0887],[protein_id=CAE19346.1],[gene=nifS],[protein=possible cysteine desulfurase (class-V aminotransferase family)],[evalue=6.73370E-75],[locus_tag=PMM0170],[protein_id=CAE18629.1],[gene=None],[protein=NifS-like aminotransferase class-V],[evalue=5.51920E-60],[locus_tag=PMM0070],[protein_id=CAE18529.1],[gene=None],[protein=putative cysteine desulfurase or selenocysteine lyase],[evalue=1.82578E-24]
[locus_tag=Syncc8109_1289],[protein_id=AHF63656.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0886],[protein_id=CAE19345.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.18756E-45]
[locus_tag=Syncc8109_1291],[protein_id=AHF63658.1],[gene=dacB],[protein=D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase],[locus_tag=PMM0885],[protein_id=CAE19344.1],"[gene=dacB, pbp]",[protein=putative D-Ala-D-Ala carboxypeptidase 3 (S13) family],[evalue=2.21581E-58]
[locus_tag=Syncc8109_1293],[protein_id=AHF63660.1],[gene=coaD],[protein=coenzyme A biosynthesis protein],[locus_tag=PMM0884],[protein_id=CAE19343.1],[gene=coaD],[protein=putative pantetheine-phosphate adenylyltransferase],[evalue=3.54827E-77]
[locus_tag=Syncc8109_1294],[protein_id=AHF63661.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0883],[protein_id=CAE19342.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.77455E-85],[locus_tag=PMM0043],[protein_id=CAE18502.1],[gene=None],[protein=flavoprotein],[evalue=1.01835E-09],[locus_tag=PMM0042],[protein_id=CAE18501.1],[gene=None],[protein=flavoprotein],[evalue=2.56589E-08]
[locus_tag=Syncc8109_1295],[protein_id=AHF63662.1],[gene=uvrC],"[protein=excinuclease ABC, C subunit]",[locus_tag=PMM0882],[protein_id=CAE19341.1],[gene=uvrC],[protein=Excinuclease ABC subunit C (UvrC)],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1297],[protein_id=AHF63664.1],[gene=None],[protein=photolyase protein family],[locus_tag=PMM0425],[protein_id=CAE18884.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1298],[protein_id=AHF63665.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0881],[protein_id=CAE19340.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.09585E-70]
[locus_tag=Syncc8109_1299],[protein_id=AHF63666.1],[gene=None],[protein=Phosphoesterase PHP-like protein],[locus_tag=PMM0880],[protein_id=CAE19339.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.04874E-59]
[locus_tag=Syncc8109_1301],[protein_id=AHF63668.1],[gene=CobN],"[protein=Cobaltochelatase, CobN subunit]",[locus_tag=PMM0879],[protein_id=CAE19338.1],[gene=CobN],[protein=cobalamin biosynthetic protein CobN],[evalue=0.00000E+00],[locus_tag=PMM0831],[protein_id=CAE19290.1],[gene=chlH],"[protein=protoporphyrin IX magnesium chelatase, subunit chlH]",[evalue=1.05576E-109]
[locus_tag=Syncc8109_1302],[protein_id=AHF63669.1],[gene=ilvE],[protein=branched-chain amino acid aminotransferase],[locus_tag=PMM0878],[protein_id=CAE19337.1],[gene=ilvE],[protein=putative Branched-chain amino acid aminotransferase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1303],[protein_id=AHF63670.1],[gene=metH],[protein=5-methyltetrahydrofolate--homocysteine methyltransferase],[locus_tag=PMM0877],[protein_id=CAE19336.1],[gene=metH],[protein=putative methionine synthase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1304],[protein_id=AHF63671.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0346],[protein_id=CAE18805.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.52353E-41]
[locus_tag=Syncc8109_1306],[protein_id=AHF63673.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0876],[protein_id=CAE19335.1],[gene=None],[protein=conserved hypothetical],[evalue=6.92015E-21]
[locus_tag=Syncc8109_1307],[protein_id=AHF63674.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0875],[protein_id=CAE19334.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.12109E-51]
[locus_tag=Syncc8109_1308],[protein_id=AHF63675.1],[gene=csgA],[protein=putative CsgA C-factor signaling protein],[locus_tag=PMM0414],[protein_id=CAE18873.1],[gene=None],[protein=putative short chain dehydrogenase],[evalue=8.23848E-88],[locus_tag=PMM0694],[protein_id=CAE19153.1],[gene=None],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily],[evalue=2.05413E-16]
[locus_tag=Syncc8109_1309],[protein_id=AHF63676.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1348],[protein_id=CAE19807.1],[gene=spoIID],[protein=possible sporulation protein SpoIID],[evalue=3.03175E-18],[locus_tag=PMM1660],[protein_id=CAE20119.1],[gene=None],[protein=possible amidase enhancer],[evalue=2.97618E-09]
[locus_tag=Syncc8109_1310],[protein_id=AHF63677.1],[gene=None],[protein=putative ATP adenylyltransferase],[locus_tag=PMM0874],[protein_id=CAE19333.1],[gene=None],[protein=possible ATP adenylyltransferase],[evalue=3.24356E-82]
[locus_tag=Syncc8109_1312],[protein_id=AHF63679.1],[gene=None],[protein=putative type 3 alternative RNA polymerase sigma factor],[locus_tag=PMM0496],[protein_id=CAE18955.1],"[gene=sigA, rpoD]",[protein=Putative principal RNA polymerase sigma factor],[evalue=1.26311E-09],[locus_tag=PMM0577],[protein_id=CAE19036.1],[gene=None],"[protein=Putative type II alternative sigma factor, sigma70 family]",[evalue=5.30039E-06],[locus_tag=PMM1289],[protein_id=CAE19748.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=5.33005E-06]
[locus_tag=Syncc8109_1314],[protein_id=AHF63681.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1915],[protein_id=CAP16419.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.36216E-07]
[locus_tag=Syncc8109_1316],[protein_id=AHF63683.1],[gene=dnaJ],[protein=putative DnaJ domain protein],[locus_tag=PMM0873],[protein_id=CAE19332.1],[gene=None],[protein=possible DnaJ domain],[evalue=5.05158E-94]
[locus_tag=Syncc8109_1321],[protein_id=AHF63685.1],[gene=apcD],[protein=allophycocyanin alpha-B chain],[locus_tag=PMM0305],[protein_id=CAE18764.1],[gene=cpeB],[protein=Phycobilisome protein],[evalue=7.61743E-11]
[locus_tag=Syncc8109_1323],[protein_id=AHF63687.1],[gene=pheT],"[protein=phenylalanyl-tRNA synthetase, beta subunit]",[locus_tag=PMM0871],[protein_id=CAE19330.1],[gene=pheT],[protein=Phenylalanyl-tRNA synthetase beta chain],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1324],[protein_id=AHF63688.1],[gene=rpl33],[protein=50S ribosomal protein L33],[locus_tag=PMM0870],[protein_id=CAE19329.1],"[gene=rpl33, rpmG]",[protein=50S Ribosomal protein L33],[evalue=5.86409E-28]
[locus_tag=Syncc8109_1325],[protein_id=AHF63689.1],[gene=rpsR],[protein=30S ribosomal protein S18],[locus_tag=PMM0869],[protein_id=CAE19328.1],"[gene=rps18, rpsR]",[protein=30S Ribosomal protein S18],[evalue=6.88339E-44]
[locus_tag=Syncc8109_1326],[protein_id=AHF63690.1],[gene=None],[protein=putative ribonuclease II],[locus_tag=PMM0868],[protein_id=CAE19327.1],[gene=None],[protein=probable ribonuclease II],[evalue=5.64186E-71]
[locus_tag=Syncc8109_1328],[protein_id=AHF63692.1],[gene=metG],[protein=methionyl-tRNA synthetase],[locus_tag=PMM0867],[protein_id=CAE19326.1],[gene=metG],[protein=Methionyl-tRNA synthetase],[evalue=0.00000E+00],[locus_tag=PMM1682],[protein_id=CAE20141.1],[gene=valS],[protein=Valyl-tRNA synthetase],[evalue=4.14749E-09]
[locus_tag=Syncc8109_1329],[protein_id=AHF63693.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0866],[protein_id=CAE19325.1],[gene=None],[protein=possible SMC domain N terminal domain],[evalue=8.43305E-07]
[locus_tag=Syncc8109_1330],[protein_id=AHF63694.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0865],[protein_id=CAE19324.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.42965E-53]
[locus_tag=Syncc8109_1334],[protein_id=AHF63698.1],[gene=cobU/cobP],[protein=putative cobinamide kinase],[locus_tag=PMM0863],[protein_id=CAE19322.1],[gene=cobU/cobP],[protein=putative cobinamide kinase],[evalue=1.04742E-39]
[locus_tag=Syncc8109_1335],[protein_id=AHF63699.1],[gene=spoU],[protein=putative tRNA/rRNA methyltransferase (SpoU family)],[locus_tag=PMM0862],[protein_id=CAE19321.1],[gene=None],[protein=putative tRNA/rRNA methyltransferase (SpoU family)],[evalue=4.16472E-54]
[locus_tag=Syncc8109_1339],[protein_id=AHF63702.1],[gene=tpx],[protein=thioredoxin peroxidase],[locus_tag=PMM0856],[protein_id=CAE19315.1],[gene=tpx],[protein=thioredoxin peroxidase],[evalue=7.25301E-114],[locus_tag=PMM0903],[protein_id=CAE19362.1],[gene=None],[protein=Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein],[evalue=4.38840E-18],[locus_tag=PMM0345],[protein_id=CAE18804.1],[gene=None],[protein=putative bacterioferritin comigratory protein],[evalue=1.28635E-14]
[locus_tag=Syncc8109_1341],[protein_id=AHF63704.1],[gene=ftsH],[protein=ATP-dependent metalloprotease FtsH],[locus_tag=PMM0854],[protein_id=CAE19313.1],[gene=ftsH4],[protein=cell division protein FtsH4],[evalue=0.00000E+00],[locus_tag=PMM0743],[protein_id=CAE19202.1],[gene=ftsH1],[protein=FtsH ATP-dependent protease homolog],[evalue=0.00000E+00],[locus_tag=PMM0226],[protein_id=CAE18685.1],[gene=ftsH2],[protein=cell division protein FtsH2],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1343],[protein_id=AHF63706.1],[gene=rpl32],[protein=50S ribosomal protein L32],[locus_tag=PMM0853],[protein_id=CAE19312.1],"[gene=rpl32, rpmF]",[protein=50S ribosomal protein L32],[evalue=1.40210E-20]
[locus_tag=Syncc8109_1344],[protein_id=AHF63707.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0959],[protein_id=CAE19418.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.00553E-73]
[locus_tag=Syncc8109_1346],[protein_id=AHF63709.1],[gene=None],"[protein=HAD-superfamily hydrolase subfamily IA, variant 3]",[locus_tag=PMM0851],[protein_id=CAE19310.1],[gene=None],[protein=Putative CbbY homolog],[evalue=8.38264E-54]
[locus_tag=Syncc8109_1349],[protein_id=AHF63712.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0850],[protein_id=CAE19309.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.12659E-28]
[locus_tag=Syncc8109_1350],[protein_id=AHF63713.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0849],[protein_id=CAE19308.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.54052E-21],[locus_tag=PMM0848],[protein_id=CAE19307.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.58528E-20]
[locus_tag=Syncc8109_1351],[protein_id=AHF63714.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0848],[protein_id=CAE19307.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.22585E-35],[locus_tag=PMM0849],[protein_id=CAE19308.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.19976E-07]
[locus_tag=Syncc8109_1353],[protein_id=AHF63716.1],[gene=zam],[protein=RNA binding S1],[locus_tag=PMM0847],[protein_id=CAE19306.1],[gene=zam],[protein=putative acetazolamide conferring resistance protein Zam],[evalue=4.80958E-164]
[locus_tag=Syncc8109_1355],[protein_id=AHF63718.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0846],[protein_id=CAE19305.1],[gene=None],"[protein=possible Uncharacterized secreted proteins, Ya]",[evalue=3.88002E-13]
[locus_tag=Syncc8109_1356],[protein_id=AHF63719.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0845],[protein_id=CAE19304.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.56221E-32]
[locus_tag=Syncc8109_1357],[protein_id=AHF63720.1],[gene=None],[protein=Magnesium-protoporphyrin IX monomethyl ester aerobic oxidative cyclase],[locus_tag=PMM0844],[protein_id=CAE19303.1],"[gene=PNIL34,AT103]",[protein=phytochrome-regulated gene],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1358],[protein_id=AHF63721.1],[gene=tldD],[protein=putative modulator of DNA gyrase; TldD],[locus_tag=PMM0843],[protein_id=CAE19302.1],[gene=tldD],[protein=putative modulator of DNA gyrase; TldD],[evalue=0.00000E+00],[locus_tag=PMM0842],[protein_id=CAE19301.1],[gene=pmbA],[protein=possible modulator of DNA gyrase],[evalue=8.57746E-15]
[locus_tag=Syncc8109_1359],[protein_id=AHF63722.1],[gene=pmbA],[protein=putative modulator of DNA gyrase],[locus_tag=PMM0842],[protein_id=CAE19301.1],[gene=pmbA],[protein=possible modulator of DNA gyrase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1360],[protein_id=AHF63723.1],[gene=fmt],[protein=methionyl-tRNA formyltransferase],[locus_tag=PMM0841],[protein_id=CAE19300.1],[gene=fmt],[protein=putative Methionyl-tRNA formyltransferase],[evalue=1.64498E-87]
[locus_tag=Syncc8109_1363],[protein_id=AHF63726.1],[gene=terC],[protein=TerC family protein],[locus_tag=PMM0840],[protein_id=CAE19299.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.33626E-46]
[locus_tag=Syncc8109_1377],[protein_id=AHF63740.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0334],[protein_id=CAE18793.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.24185E-09]
[locus_tag=Syncc8109_1378],[protein_id=AHF63741.1],[gene=None],"[protein=ABC transporter, substrate binding protein, phosphate]",[locus_tag=PMM0710],[protein_id=CAE19169.1],[gene=None],"[protein=ABC transporter, substrate binding protein, phosphate]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_1379],[protein_id=AHF63742.1],[gene=None],"[protein=putative transcriptional regulator, Crp/Fnr family]",[locus_tag=PMM0246],[protein_id=CAE18705.1],[gene=ntcA],"[protein=Global nitrogen regulatory protein, CRP family of transcriptional regulators]",[evalue=4.80968E-22],[locus_tag=PMM0718],[protein_id=CAE19177.1],[gene=None],"[protein=possible Bacterial regulatory proteins, crp fa]",[evalue=1.40628E-12]
[locus_tag=Syncc8109_1387],[protein_id=AHF63750.1],[gene=None],[protein=transcription-repair coupling factor],[locus_tag=PMM0839],[protein_id=CAE19298.1],[gene=None],[protein=Transcriptional-repair coupling factor],[evalue=0.00000E+00],[locus_tag=PMM0756],[protein_id=CAE19215.1],[gene=recG],[protein=ATP-dependent DNA helicase recG],[evalue=2.18888E-69],[locus_tag=PMM1649],[protein_id=CAE20108.1],[gene=uvrB],[protein=Excinuclease ABC subunit B (UvrB)],[evalue=5.26553E-08]
[locus_tag=Syncc8109_1389],[protein_id=AHF63752.1],[gene=None],[protein=carboxyl-terminal protease],[locus_tag=PMM0677],[protein_id=CAE19136.1],[gene=None],[protein=carboxyl-terminal processing protease],[evalue=5.00576E-162],[locus_tag=PMM0324],[protein_id=CAE18783.1],[gene=ctpA],[protein=carboxyl-terminal processing proteinase precursor],[evalue=4.78747E-79]
[locus_tag=Syncc8109_1390],[protein_id=AHF63753.1],[gene=gcpE],[protein=1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase],[locus_tag=PMM0676],[protein_id=CAE19135.1],[gene=gcpE],[protein=GcpE protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1391],[protein_id=AHF63754.1],[gene=None],[protein=phage SPO1 DNA polymerase-related protein],[locus_tag=PMM0675],[protein_id=CAE19134.1],[gene=None],[protein=Uracil-DNA glycosylase],[evalue=4.89357E-58]
[locus_tag=Syncc8109_1393],[protein_id=AHF63756.1],[gene=aspC],[protein=aminotransferases class-I],[locus_tag=PMM0674],[protein_id=CAE19133.1],[gene=aspC],[protein=Aminotransferases class-I],[evalue=7.57676E-162],[locus_tag=PMM1500],[protein_id=CAE19959.1],[gene=None],[protein=putative aminotransferase],[evalue=8.30075E-13],[locus_tag=PMM0186],[protein_id=CAE18645.1],[gene=hisC],[protein=Aminotransferases class-I],[evalue=1.31173E-07]
[locus_tag=Syncc8109_1394],[protein_id=AHF63757.1],[gene=None],[protein=Phosphonate-binding periplasmic protein],[locus_tag=PMM0673],[protein_id=CAE19132.1],[gene=None],[protein=Putative phosphonate binding protein for ABC transporter],[evalue=1.83457E-107]
[locus_tag=Syncc8109_1395],[protein_id=AHF63758.1],[gene=None],[protein=ATPase],[locus_tag=PMM0672],[protein_id=CAE19131.1],[gene=None],[protein=Putative phosphonate ABC transporter],[evalue=6.51479E-59],[locus_tag=PMM0666],[protein_id=CAE19125.1],[gene=None],"[protein=possible ABC transporter, ATP-binding component]",[evalue=1.32634E-18],[locus_tag=PMM0434],[protein_id=CAE18893.1],[gene=None],"[protein=possible ABC transporter, ATP binding protein]",[evalue=4.16215E-18]
[locus_tag=Syncc8109_1396],[protein_id=AHF63759.1],[gene=None],[protein=putative phosphonate ABC transporter],[locus_tag=PMM0671],[protein_id=CAE19130.1],[gene=None],[protein=putative phosphonate ABC transporter],[evalue=1.50450E-90]
[locus_tag=Syncc8109_1397],[protein_id=AHF63760.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0670],[protein_id=CAE19129.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.56173E-81]
[locus_tag=Syncc8109_1398],[protein_id=AHF63761.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1991],[protein_id=CAP16496.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.30833E-12]
[locus_tag=Syncc8109_1401],[protein_id=AHF63764.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0669],[protein_id=CAE19128.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.23516E-87]
[locus_tag=Syncc8109_1403],[protein_id=AHF63766.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0668],[protein_id=CAE19127.1],[gene=None],[protein=Conserved hypothetical protein 46],[evalue=3.50466E-47]
[locus_tag=Syncc8109_1404],[protein_id=AHF63767.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0667],[protein_id=CAE19126.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.55851E-75]
[locus_tag=Syncc8109_1405],[protein_id=AHF63768.1],[gene=None],[protein=ATPase],[locus_tag=PMM0666],[protein_id=CAE19125.1],[gene=None],"[protein=possible ABC transporter, ATP-binding component]",[evalue=2.02304E-75],[locus_tag=PMM0434],[protein_id=CAE18893.1],[gene=None],"[protein=possible ABC transporter, ATP binding protein]",[evalue=2.49070E-21],[locus_tag=PMM0750],[protein_id=CAE19209.1],[gene=None],"[protein=ABC transporter, ATP-binding component]",[evalue=4.97694E-21]
[locus_tag=Syncc8109_1406],[protein_id=AHF63769.1],[gene=None],"[protein=putative 33kD chaperonin, heat shock protein HSP33]",[locus_tag=PMM0665],[protein_id=CAE19124.1],[gene=hsp33],[protein=Hsp33 protein],[evalue=5.20250E-130]
[locus_tag=Syncc8109_1407],[protein_id=AHF63770.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0664],[protein_id=CAE19123.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.86892E-23]
[locus_tag=Syncc8109_1409],[protein_id=AHF63772.1],[gene=prfC],[protein=peptide chain release factor 3],[locus_tag=PMM0663],[protein_id=CAE19122.1],[gene=prfC],[protein=peptide-chain-release factor RF-3],[evalue=0.00000E+00],[locus_tag=PMM1509],[protein_id=CAE19968.1],[gene=fusA],[protein=Elongation factor G],[evalue=1.73237E-47],[locus_tag=PMM0420],[protein_id=CAE18879.1],[gene=lepA],[protein=GTP-binding protein LepA],[evalue=2.59210E-26]
[locus_tag=Syncc8109_1410],[protein_id=AHF63773.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0662],[protein_id=CAE19121.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.76919E-42]
[locus_tag=Syncc8109_1411],[protein_id=AHF63774.1],[gene=nrdJ],[protein=ribonucleotide reductase (class II)],[locus_tag=PMM0661],[protein_id=CAE19120.1],[gene=nrdJ],[protein=ribonucleotide reductase (Class II)],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1417],[protein_id=AHF63779.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0651],[protein_id=CAE19110.1],[gene=None],[protein=possible VHS domain],[evalue=1.08069E-21]
[locus_tag=Syncc8109_1418],[protein_id=AHF63780.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0650],[protein_id=CAE19109.1],[gene=None],[protein=possible LEM domain],[evalue=1.69994E-10]
[locus_tag=Syncc8109_1420],[protein_id=AHF63782.1],[gene=None],[protein=putative short-chain dehydrogenase family protein],[locus_tag=PMM0632],[protein_id=CAE19091.1],[gene=None],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily],[evalue=1.40387E-85],[locus_tag=PMM0453],[protein_id=CAE18912.1],[gene=fabG],[protein=3-oxoacyl-[acyl-carrier protein],[evalue=1.86223E-18]
[locus_tag=Syncc8109_1421],[protein_id=AHF63783.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1379],[protein_id=CAE19838.1],[gene=None],[protein=putative dape gene and orf2],[evalue=4.69790E-06]
[locus_tag=Syncc8109_1423],[protein_id=AHF63785.1],[gene=pcr],[protein=Protochlorophyllide reductase],[locus_tag=PMM0634],[protein_id=CAE19093.1],"[gene=por, pcr]",[protein=possible light-dependent protochlorophyllide oxido-reductase],[evalue=5.26640E-69],[locus_tag=PMM0542],[protein_id=CAE19001.1],"[gene=por, pcr]",[protein=Light dependent protochlorophyllide oxido-reductase],[evalue=2.17853E-22],[locus_tag=PMM1361],[protein_id=CAE19820.1],[gene=None],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily],[evalue=9.86094E-18]
[locus_tag=Syncc8109_1425],[protein_id=AHF63787.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM1371],[protein_id=CAE19830.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.54435E-41]
[locus_tag=Syncc8109_1428],[protein_id=AHF63790.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0777],[protein_id=CAE19236.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.75809E-41],[locus_tag=PMM1350],[protein_id=CAE19809.1],[gene=None],[protein=Pentapeptide repeats],[evalue=1.44208E-32],[locus_tag=PMM1042],[protein_id=CAE19501.1],[gene=None],[protein=conserved hpothetical protein],[evalue=2.72322E-26]
[locus_tag=Syncc8109_1429],[protein_id=AHF63791.1],[gene=None],[protein=putative uracil phosphoribosyltransferase],[locus_tag=PMM0776],[protein_id=CAE19235.1],[gene=None],[protein=putative uracil phosphoribosyltransferase],[evalue=1.14006E-69]
[locus_tag=Syncc8109_1430],[protein_id=AHF63792.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0775],[protein_id=CAE19234.1],[gene=None],[protein=conserved hypothetical],[evalue=6.22029E-29]
[locus_tag=Syncc8109_1431],[protein_id=AHF63793.1],[gene=ilvD],[protein=dihydroxy-acid dehydratase],[locus_tag=PMM0774],[protein_id=CAE19233.1],[gene=ilvD],[protein=Dihydroxy-acid dehydratase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1432],[protein_id=AHF63794.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0773],[protein_id=CAE19232.1],[gene=None],[protein=possible Geminivirus coat protein],[evalue=3.96406E-27]
[locus_tag=Syncc8109_1433],[protein_id=AHF63795.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMM0772],[protein_id=CAE19231.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.61448E-71]
