[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_1360],[protein_id=AHF63723.1],[gene=fmt],[protein=methionyl-tRNA formyltransferase],[locus_tag=PMT_0772],[protein_id=CAE20947.1],[gene=fmt],[protein=putative methionyl-tRNA formyltransferase],[evalue=1.11142E-150]
[locus_tag=Syncc8109_1361],[protein_id=AHF63724.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0972],[protein_id=CAE21147.1],[gene=None],[protein=possible DNA polymerase (viral) N-terminal dom],[evalue=5.85653E-13]
[locus_tag=Syncc8109_1364],[protein_id=AHF63727.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0773],[protein_id=CAE20948.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.91374E-67]
[locus_tag=Syncc8109_1377],[protein_id=AHF63740.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0608],[protein_id=CAE20783.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.18871E-13]
[locus_tag=Syncc8109_1378],[protein_id=AHF63741.1],[gene=None],"[protein=ABC transporter, substrate binding protein, phosphate]",[locus_tag=PMT_0508],[protein_id=CAE20683.1],[gene=None],"[protein=ABC transporter, substrate binding protein, phosphate]",[evalue=1.03768E-165],[locus_tag=PMT_0993],[protein_id=CAE21168.1],[gene=None],"[protein=ABC transporter, substrate binding protein, phosphate]",[evalue=5.24726E-163]
[locus_tag=Syncc8109_1379],[protein_id=AHF63742.1],[gene=None],"[protein=putative transcriptional regulator, Crp/Fnr family]",[locus_tag=PMT_1831],[protein_id=CAE22006.1],[gene=ntcA],"[protein=Global nitrogen regulatory protein, CRP family of transcriptional regulators]",[evalue=3.19694E-24]
[locus_tag=Syncc8109_1387],[protein_id=AHF63750.1],[gene=None],[protein=transcription-repair coupling factor],[locus_tag=PMT_0775],[protein_id=CAE20950.1],[gene=None],[protein=Transcriptional-repair coupling factor],[evalue=0.00000E+00],[locus_tag=PMT_0581],[protein_id=CAE20756.1],[gene=None],[protein=putative DNA helicase],[evalue=1.96592E-70],[locus_tag=PMT_0071],[protein_id=CAE20246.1],[gene=uvrB],"[protein=excinuclease ABC, subunit B]",[evalue=5.72272E-09]
[locus_tag=Syncc8109_1389],[protein_id=AHF63752.1],[gene=None],[protein=carboxyl-terminal protease],[locus_tag=PMT_0776],[protein_id=CAE20951.1],[gene=None],[protein=carboxyl-terminal processing protease],[evalue=0.00000E+00],[locus_tag=PMT_1650],[protein_id=CAE21825.1],[gene=ctpA],[protein=carboxyl-terminal processing proteinase],[evalue=9.09352E-82]
[locus_tag=Syncc8109_1390],[protein_id=AHF63753.1],[gene=gcpE],[protein=1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase],[locus_tag=PMT_0777],[protein_id=CAE20952.1],[gene=gcpE],[protein=GcpE protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1391],[protein_id=AHF63754.1],[gene=None],[protein=phage SPO1 DNA polymerase-related protein],[locus_tag=PMT_0778],[protein_id=CAE20953.1],[gene=None],[protein=Uracil-DNA glycosylase],[evalue=2.44078E-82]
[locus_tag=Syncc8109_1393],[protein_id=AHF63756.1],[gene=aspC],[protein=aminotransferases class-I],[locus_tag=PMT_0779],[protein_id=CAE20954.1],[gene=aspC],[protein=Aminotransferases class-I],[evalue=0.00000E+00],[locus_tag=PMT_1029],[protein_id=CAE21204.1],[gene=aspC],[protein=Aminotransferases class-I],[evalue=5.09346E-42],[locus_tag=PMT_1360],[protein_id=CAE21535.1],[gene=None],[protein=Aminotransferases class-I],[evalue=4.49049E-18]
[locus_tag=Syncc8109_1394],[protein_id=AHF63757.1],[gene=None],[protein=Phosphonate-binding periplasmic protein],[locus_tag=PMT_0780],[protein_id=CAE20955.1],[gene=None],[protein=Putative phosphonate binding protein for ABC transporter],[evalue=2.32764E-136]
[locus_tag=Syncc8109_1395],[protein_id=AHF63758.1],[gene=None],[protein=ATPase],[locus_tag=PMT_0781],[protein_id=CAE20956.1],[gene=None],[protein=Putative phosphonate ABC transporter],[evalue=5.61755E-66],[locus_tag=PMT_0893],[protein_id=CAE21068.1],[gene=None],"[protein=ABC transporter for amino acids, ATP binding component]",[evalue=6.39471E-24],[locus_tag=PMT_1576],[protein_id=CAE21751.1],[gene=None],"[protein=ABC transporter, ATP binding protein]",[evalue=1.12962E-20]
[locus_tag=Syncc8109_1396],[protein_id=AHF63759.1],[gene=None],[protein=putative phosphonate ABC transporter],[locus_tag=PMT_0782],[protein_id=CAE20957.1],[gene=None],[protein=putative phosphonate ABC transporter],[evalue=2.22118E-113]
[locus_tag=Syncc8109_1397],[protein_id=AHF63760.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0783],[protein_id=CAE20958.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.41127E-101]
[locus_tag=Syncc8109_1398],[protein_id=AHF63761.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2476],[protein_id=CAX31994.1],[gene=None],[protein=Hypothetical protein],[evalue=1.03305E-15]
[locus_tag=Syncc8109_1401],[protein_id=AHF63764.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0785],[protein_id=CAE20960.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.29558E-94]
[locus_tag=Syncc8109_1403],[protein_id=AHF63766.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0786],[protein_id=CAE20961.1],[gene=None],[protein=Conserved hypothetical protein 46],[evalue=3.92605E-50]
[locus_tag=Syncc8109_1404],[protein_id=AHF63767.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0787],[protein_id=CAE20962.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.54811E-87]
[locus_tag=Syncc8109_1405],[protein_id=AHF63768.1],[gene=None],[protein=ATPase],[locus_tag=PMT_0788],[protein_id=CAE20963.1],[gene=None],"[protein=possible ABC transporter, ATP-binding component]",[evalue=2.48227E-89],[locus_tag=PMT_0587],[protein_id=CAE20762.1],[gene=None],"[protein=ABC transporter, ATP-binding component]",[evalue=1.23380E-21],[locus_tag=PMT_1355],[protein_id=CAE21530.1],[gene=None],"[protein=possible ABC transporter, ATP binding protein]",[evalue=5.67951E-21]
[locus_tag=Syncc8109_1407],[protein_id=AHF63770.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0789],[protein_id=CAE20964.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.87005E-38]
[locus_tag=Syncc8109_1408],[protein_id=AHF63771.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0790],[protein_id=CAE20965.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.94455E-28]
[locus_tag=Syncc8109_1409],[protein_id=AHF63772.1],[gene=prfC],[protein=peptide chain release factor 3],[locus_tag=PMT_0791],[protein_id=CAE20966.1],[gene=prfC],[protein=peptide chain release factor RF-3],[evalue=0.00000E+00],[locus_tag=PMT_1781],[protein_id=CAE21956.1],[gene=fusA],"[protein=Elongation factor G, EF-G]",[evalue=9.51758E-47],[locus_tag=PMT_0257],[protein_id=CAE20432.1],[gene=lepA],[protein=GTP-binding protein LepA],[evalue=3.25483E-27]
[locus_tag=Syncc8109_1410],[protein_id=AHF63773.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0792],[protein_id=CAE20967.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.79774E-59],[locus_tag=PMT_1474],[protein_id=CAE21649.1],[gene=None],[protein=possible methyltransferase],[evalue=1.20072E-06]
[locus_tag=Syncc8109_1411],[protein_id=AHF63774.1],[gene=nrdJ],[protein=ribonucleotide reductase (class II)],[locus_tag=PMT_0793],[protein_id=CAE20968.1],[gene=nrdJ],[protein=ribonucleotide reductase (Class II)],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1412],[protein_id=AHF63775.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2430],[protein_id=CAX31948.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.29039E-07]
[locus_tag=Syncc8109_1420],[protein_id=AHF63782.1],[gene=None],[protein=putative short-chain dehydrogenase family protein],[locus_tag=PMT_0548],[protein_id=CAE20723.1],[gene=None],[protein=putative agropine synthesis reductase],[evalue=3.70073E-107],[locus_tag=PMT_1333],[protein_id=CAE21508.1],[gene=fabG],[protein=3-oxoacyl-[acyl-carrier protein],[evalue=8.60090E-12],[locus_tag=PMT_1247],[protein_id=CAE21422.1],[gene=None],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily],[evalue=5.60669E-10]
[locus_tag=Syncc8109_1423],[protein_id=AHF63785.1],[gene=pcr],[protein=Protochlorophyllide reductase],[locus_tag=PMT_0871],[protein_id=CAE21046.1],[gene=F21B7.35],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily],[evalue=1.55376E-93],[locus_tag=PMT_1218],[protein_id=CAE21393.1],[gene=pcr],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily],[evalue=2.69479E-30],[locus_tag=PMT_0480],[protein_id=CAE20655.1],[gene=None],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily],[evalue=1.26428E-20]
[locus_tag=Syncc8109_1424],[protein_id=AHF63786.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0853],[protein_id=CAE21028.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.94891E-18],[locus_tag=PMT_1531],[protein_id=CAE21706.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.08383E-07]
[locus_tag=Syncc8109_1425],[protein_id=AHF63787.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0918],[protein_id=CAE21093.1],[gene=None],"[protein=Integral membrane protein, DUF6]",[evalue=3.43939E-62]
[locus_tag=Syncc8109_1428],[protein_id=AHF63790.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0557],[protein_id=CAE20732.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.78786E-64],[locus_tag=PMT_1554],[protein_id=CAE21729.1],[gene=None],[protein=Pentapeptide repeats],[evalue=6.01183E-29],[locus_tag=PMT_0626],[protein_id=CAE20801.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.12185E-24]
[locus_tag=Syncc8109_1429],[protein_id=AHF63791.1],[gene=None],[protein=putative uracil phosphoribosyltransferase],[locus_tag=PMT_0558],[protein_id=CAE20733.1],[gene=None],[protein=putative uracil phosphoribosyltransferase],[evalue=1.73805E-96]
[locus_tag=Syncc8109_1430],[protein_id=AHF63792.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0559],[protein_id=CAE20734.1],[gene=None],[protein=conserved hypothetical],[evalue=5.63761E-33]
[locus_tag=Syncc8109_1431],[protein_id=AHF63793.1],[gene=ilvD],[protein=dihydroxy-acid dehydratase],[locus_tag=PMT_0560],[protein_id=CAE20735.1],[gene=None],[protein=Dihydroxy-acid dehydratase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1432],[protein_id=AHF63794.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0561],[protein_id=CAE20736.1],[gene=None],[protein=possible Insulin-like growth factor binding pr],[evalue=7.78108E-45]
[locus_tag=Syncc8109_1433],[protein_id=AHF63795.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0562],[protein_id=CAE20737.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.35389E-78]
[locus_tag=Syncc8109_1434],[protein_id=AHF63796.1],[gene=pgl],[protein=6-phosphogluconolactonase],[locus_tag=PMT_0564],[protein_id=CAE20739.1],[gene=None],"[protein=Putative 6-phosphogluconolactonase (DevB, Pgl)]",[evalue=8.28551E-125]
[locus_tag=Syncc8109_1435],[protein_id=AHF63797.1],[gene=gnd],"[protein=6-phosphogluconate dehydrogenase, decarboxylating]",[locus_tag=PMT_0565],[protein_id=CAE20740.1],[gene=gnd],[protein=6-phosphogluconate dehydrogenase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1436],[protein_id=AHF63798.1],[gene=glgC],[protein=Glucose-1-phosphate adenylyltransferase],[locus_tag=PMT_0566],[protein_id=CAE20741.1],[gene=glgC],[protein=ADP-glucose pyrophosphorylase],[evalue=0.00000E+00],[locus_tag=PMT_2012],[protein_id=CAE22186.1],[gene=None],[protein=Putative sugar-phosphate nucleotidyl transferase],[evalue=2.53641E-17]
[locus_tag=Syncc8109_1437],[protein_id=AHF63799.1],[gene=hemA],[protein=glutamyl-tRNA reductase],[locus_tag=PMT_0567],[protein_id=CAE20742.1],[gene=hemA],[protein=glutamyl-tRNA reductase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1438],[protein_id=AHF63800.1],[gene=glpX],"[protein=fructose-1,6-bisphosphatase, class II]",[locus_tag=PMT_0568],[protein_id=CAE20743.1],"[gene=glpX, cbbF, fbp]","[protein=Fructose-1,6-bisphosphatase/sedoheptulose-1,7-bisphosphatase]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_1439],[protein_id=AHF63801.1],[gene=rpe],[protein=ribulose-phosphate 3-epimerase],[locus_tag=PMT_0569],[protein_id=CAE20744.1],"[gene=rpe, cbbE]",[protein=Ribulose-phosphate 3-epimerase],[evalue=5.10049E-153]
[locus_tag=Syncc8109_1442],[protein_id=AHF63804.1],[gene=None],[protein=putative heme transporter],[locus_tag=PMT_0570],[protein_id=CAE20745.1],[gene=None],[protein=possible heme transporter],[evalue=8.47621E-148]
[locus_tag=Syncc8109_1443],[protein_id=AHF63805.1],[gene=None],[protein=putative permease],[locus_tag=PMT_0571],[protein_id=CAE20746.1],[gene=None],[protein=possible permease],[evalue=1.52127E-146]
[locus_tag=Syncc8109_1444],[protein_id=AHF63806.1],[gene=None],[protein=ATPase],[locus_tag=PMT_0572],[protein_id=CAE20747.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]",[evalue=9.09991E-127],[locus_tag=PMT_1338],[protein_id=CAE21513.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=5.54817E-38],[locus_tag=PMT_2226],[protein_id=CAE22400.1],[gene=urtD],[protein=Putative ATP-binding subunit of urea ABC transport system],[evalue=1.11291E-33]
[locus_tag=Syncc8109_1445],[protein_id=AHF63807.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0573],[protein_id=CAE20748.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.01056E-37]
[locus_tag=Syncc8109_1446],[protein_id=AHF63808.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0574],[protein_id=CAE20749.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.08135E-53]
[locus_tag=Syncc8109_1447],[protein_id=AHF63809.1],[gene=typA / bipA],[protein=GTP-binding protein TypA],[locus_tag=PMT_0575],[protein_id=CAE20750.1],[gene=typA / bipA],[protein=tyrosine binding protein],[evalue=0.00000E+00],[locus_tag=PMT_0257],[protein_id=CAE20432.1],[gene=lepA],[protein=GTP-binding protein LepA],[evalue=6.33922E-39],[locus_tag=PMT_1781],[protein_id=CAE21956.1],[gene=fusA],"[protein=Elongation factor G, EF-G]",[evalue=5.29310E-26]
[locus_tag=Syncc8109_1449],[protein_id=AHF63811.1],[gene=None],[protein=putative carboxypeptidase],[locus_tag=PMT_0576],[protein_id=CAE20751.1],[gene=None],[protein=putative carboxypeptidase],[evalue=1.33976E-89]
[locus_tag=Syncc8109_1450],[protein_id=AHF63812.1],[gene=chlP],[protein=geranylgeranyl reductase],[locus_tag=PMT_0577],[protein_id=CAE20752.1],[gene=chlP],[protein=Aromatic-ring hydroxylase (flavoprotein monooxygenase)],[evalue=0.00000E+00],[locus_tag=PMT_0686],[protein_id=CAE20861.1],[gene=None],[protein=NAD binding site],[evalue=1.28365E-07]
[locus_tag=Syncc8109_1452],[protein_id=AHF63814.1],[gene=glyS],"[protein=glycyl-tRNA synthetase, beta subunit]",[locus_tag=PMT_0578],[protein_id=CAE20753.1],[gene=glyS],"[protein=putative Glycyl-tRNA synthetase, beta subunit]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_1453],[protein_id=AHF63815.1],[gene=sir],"[protein=Sulfite reductase, ferredoxin dependent]",[locus_tag=PMT_0579],[protein_id=CAE20754.1],[gene=sir],[protein=Ferredoxin-sulfite reductase],[evalue=0.00000E+00],[locus_tag=PMT_2239],[protein_id=CAE22413.1],[gene=nirA],[protein=Ferredoxin--nitrite reductase],[evalue=1.36466E-26]
[locus_tag=Syncc8109_1454],[protein_id=AHF63816.1],[gene=None],[protein=putative D-alanyl-D-alanine dipeptidase],[locus_tag=PMT_0580],[protein_id=CAE20755.1],[gene=None],[protein=D-ala-D-ala dipeptidase],[evalue=8.22816E-98]
[locus_tag=Syncc8109_1455],[protein_id=AHF63817.1],[gene=recG],[protein=ATP-dependent DNA helicase RecG],[locus_tag=PMT_0581],[protein_id=CAE20756.1],[gene=None],[protein=putative DNA helicase],[evalue=0.00000E+00],[locus_tag=PMT_0775],[protein_id=CAE20950.1],[gene=None],[protein=Transcriptional-repair coupling factor],[evalue=1.01848E-71]
[locus_tag=Syncc8109_1456],[protein_id=AHF63818.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0582],[protein_id=CAE20757.1],[gene=None],[protein=conserved hypothetical],[evalue=3.86958E-84]
[locus_tag=Syncc8109_1457],[protein_id=AHF63819.1],[gene=tsf],[protein=translation elongation factor Ts],[locus_tag=PMT_0583],[protein_id=CAE20758.1],[gene=tsf],"[protein=putative Elongation factor Ts, EF-Ts]",[evalue=1.89310E-131]
[locus_tag=Syncc8109_1458],[protein_id=AHF63820.1],[gene=rps2],[protein=ribosomal protein S2],[locus_tag=PMT_0584],[protein_id=CAE20759.1],"[gene=rps2, rpsB]",[protein=30S ribosomal protein S2],[evalue=2.29822E-173]
[locus_tag=Syncc8109_1459],[protein_id=AHF63821.1],[gene=None],[protein=putative glycosyltransferase],[locus_tag=PMT_0585],[protein_id=CAE20760.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=0.00000E+00],[locus_tag=PMT_1766],[protein_id=CAE21941.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=3.51796E-10]
[locus_tag=Syncc8109_1460],[protein_id=AHF63822.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0586],[protein_id=CAE20761.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.98604E-30]
[locus_tag=Syncc8109_1461],[protein_id=AHF63823.1],[gene=None],[protein=ATPase],[locus_tag=PMT_0587],[protein_id=CAE20762.1],[gene=None],"[protein=ABC transporter, ATP-binding component]",[evalue=4.27476E-127],[locus_tag=PMT_1576],[protein_id=CAE21751.1],[gene=None],"[protein=ABC transporter, ATP binding protein]",[evalue=1.88253E-68],[locus_tag=PMT_0893],[protein_id=CAE21068.1],[gene=None],"[protein=ABC transporter for amino acids, ATP binding component]",[evalue=3.39451E-39]
[locus_tag=Syncc8109_1462],[protein_id=AHF63824.1],[gene=None],[protein=DevC protein],[locus_tag=PMT_0588],[protein_id=CAE20763.1],[gene=None],"[protein=ABC-transporter, membrane spanning component]",[evalue=0.00000E+00],[locus_tag=PMT_1574],[protein_id=CAE21749.1],[gene=None],[protein=possible membrane permease or ABC transporter component],[evalue=1.70174E-65],[locus_tag=PMT_1575],[protein_id=CAE21750.1],[gene=None],[protein=possible membrane permease or ABC transporter component],[evalue=4.21503E-63]
[locus_tag=Syncc8109_1463],[protein_id=AHF63825.1],[gene=None],[protein=putative ABC transporter component],[locus_tag=PMT_0589],[protein_id=CAE20764.1],[gene=None],[protein=possible ABC transporter component],[evalue=3.55379E-109],[locus_tag=PMT_1573],[protein_id=CAE21748.1],[gene=None],[protein=ABC-transporter component],[evalue=2.02972E-17]
[locus_tag=Syncc8109_1464],[protein_id=AHF63826.1],[gene=pcyA],[protein=ferredoxin-dependent biliverdin reductase],[locus_tag=PMT_0590],[protein_id=CAE20765.1],[gene=pcyA],[protein=ferredoxin-dependent biliverdin reductase],[evalue=2.70814E-92],[locus_tag=PMT_1687],[protein_id=CAE21862.1],[gene=pebB],[protein=phycoerythrobilin:ferredoxin oxidoreductase],[evalue=5.99322E-09],[locus_tag=PMT_1686],[protein_id=CAE21861.1],[gene=pebA],[protein=phycoerythrobilin:ferredoxin oxidoreductase],[evalue=3.87202E-06]
[locus_tag=Syncc8109_1465],[protein_id=AHF63827.1],[gene=pqqL],[protein=putative Zn-dependent peptidase],[locus_tag=PMT_0591],[protein_id=CAE20766.1],[gene=None],[protein=Possible Zn-dependent peptidase],[evalue=1.81908E-150]
[locus_tag=Syncc8109_1466],[protein_id=AHF63828.1],[gene=pqqL],[protein=putative Zn-dependent peptidase],[locus_tag=PMT_0592],[protein_id=CAE20767.1],[gene=None],[protein=Insulinase family (Peptidase family M16)],[evalue=1.53917E-145]
[locus_tag=Syncc8109_1467],[protein_id=AHF63829.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0593],[protein_id=CAE20768.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.29681E-22]
[locus_tag=Syncc8109_1468],[protein_id=AHF63830.1],[gene=None],[protein=BioY protein],[locus_tag=PMT_0594],[protein_id=CAE20769.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.02398E-80]
[locus_tag=Syncc8109_1469],[protein_id=AHF63831.1],[gene=None],[protein=lipoprotein signal peptidase],[locus_tag=PMT_0595],[protein_id=CAE20770.1],[gene=None],[protein=putative lipoprotein signal peptidase],[evalue=1.62636E-57]
[locus_tag=Syncc8109_1470],[protein_id=AHF63832.1],[gene=None],[protein=Small GTP-binding protein domain protein],[locus_tag=PMT_0597],[protein_id=CAE20772.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00],[locus_tag=PMT_1459],[protein_id=CAE21634.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.70222E-15],[locus_tag=PMT_0420],[protein_id=CAE20595.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.01865E-08]
[locus_tag=Syncc8109_1471],[protein_id=AHF63833.1],[gene=None],[protein=pyridoxal-dependent decarboxylase family protein],[locus_tag=PMT_0598],[protein_id=CAE20773.1],[gene=None],[protein=Pyridoxal-dependent decarboxylase family],[evalue=0.00000E+00]
[locus_tag=Syncc8109_1472],[protein_id=AHF63834.1],[gene=cumB],[protein=cytidine/deoxycytidylate deaminase family protein],[locus_tag=PMT_0599],[protein_id=CAE20774.1],[gene=None],[protein=putative cytidine/deoxycytidylate deaminase],[evalue=6.28806E-72],[locus_tag=PMT_0375],[protein_id=CAE20550.1],[gene=ribD],[protein=putative Diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino)uracil reductase],[evalue=2.28230E-06]
[locus_tag=Syncc8109_1473],[protein_id=AHF63835.1],[gene=spt],[protein=serine:pyruvate/alanine:glyoxylate aminotransferase],[locus_tag=PMT_0600],[protein_id=CAE20775.1],"[gene=spt, agt]",[protein=serine:pyruvate/alanine:glyoxylate aminotransferase],[evalue=0.00000E+00],[locus_tag=PMT_0043],[protein_id=CAE20218.1],[gene=DHSS],[protein=soluble hydrogenase small subunit],[evalue=3.34898E-50],[locus_tag=PMT_2045],[protein_id=CAE22219.1],[gene=None],[protein=NifS-like aminotransferase class-V],[evalue=1.29811E-08]
[locus_tag=Syncc8109_1474],[protein_id=AHF63836.1],[gene=apcF],[protein=phycobilisome core component-allophycocyanin beta-18 subunit],[locus_tag=PMT_1683],[protein_id=CAE21858.1],[gene=cpeB],[protein=Phycobilisome protein (phycoerythrin beta-subunit)],[evalue=6.25636E-28],[locus_tag=PMT_1682],[protein_id=CAE21857.1],[gene=cpeA],"[protein=Phycobilisome protein (phycoerythrin, alpha-subunit)]",[evalue=5.66666E-09]
[locus_tag=Syncc8109_1475],[protein_id=AHF63837.1],[gene=glnA],"[protein=glutamine synthetase, type I]",[locus_tag=PMT_0601],[protein_id=CAE20776.1],[gene=glnA],"[protein=Glutamine synthetase, glutamate--ammonia ligase]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_1476],[protein_id=AHF63838.1],[gene=None],[protein=generic methyl-transferase],[locus_tag=PMT_0612],[protein_id=CAE20787.1],[gene=None],[protein=SAM (and some other nucleotide) binding motif:Generic methyl-transferase],[evalue=0.00000E+00],[locus_tag=PMT_1242],[protein_id=CAE21417.1],[gene=None],[protein=possible methyltransferase],[evalue=2.07045E-08],[locus_tag=PMT_0551],[protein_id=CAE20726.1],[gene=sdmt],[protein=putative sarcosine-dimethylglycine methyltransferase],[evalue=3.44377E-06]
[locus_tag=Syncc8109_1477],[protein_id=AHF63839.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0611],[protein_id=CAE20786.1],[gene=None],"[protein=possible Copper binding proteins, plastocyanin]",[evalue=1.55227E-44]
[locus_tag=Syncc8109_1478],[protein_id=AHF63840.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0610],[protein_id=CAE20785.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.29285E-12]
[locus_tag=Syncc8109_1479],[protein_id=AHF63841.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0609],[protein_id=CAE20784.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.36884E-23]
[locus_tag=Syncc8109_1480],[protein_id=AHF63842.1],[gene=None],[protein=putative anti-sigma regulatory factor (serine/threonine protein kinase)],[locus_tag=PMT_0607],[protein_id=CAE20782.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.89873E-67]
[locus_tag=Syncc8109_1481],[protein_id=AHF63843.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0606],[protein_id=CAE20781.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.34512E-109]
[locus_tag=Syncc8109_1482],[protein_id=AHF63844.1],[gene=None],[protein=Rhodanese-like protein],[locus_tag=PMT_0605],[protein_id=CAE20780.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.08591E-168]
[locus_tag=Syncc8109_1483],[protein_id=AHF63845.1],[gene=psb28],[protein=putative photosystem II reaction center Psb28 protein],[locus_tag=PMT_0604],[protein_id=CAE20779.1],[gene=psb28],[protein=possible Photosystem II reaction center Psb28 protein],[evalue=3.95522E-58]
[locus_tag=Syncc8109_1484],[protein_id=AHF63846.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0603],[protein_id=CAE20778.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.99265E-135],[locus_tag=PMT_0602],[protein_id=CAE20777.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.52428E-26]
[locus_tag=Syncc8109_1485],[protein_id=AHF63847.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0602],[protein_id=CAE20777.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.23026E-100],[locus_tag=PMT_0603],[protein_id=CAE20778.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.01028E-37]
[locus_tag=Syncc8109_1488],[protein_id=AHF63850.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0615],[protein_id=CAE20790.1],[gene=None],[protein=hypothetical],[evalue=5.11883E-13]
[locus_tag=Syncc8109_1489],[protein_id=AHF63851.1],[gene=secF],[protein=SecF protein],[locus_tag=PMT_0616],[protein_id=CAE20791.1],[gene=secF],[protein=preprotein translocase subunit],[evalue=3.13226E-147],[locus_tag=PMT_0617],[protein_id=CAE20792.1],[gene=secD],[protein=preprotein translocase subunit],[evalue=9.10697E-11]
