[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[evalue=0.00000E+00]
[locus_tag=PMT_2613],[protein_id=CAX32132.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=Syncc8109_0298],[protein_id=AHF62708.1],[gene=None],[protein=hypothetical protein],[evalue=2.25873E-17],[locus_tag=Syncc8109_1178],[protein_id=AHF63548.1],[gene=None],[protein=hypothetical protein],[evalue=5.40513E-12]
[locus_tag=PMT_1049],[protein_id=CAE21224.1],[gene=gidA],[protein=NAD binding site:Glucose inhibited division protein A family],[locus_tag=Syncc8109_0958],[protein_id=AHF63332.1],[gene=None],[protein=gid protein],[evalue=0.00000E+00]
[locus_tag=PMT_1050],[protein_id=CAE21225.1],[gene=gidA],[protein=possible glucose inhibited division protein A],[locus_tag=Syncc8109_0958],[protein_id=AHF63332.1],[gene=None],[protein=gid protein],[evalue=3.35304E-25]
[locus_tag=PMT_1051],[protein_id=CAE21226.1],[gene=crtH],[protein=putative carotenoid isomerase],[locus_tag=Syncc8109_0960],[protein_id=AHF63334.1],[gene=crtH],[protein=carotenoid isomerase],[evalue=0.00000E+00],[locus_tag=Syncc8109_1998],[protein_id=AHF64342.1],[gene=None],[protein=hypothetical protein],[evalue=4.19834E-60],[locus_tag=Syncc8109_0394],[protein_id=AHF62800.1],[gene=None],[protein=phytoene dehydrogenase related enzyme],[evalue=3.37974E-23]
[locus_tag=PMT_1052],[protein_id=CAE21227.1],[gene=pepN],[protein=probable aminopeptidase N],[locus_tag=Syncc8109_2006],[protein_id=AHF64350.1],[gene=pepN],"[protein=Peptidase M, neutral zinc metallopeptidase, zinc-binding site]",[evalue=0.00000E+00]
[locus_tag=PMT_1053],[protein_id=CAE21228.1],[gene=None],[protein=DUF187],[locus_tag=Syncc8109_1018],[protein_id=AHF63392.1],[gene=None],[protein=hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMT_1055],[protein_id=CAE21230.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0992],[protein_id=AHF63366.1],[gene=None],[protein=Rhodanese-like protein],[evalue=2.08513E-129]
[locus_tag=PMT_1056],[protein_id=CAE21231.1],[gene=BioB],[protein=Biotin synthase],[locus_tag=Syncc8109_0995],[protein_id=AHF63369.1],[gene=BioB],[protein=biotin synthase],[evalue=8.75571E-179]
[locus_tag=PMT_1057],[protein_id=CAE21232.1],[gene=uppS],[protein=Undecaprenyl pyrophosphate synthetase (UPPS)],[locus_tag=Syncc8109_0996],[protein_id=AHF63370.1],[gene=uppS],[protein=undecaprenyl diphosphate synthase],[evalue=3.61514E-138]
[locus_tag=PMT_1058],[protein_id=CAE21233.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0997],[protein_id=AHF63371.1],[gene=None],[protein=hypothetical protein],[evalue=1.32042E-152]
[locus_tag=PMT_1059],[protein_id=CAE21234.1],[gene=lysA],[protein=Diaminopimelate decarboxylase],[locus_tag=Syncc8109_0998],[protein_id=AHF63372.1],[gene=lysA],[protein=diaminopimelate decarboxylase],[evalue=0.00000E+00]
[locus_tag=PMT_1060],[protein_id=CAE21235.1],[gene=None],[protein=putative ribosomal-protein-alanine acetyltransferase],[locus_tag=Syncc8109_0999],[protein_id=AHF63373.1],[gene=rimI],[protein=ribosomal-protein-alanine acetyltransferase],[evalue=3.02897E-54]
[locus_tag=PMT_1061],[protein_id=CAE21236.1],[gene=clpC],[protein=ClpC],[locus_tag=Syncc8109_1000],[protein_id=AHF63374.1],[gene=clpC],[protein=ATPase],[evalue=0.00000E+00],[locus_tag=Syncc8109_1681],[protein_id=AHF64038.1],[gene=clpB1],[protein=ATPase],[evalue=0.00000E+00],[locus_tag=Syncc8109_2584],[protein_id=AHF64891.1],[gene=clpB],[protein=ATPase],[evalue=0.00000E+00]
[locus_tag=PMT_1062],[protein_id=CAE21237.1],[gene=gldA],[protein=putative glycerol dehydrogenase],[locus_tag=Syncc8109_1001],[protein_id=AHF63375.1],[gene=None],[protein=putative glycerol dehydrogenase],[evalue=1.45740E-146]
[locus_tag=PMT_1063],[protein_id=CAE21238.1],[gene=None],"[protein=similar to 2-hydroxy-6-oxohepta-2,4-dienoate hydrolase; alpha/beta hydrolase fold]",[locus_tag=Syncc8109_1002],[protein_id=AHF63376.1],[gene=mhpC],"[protein=putative 2-hydroxy-6-oxohepta-2,4-dienoate hydrolase]",[evalue=2.36287E-124]
[locus_tag=PMT_1064],[protein_id=CAE21239.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1003],[protein_id=AHF63377.1],[gene=None],[protein=hypothetical protein],[evalue=3.01763E-72]
[locus_tag=PMT_1065],[protein_id=CAE21240.1],[gene=None],[protein=Phosphatidate cytidylyltransferase],[locus_tag=Syncc8109_1004],[protein_id=AHF63378.1],[gene=None],[protein=putative phosphatidate cytidylyltransferase],[evalue=4.28958E-123]
[locus_tag=PMT_1066],[protein_id=CAE21241.1],[gene=cad],[protein=Orn/Lys/Arg decarboxylases family 1],[locus_tag=Syncc8109_1006],[protein_id=AHF63380.1],[gene=cad],[protein=Arginine decarboxylase],[evalue=0.00000E+00]
[locus_tag=PMT_1067],[protein_id=CAE21242.1],[gene=None],[protein=possible kinase],[locus_tag=Syncc8109_1007],[protein_id=AHF63381.1],[gene=None],[protein=putative kinase],[evalue=0.00000E+00],[locus_tag=Syncc8109_2762],[protein_id=AHF65068.1],[gene=None],[protein=putative protein kinase],[evalue=2.47026E-116],[locus_tag=Syncc8109_2587],[protein_id=AHF64894.1],[gene=None],[protein=putative kinase],[evalue=1.27987E-62]
[locus_tag=PMT_1068],[protein_id=CAE21243.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[locus_tag=Syncc8109_0120],[protein_id=AHF62540.1],[gene=None],"[protein=type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=0.00000E+00],[locus_tag=Syncc8109_2661],[protein_id=AHF64967.1],[gene=None],[protein=putative type II alternative RNA polymerase sigma factor],[evalue=6.02707E-87],[locus_tag=Syncc8109_0748],[protein_id=AHF63128.1],[gene=rpoD],[protein=Sigma-70 factor],[evalue=3.29357E-83]
[locus_tag=PMT_1069],[protein_id=CAE21244.1],[gene=rsuA],[protein=putative pseudouridylate synthase specific to ribosomal small subunit],[locus_tag=Syncc8109_1011],[protein_id=AHF63385.1],[gene=rsuA],"[protein=Pseudouridine synthase, Rsu]",[evalue=5.15649E-97],[locus_tag=Syncc8109_2085],[protein_id=AHF64423.1],[gene=None],"[protein=Pseudouridine synthase, Rsu]",[evalue=5.04291E-25]
[locus_tag=PMT_1070],[protein_id=CAE21245.1],[gene=None],[protein=Helix-turn-helix motif],[locus_tag=Syncc8109_1012],[protein_id=AHF63386.1],[gene=None],[protein=hypothetical protein],[evalue=6.72165E-72]
[locus_tag=PMT_1071],[protein_id=CAE21246.1],[gene=malQ],[protein=Putative 4-alpha-glucanotransferase],[locus_tag=Syncc8109_1013],[protein_id=AHF63387.1],[gene=malQ],[protein=4-alpha-glucanotransferase],[evalue=0.00000E+00]
[locus_tag=PMT_1072],[protein_id=CAE21247.1],[gene=lytR],[protein=possible LytR-membrane bound transcriptional regulator],[locus_tag=Syncc8109_1015],[protein_id=AHF63389.1],[gene=None],[protein=cell envelope-related function transcriptional attenuator common domain protein],[evalue=1.93822E-92],[locus_tag=Syncc8109_0986],[protein_id=AHF63360.1],[gene=None],[protein=cell envelope-related function transcriptional attenuator common domain protein],[evalue=1.65229E-18]
[locus_tag=PMT_1073],[protein_id=CAE21248.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_1016],[protein_id=AHF63390.1],[gene=None],[protein=hypothetical protein],[evalue=3.32189E-32]
[locus_tag=PMT_1074],[protein_id=CAE21249.1],[gene=kprS],[protein=Ribose-phosphate pyrophosphokinase],[locus_tag=Syncc8109_1017],[protein_id=AHF63391.1],[gene=kprS],[protein=ribose-phosphate pyrophosphokinase],[evalue=0.00000E+00]
[locus_tag=PMT_1075],[protein_id=CAE21250.1],[gene=F2J10.13],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0990],[protein_id=AHF63364.1],[gene=None],[protein=hypothetical protein],[evalue=3.62707E-64]
[locus_tag=PMT_1076],[protein_id=CAE21251.1],[gene=LipA],[protein=Lipoate synthase],[locus_tag=Syncc8109_0989],[protein_id=AHF63363.1],[gene=lipA],[protein=lipoic acid synthetase],[evalue=2.52803E-175],[locus_tag=Syncc8109_0333],[protein_id=AHF62742.1],[gene=liaS],[protein=lipoic acid synthetase],[evalue=1.88354E-77]
[locus_tag=PMT_1077],[protein_id=CAE21252.1],[gene=recR],[protein=RecR protein],[locus_tag=Syncc8109_0988],[protein_id=AHF63362.1],[gene=recR],[protein=recombination protein RecR],[evalue=9.03377E-110]
[locus_tag=PMT_1078],[protein_id=CAE21253.1],[gene=None],[protein=PsbP],[locus_tag=Syncc8109_0987],[protein_id=AHF63361.1],[gene=psbP],[protein=putative photosystem II oxygen-evolving complex 23K protein PsbP],[evalue=5.39581E-84]
[locus_tag=PMT_1079],[protein_id=CAE21254.1],[gene=None],[protein=similar to membrane bound transcriptional regulator],[locus_tag=Syncc8109_0986],[protein_id=AHF63360.1],[gene=None],[protein=cell envelope-related function transcriptional attenuator common domain protein],[evalue=3.36141E-131]
[locus_tag=PMT_1080],[protein_id=CAE21255.1],[gene=None],"[protein=ABC transporter, multidrug efflux family]",[locus_tag=Syncc8109_0984],[protein_id=AHF63358.1],[gene=mdlB],[protein=ATPase],[evalue=0.00000E+00],[locus_tag=Syncc8109_0860],[protein_id=AHF63238.1],[gene=mdlB],[protein=ATPase],[evalue=4.68795E-91],[locus_tag=Syncc8109_1534],[protein_id=AHF63895.1],[gene=None],[protein=ATPase],[evalue=9.09558E-87]
[locus_tag=PMT_1081],[protein_id=CAE21256.1],[gene=rbpD],[protein=RNA-binding protein RbpD],[locus_tag=Syncc8109_0982],[protein_id=AHF63356.1],[gene=rbpD],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[evalue=1.37656E-51],[locus_tag=Syncc8109_1142],[protein_id=AHF63513.1],[gene=None],[protein=RNA-binding protein],[evalue=2.28859E-42],[locus_tag=Syncc8109_0015],[protein_id=AHF62441.1],[gene=None],[protein=RNA-binding region RNP-1 (RNA recognition motif)],[evalue=8.80095E-35]
[locus_tag=PMT_1082],[protein_id=CAE21257.1],[gene=None],[protein=hypothetical],[locus_tag=Syncc8109_0980],[protein_id=AHF63354.1],[gene=None],[protein=hypothetical protein],[evalue=8.19422E-15]
[locus_tag=PMT_1083],[protein_id=CAE21258.1],[gene=None],[protein=putative ATP-dependent RNA helicase],[locus_tag=Syncc8109_0979],[protein_id=AHF63353.1],[gene=None],[protein=DEAD/DEAH box helicase-like protein],[evalue=0.00000E+00]
[locus_tag=PMT_1084],[protein_id=CAE21259.1],[gene=None],[protein=possible sugar-phosphate nucleotidyl transferase],[locus_tag=Syncc8109_0978],[protein_id=AHF63352.1],[gene=None],[protein=mannose-6-phosphate isomerase WbpW-like protein],[evalue=1.35540E-54],[locus_tag=Syncc8109_0152],[protein_id=AHF62572.1],[gene=manC],[protein=Mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase],[evalue=1.08384E-21]
[locus_tag=PMT_1085],[protein_id=CAE21260.1],[gene=recD],[protein=similar to UvrD/REP helicase],[locus_tag=Syncc8109_0977],[protein_id=AHF63351.1],[gene=recD],"[protein=putative exodeoxyribonuclease V, alpha subunit RecD]",[evalue=1.12297E-173]
[locus_tag=PMT_1086],[protein_id=CAE21261.1],[gene=recB],[protein=similar to UvrD/REP helicase],[locus_tag=Syncc8109_0976],[protein_id=AHF63350.1],[gene=recB],"[protein=putative exodeoxyribonuclease V, beta subunit RecB]",[evalue=0.00000E+00]
[locus_tag=PMT_1088],[protein_id=CAE21263.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2110],[protein_id=AHF64448.1],[gene=None],[protein=hypothetical protein],[evalue=5.71000E-55]
[locus_tag=PMT_1089],[protein_id=CAE21264.1],[gene=recC],[protein=possible exodeoxyribonuclease V gamma chain],[locus_tag=Syncc8109_0974],[protein_id=AHF63348.1],[gene=recC],"[protein=exodeoxyribonuclease V, gamma subunit]",[evalue=0.00000E+00]
[locus_tag=PMT_1090],[protein_id=CAE21265.1],[gene=None],[protein=Serine/threonine specific protein phosphatase],[locus_tag=Syncc8109_0973],[protein_id=AHF63347.1],[gene=None],[protein=serine/threonine specific protein phosphatase],[evalue=3.15411E-86]
[locus_tag=PMT_2617],[protein_id=CAX32136.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=Syncc8109_0972],[protein_id=AHF63346.1],[gene=None],[protein=hypothetical protein],[evalue=1.63788E-24]
[locus_tag=PMT_1091],[protein_id=CAE21266.1],[gene=pdxJ],[protein=Pyridoxal phosphate biosynthetic protein PdxJ],[locus_tag=Syncc8109_0970],[protein_id=AHF63344.1],[gene=pdxJ],[protein=pyridoxal phosphate biosynthetic protein PdxJ],[evalue=3.81102E-140]
[locus_tag=PMT_1092],[protein_id=CAE21267.1],[gene=None],[protein=Phospholipid and glycerol acyltransferase (from 'motifs_6.msf')],[locus_tag=Syncc8109_0969],[protein_id=AHF63343.1],[gene=None],[protein=Phospholipid/glycerol acyltransferase],[evalue=1.52358E-101]
[locus_tag=PMT_1093],[protein_id=CAE21268.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0968],[protein_id=AHF63342.1],[gene=None],[protein=hypothetical protein],[evalue=3.95710E-66]
[locus_tag=PMT_1094],[protein_id=CAE21269.1],[gene=None],[protein=BolA-like protein],[locus_tag=Syncc8109_0967],[protein_id=AHF63341.1],[gene=bolA],[protein=BolA family protein],[evalue=1.20585E-38]
[locus_tag=PMT_1095],[protein_id=CAE21270.1],[gene=None],[protein=Glutaredoxin-related protein],[locus_tag=Syncc8109_0966],[protein_id=AHF63340.1],[gene=None],[protein=Glutaredoxin-related protein],[evalue=8.99428E-66]
[locus_tag=PMT_1096],[protein_id=CAE21271.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0965],[protein_id=AHF63339.1],[gene=None],[protein=hypothetical protein],[evalue=6.93233E-47]
[locus_tag=PMT_1097],[protein_id=CAE21272.1],[gene=None],[protein=two-component response regulator],[locus_tag=Syncc8109_0964],[protein_id=AHF63338.1],[gene=None],"[protein=two component transcriptional regulator, winged helix family]",[evalue=5.80088E-144],[locus_tag=Syncc8109_1009],[protein_id=AHF63383.1],[gene=phoB],"[protein=two component transcriptional regulator, winged helix family]",[evalue=4.61067E-24],[locus_tag=Syncc8109_0132],[protein_id=AHF62552.1],[gene=None],"[protein=two component transcriptional regulator, winged helix family]",[evalue=2.04566E-23]
[locus_tag=PMT_1098],[protein_id=CAE21273.1],[gene=None],[protein=possible cAMP phosphodiesterases class-II],[locus_tag=Syncc8109_2007],[protein_id=AHF64351.1],[gene=None],[protein=putative cAMP phosphodiesterases class-II],[evalue=3.27277E-21]
[locus_tag=PMT_1099],[protein_id=CAE21274.1],[gene=None],[protein=two-component sensor histidine kinase],[locus_tag=Syncc8109_2009],[protein_id=AHF64353.1],[gene=None],[protein=histidine kinase],[evalue=0.00000E+00],[locus_tag=Syncc8109_1010],[protein_id=AHF63384.1],[gene=phoR],[protein=histidine kinase],[evalue=1.73761E-22],[locus_tag=Syncc8109_2212],[protein_id=AHF64541.1],[gene=nblS],[protein=multi-sensor signal transduction histidine kinase],[evalue=2.29503E-20]
[locus_tag=PMT_1100],[protein_id=CAE21275.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2011],[protein_id=AHF64354.1],[gene=None],[protein=hypothetical protein],[evalue=1.85537E-72]
[locus_tag=PMT_1101],[protein_id=CAE21276.1],[gene=petH],[protein=ferredoxin-NADP oxidoreductase],[locus_tag=Syncc8109_2012],[protein_id=AHF64355.1],[gene=petH],[protein=ferredoxin--NADP reductase (FNR)],[evalue=0.00000E+00]
[locus_tag=PMT_1102],[protein_id=CAE21277.1],[gene=zwf],[protein=Glucose-6-phosphate dehydrogenase],[locus_tag=Syncc8109_2013],[protein_id=AHF64356.1],[gene=zwf],[protein=glucose-6-phosphate 1-dehydrogenase],[evalue=0.00000E+00]
[locus_tag=PMT_1103],[protein_id=CAE21278.1],[gene=None],[protein=Putative glucose 6-phosphate dehydrogenase effector OpcA],[locus_tag=Syncc8109_2014],[protein_id=AHF64357.1],[gene=opcA],[protein=putative glucose 6-phosphate dehydrogenase effector OpcA],[evalue=0.00000E+00]
[locus_tag=PMT_1104],[protein_id=CAE21279.1],"[gene=cbiA,cobB]","[protein=putative Cobyrinic acid a,c-diamide synthase]",[locus_tag=Syncc8109_2015],[protein_id=AHF64358.1],[gene=cbiA],"[protein=cobyrinic acid a,c-diamide synthase]",[evalue=0.00000E+00]
[locus_tag=PMT_1105],[protein_id=CAE21280.1],[gene=None],[protein=putative phosphoglycerate mutase family protein],[locus_tag=Syncc8109_0771],[protein_id=AHF63151.1],[gene=cobC],[protein=putative alpha-ribazole-5'-P phosphatase],[evalue=1.47529E-11]
[locus_tag=PMT_1107],[protein_id=CAE21282.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_2019],[protein_id=AHF64362.1],[gene=None],[protein=exodeoxyribonuclease V],[evalue=0.00000E+00],[locus_tag=Syncc8109_0977],[protein_id=AHF63351.1],[gene=recD],"[protein=putative exodeoxyribonuclease V, alpha subunit RecD]",[evalue=4.07194E-13]
[locus_tag=PMT_1108],[protein_id=CAE21283.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2020],[protein_id=AHF64363.1],[gene=None],[protein=hypothetical protein],[evalue=1.85365E-69]
[locus_tag=PMT_1109],[protein_id=CAE21284.1],[gene=crtE],[protein=Polyprenyl synthetase],[locus_tag=Syncc8109_2021],[protein_id=AHF64364.1],[gene=crtE],[protein=geranylgeranyl pyrophosphate synthase],[evalue=1.92096E-174],[locus_tag=Syncc8109_1551],[protein_id=AHF63911.1],[gene=None],[protein=Trans-hexaprenyltranstransferase],[evalue=3.16991E-22]
[locus_tag=PMT_1110],[protein_id=CAE21285.1],[gene=folD],[protein=putuative bifunctional Methylenetetrahydrofolate dehydrogenase Methenyltetrahydrofolate/cyclohydrolase],[locus_tag=Syncc8109_2024],[protein_id=AHF64367.1],[gene=folD],[protein=Methylenetetrahydrofolate dehydrogenase (NADP+)],[evalue=3.73197E-140]
[locus_tag=PMT_1111],[protein_id=CAE21286.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2025],[protein_id=AHF64368.1],[gene=None],[protein=metal dependent phosphohydrolase],[evalue=0.00000E+00]
[locus_tag=PMT_1112],[protein_id=CAE21287.1],[gene=rluA],[protein=putative pseudouridylate synthase],[locus_tag=Syncc8109_2566],[protein_id=AHF64873.1],[gene=rluD],"[protein=Pseudouridine synthase, RluD]",[evalue=6.08364E-28]
[locus_tag=PMT_1114],[protein_id=CAE21289.1],[gene=None],[protein=hypothetical],[locus_tag=Syncc8109_2028],[protein_id=AHF64369.1],[gene=None],[protein=hypothetical protein],[evalue=1.02009E-51]
[locus_tag=PMT_1120],[protein_id=CAE21295.1],[gene=None],[protein=sugar transport system permease protein],[locus_tag=Syncc8109_2033],[protein_id=AHF64374.1],[gene=None],[protein=putative permease protein of sugar ABC transporter],[evalue=2.83115E-155],[locus_tag=Syncc8109_1253],[protein_id=AHF63621.1],[gene=None],"[protein=ABC transporter, likely for trehalose/maltose, membrane component]",[evalue=1.77304E-17]
[locus_tag=PMT_1121],[protein_id=CAE21296.1],[gene=leuA],[protein=HMG-CoA Lyase-like family],[locus_tag=Syncc8109_2034],[protein_id=AHF64375.1],[gene=leuA],[protein=2-isopropylmalate synthase],[evalue=0.00000E+00]
[locus_tag=PMT_1122],[protein_id=CAE21297.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2035],[protein_id=AHF64376.1],[gene=None],[protein=hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMT_1123],[protein_id=CAE21298.1],[gene=crtL1],[protein=putative lycopene beta cyclase],[locus_tag=Syncc8109_2036],[protein_id=AHF64377.1],[gene=crtL],"[protein=Lycopene cyclase, beta and epsilon]",[evalue=2.27315E-176]
[locus_tag=PMT_1124],[protein_id=CAE21299.1],[gene=gyrA],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[locus_tag=Syncc8109_2037],[protein_id=AHF64378.1],[gene=gyrA],"[protein=DNA gyrase, A subunit]",[evalue=0.00000E+00],[locus_tag=Syncc8109_0006],[protein_id=AHF62432.1],[gene=None],"[protein=DNA gyrase/topoisomerase IV, subunit A]",[evalue=0.00000E+00]
[locus_tag=PMT_1125],[protein_id=CAE21300.1],[gene=None],[protein=Proline-rich region],[locus_tag=Syncc8109_2038],[protein_id=AHF64379.1],[gene=None],[protein=hypothetical protein],[evalue=1.69586E-19]
[locus_tag=PMT_1126],[protein_id=CAE21301.1],[gene=guaB],[protein=putative IMP dehydrogenase],[locus_tag=Syncc8109_2039],[protein_id=AHF64380.1],[gene=guaB],[protein=IMP dehydrogenase related 2],[evalue=0.00000E+00]
[locus_tag=PMT_1127],[protein_id=CAE21302.1],[gene=trxA],[protein=Thioredoxin],[locus_tag=Syncc8109_2040],[protein_id=AHF64381.1],[gene=trxA_1],[protein=thioredoxin],[evalue=2.23411E-74],[locus_tag=Syncc8109_0648],[protein_id=AHF63033.1],[gene=trxA],[protein=thioredoxin],[evalue=5.17596E-29]
[locus_tag=PMT_1128],[protein_id=CAE21303.1],[gene=hisH],[protein=Glutamine amidotransferase class-I],[locus_tag=Syncc8109_2041],[protein_id=AHF64382.1],[gene=hisH],"[protein=imidazole glycerol phosphate synthase, glutamine amidotransferase subunit]",[evalue=4.16356E-92]
[locus_tag=PMT_1129],[protein_id=CAE21304.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2042],[protein_id=AHF64383.1],[gene=None],[protein=hypothetical protein],[evalue=2.97115E-66]
[locus_tag=PMT_1131],[protein_id=CAE21306.1],[gene=cytM],"[protein=Cytochrome c, class IC:Cytochrome c, class I]",[locus_tag=Syncc8109_2043],[protein_id=AHF64384.1],[gene=cytM],[protein=cytochrome cM],[evalue=5.48634E-50]
[locus_tag=PMT_1132],[protein_id=CAE21307.1],[gene=None],[protein=probable tRNA/rRNA methyltransferase],[locus_tag=Syncc8109_2044],[protein_id=AHF64385.1],[gene=None],"[protein=RNA methyltransferase TrmH, group 1]",[evalue=1.40203E-106]
[locus_tag=PMT_1133],[protein_id=CAE21308.1],[gene=None],[protein=putative beta-lactamase],[locus_tag=Syncc8109_2045],[protein_id=AHF64386.1],[gene=None],[protein=putative beta-lactamase family protein],[evalue=2.50500E-156]
[locus_tag=PMT_1134],[protein_id=CAE21309.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2046],[protein_id=AHF64387.1],[gene=None],[protein=hypothetical protein],[evalue=0.00000E+00],[locus_tag=Syncc8109_1315],[protein_id=AHF63682.1],[gene=None],[protein=hypothetical protein],[evalue=1.50884E-34]
[locus_tag=PMT_1135],[protein_id=CAE21310.1],[gene=chlI],"[protein=Protoporphyrin IX Magnesium chelatase, ChlI subunit]",[locus_tag=Syncc8109_2047],[protein_id=AHF64388.1],[gene=chlI],[protein=Magnesium chelatase ATPase subunit I],[evalue=0.00000E+00],[locus_tag=Syncc8109_0202],[protein_id=AHF62617.1],[gene=chlD],[protein=Magnesium chelatase ATPase subunit D],[evalue=2.20940E-61]
[locus_tag=PMT_1136],[protein_id=CAE21311.1],[gene=ruvC],[protein=Crossover junction endodeoxyribonuclease RuvC],[locus_tag=Syncc8109_2048],[protein_id=AHF64389.1],[gene=ruvC],[protein=Holliday junction resolvase RuvC],[evalue=9.01249E-81]
[locus_tag=PMT_1138],[protein_id=CAE21313.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2049],[protein_id=AHF64390.1],[gene=None],[protein=hypothetical protein],[evalue=1.32473E-44]
[locus_tag=PMT_1141],[protein_id=CAE21316.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_2050],[protein_id=AHF64391.1],[gene=None],[protein=hypothetical protein],[evalue=5.02115E-43]
[locus_tag=PMT_1142],[protein_id=CAE21317.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2051],[protein_id=AHF64392.1],[gene=sufE],[protein=putative SufE protein],[evalue=1.85073E-74]
[locus_tag=PMT_1143],[protein_id=CAE21318.1],"[gene=thrA,hom]",[protein=Homoserine dehydrogenase:ACT domain],[locus_tag=Syncc8109_2052],[protein_id=AHF64393.1],[gene=thrA],[protein=Homoserine dehydrogenase],[evalue=0.00000E+00]
[locus_tag=PMT_1144],[protein_id=CAE21319.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2053],[protein_id=AHF64394.1],[gene=None],[protein=hypothetical protein],[evalue=3.00745E-19]
[locus_tag=PMT_1145],[protein_id=CAE21320.1],[gene=None],"[protein=ABC transporter, substrate binding protein, possibly oligopeptides]",[locus_tag=Syncc8109_2054],[protein_id=AHF64395.1],[gene=None],"[protein=ABC transporter, substrate binding protein]",[evalue=0.00000E+00]
[locus_tag=PMT_1146],[protein_id=CAE21321.1],[gene=None],"[protein=putative ABC transporter, oligopeptides]",[locus_tag=Syncc8109_2055],[protein_id=AHF64396.1],[gene=dppB],"[protein=putative ABC transporter, oligopeptide]",[evalue=1.14191E-163]
[locus_tag=PMT_1147],[protein_id=CAE21322.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2056],[protein_id=AHF64397.1],[gene=None],[protein=hypothetical protein],[evalue=2.63213E-144],[locus_tag=Syncc8109_2759],[protein_id=AHF65065.1],[gene=None],[protein=hypothetical protein],[evalue=1.37341E-22]
[locus_tag=PMT_2631],[protein_id=CAX32150.1],[gene=som],[protein=Conserved hypothetical protein],[locus_tag=Syncc8109_2471],[protein_id=AHF64779.1],[gene=som],[protein=putative porin],[evalue=4.01685E-86],[locus_tag=Syncc8109_2472],[protein_id=AHF64780.1],[gene=som],[protein=putative porin],[evalue=3.15769E-84],[locus_tag=Syncc8109_1060],[protein_id=AHF63431.1],[gene=None],[protein=putative porin],[evalue=4.16219E-84]
[locus_tag=PMT_1155],[protein_id=CAE21330.1],[gene=None],[protein=probable GTP-binding protein],[locus_tag=Syncc8109_2063],[protein_id=AHF64402.1],[gene=None],[protein=translation-associated GTPase],[evalue=0.00000E+00],[locus_tag=Syncc8109_0563],[protein_id=AHF62950.1],[gene=None],[protein=Small GTP-binding protein domain protein],[evalue=1.79251E-16]
[locus_tag=PMT_1156],[protein_id=CAE21331.1],[gene=None],[protein=possible membrane fusion protein],[locus_tag=Syncc8109_2064],[protein_id=AHF64403.1],[gene=None],[protein=Secretion protein HlyD],[evalue=2.15682E-131]
[locus_tag=PMT_1157],[protein_id=CAE21332.1],[gene=polA],[protein=DNA polymerase I],[locus_tag=Syncc8109_2065],[protein_id=AHF64404.1],[gene=polA],[protein=DNA polymerase I],[evalue=0.00000E+00]
[locus_tag=PMT_1159],[protein_id=CAE21334.1],[gene=cysRS],[protein=Cysteinyl-tRNA synthetase],[locus_tag=Syncc8109_2066],[protein_id=AHF64405.1],[gene=cysRS],[protein=cysteinyl-tRNA synthetase],[evalue=0.00000E+00]
