[locus_tag=PMT_0019],[protein_id=CAE20194.1],[gene=pilT1],[protein=homologous to PilT1 protein]
[locus_tag=PMT_2563],[protein_id=CAX32082.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1008],[protein_id=CAE21183.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2564],[protein_id=CAX32083.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2565],[protein_id=CAX32084.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2566],[protein_id=CAX32085.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1010],[protein_id=CAE21185.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2567],[protein_id=CAX32086.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1013],[protein_id=CAE21188.1],[gene=None],[protein=putative similar to phytochelatin synthase]
[locus_tag=PMT_2568],[protein_id=CAX32087.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2569],[protein_id=CAX32088.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2570],[protein_id=CAX32089.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1017],[protein_id=CAE21192.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2571],[protein_id=CAX32090.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1018],[protein_id=CAE21193.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2572],[protein_id=CAX32091.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2573],[protein_id=CAX32092.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2574],[protein_id=CAX32093.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2575],[protein_id=CAX32094.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2576],[protein_id=CAX32095.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2577],[protein_id=CAX32096.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2578],[protein_id=CAX32097.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2579],[protein_id=CAX32098.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1020],[protein_id=CAE21195.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2580],[protein_id=CAX32099.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1021],[protein_id=CAE21196.1],[gene=None],[protein=possible Small cytokines (intecrine/chemokine)]
[locus_tag=PMT_2582],[protein_id=CAX32101.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2583],[protein_id=CAX32102.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2584],[protein_id=CAX32103.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2585],[protein_id=CAX32104.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1023],[protein_id=CAE21198.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2586],[protein_id=CAX32105.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2587_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_1025],[protein_id=CAE21200.1],[gene=None],[protein=MAPEG family protein]
[locus_tag=PMT_2588],[protein_id=CAX32107.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1027],[protein_id=CAE21202.1],[gene=None],[protein=possible Signal peptidase I]
[locus_tag=PMT_2589],[protein_id=CAX32108.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2590],[protein_id=CAX32109.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2591],[protein_id=CAX32110.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1028],[protein_id=CAE21203.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2592_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2594_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2595],[protein_id=CAX32114.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1030],[protein_id=CAE21205.1],[gene=None],"[protein=possible Glucose-6-phosphate dehydrogenase, C-ter]"
[locus_tag=PMT_2596],[protein_id=CAX32115.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1031],[protein_id=CAE21206.1],[gene=clcD],[protein=Dienelactone hydrolase]
[locus_tag=PMT_1032],[protein_id=CAE21207.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_1033],[protein_id=CAE21208.1],[gene=None],[protein=possible Ets-domain]
[locus_tag=PMT_2597],[protein_id=CAX32116.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2598],[protein_id=CAX32117.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2599],[protein_id=CAX32118.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2600],[protein_id=CAX32119.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1035],[protein_id=CAE21210.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2601],[protein_id=CAX32120.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2602],[protein_id=CAX32121.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1038],[protein_id=CAE21213.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2603],[protein_id=CAX32122.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2604],[protein_id=CAX32123.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1039],[protein_id=CAE21214.1],[gene=None],"[protein=possible lactate/malate dehydrogenase, alpha/bet]"
[locus_tag=PMT_1040],[protein_id=CAE21215.1],[gene=None],[protein=possible Sema domain]
[locus_tag=PMT_1041],[protein_id=CAE21216.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_1042],[protein_id=CAE21217.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_1043],[protein_id=CAE21218.1],[gene=None],[protein=possible Domain of unknown function DUF38]
[locus_tag=PMT_1044],[protein_id=CAE21219.1],[gene=proP],"[protein=putative proline/betaine transporter, MFS family]"
[locus_tag=PMT_2605],[protein_id=CAX32124.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1045],[protein_id=CAE21220.1],[gene=None],[protein=possible Glyceraldehyde 3-phosphate dehydrogenase]
[locus_tag=PMT_2606_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2607],[protein_id=CAX32126.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2608],[protein_id=CAX32127.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2609_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2610],[protein_id=CAX32129.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2611],[protein_id=CAX32130.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1047],[protein_id=CAE21222.1],[gene=None],[protein=possible Trypsin and protease inhibitor]
[locus_tag=PMT_2612_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_1048],[protein_id=CAE21223.1],[gene=psbY],[protein=possible Photosystem II reaction center Y protein (PsbY)]
[locus_tag=PMT_1054],[protein_id=CAE21229.1],[gene=None],[protein=possible Ribosomal L29e protein family]
[locus_tag=PMT_2614],[protein_id=CAX32133.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2615],[protein_id=CAX32134.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2616],[protein_id=CAX32135.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1087],[protein_id=CAE21262.1],[gene=None],[protein=possible MFS family transporter]
[locus_tag=PMT_2618],[protein_id=CAX32137.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2619],[protein_id=CAX32138.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2620],[protein_id=CAX32139.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2621],[protein_id=CAX32140.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2622],[protein_id=CAX32141.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2623],[protein_id=CAX32142.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1106],[protein_id=CAE21281.1],[gene=None],[protein=possible Cytochrome C biogenesis protein trans]
[locus_tag=PMT_1113],[protein_id=CAE21288.1],[gene=None],[protein=possible Hepatitis C virus core protein]
[locus_tag=PMT_2624],[protein_id=CAX32143.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2625],[protein_id=CAX32144.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2626],[protein_id=CAX32145.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1115],[protein_id=CAE21290.1],[gene=None],"[protein=possible Transcription initiation factor IIA, gam]"
[locus_tag=PMT_2627],[protein_id=CAX32146.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1116],[protein_id=CAE21291.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2628_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_1117],[protein_id=CAE21292.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_1118],[protein_id=CAE21293.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMT_1119],[protein_id=CAE21294.1],[gene=None],[protein=possible HAMP domain]
[locus_tag=PMT_1130],[protein_id=CAE21305.1],[gene=petG],"[protein=Cytochrome b6/f complex, subunit V]"
[locus_tag=PMT_1137],[protein_id=CAE21312.1],[gene=None],[protein=SAM (and some other nucleotide) binding motif]
[locus_tag=PMT_1139],[protein_id=CAE21314.1],[gene=None],[protein=possible Glycosyl hydrolases family 32]
[locus_tag=PMT_1140],[protein_id=CAE21315.1],[gene=None],[protein=possible Protein kinase C terminal domain]
[locus_tag=PMT_2629_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2630],[protein_id=CAX32149.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1148],[protein_id=CAE21323.1],[gene=None],[protein=possible GatB/Yqey domain]
[locus_tag=PMT_1149],[protein_id=CAE21324.1],[gene=None],[protein=Type I antifreeze protein]
[locus_tag=PMT_1151],[protein_id=CAE21326.1],[gene=None],[protein=possible Phosphofructokinase]
[locus_tag=PMT_2632],[protein_id=CAX32151.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1152],[protein_id=CAE21327.1],[gene=hli9],[protein=possible high light inducible protein]
[locus_tag=PMT_1153],[protein_id=CAE21328.1],[gene=hli6],[protein=possible high light inducible protein]
[locus_tag=PMT_1154],[protein_id=CAE21329.1],[gene=hli8],[protein=possible high light inducible protein]
[locus_tag=PMT_2633_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_1158],[protein_id=CAE21333.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2636],[protein_id=CAX32155.1],[gene=None],[protein=cytochrome b6-F complex subunit VII]
[locus_tag=PMT_2637],[protein_id=CAX32156.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2638],[protein_id=CAX32157.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2639],[protein_id=CAX32158.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2640],[protein_id=CAX32159.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1185],[protein_id=CAE21360.1],[gene=None],[protein=possible Adenosine-deaminase (editase) domain]
[locus_tag=PMT_1186],[protein_id=CAE21361.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2641],[protein_id=CAX32160.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2642],[protein_id=CAX32161.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2643],[protein_id=CAX32162.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2644],[protein_id=CAX32163.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1210],[protein_id=None],[gene=trpF],[protein=hypothetical]
[locus_tag=PMT_2645],[protein_id=CAX32165.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1212],[protein_id=CAE21387.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_1213],[protein_id=CAE21388.1],[gene=sbtA],[protein=putative sodium-dependent bicarbonate transporter]
[locus_tag=PMT_1220],[protein_id=CAE21395.1],[gene=psaM],[protein=possible photosystem I reaction centre subunit XII (PsaM)]
[locus_tag=PMT_2646],[protein_id=CAX32166.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2647],[protein_id=CAX32167.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1222],[protein_id=None],[gene=None],[protein=hypothetical]
[locus_tag=PMT_1223],[protein_id=CAE21398.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2648],[protein_id=CAX32169.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2649],[protein_id=CAX32170.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2650],[protein_id=CAX32171.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2651],[protein_id=CAX32172.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2652],[protein_id=CAX32173.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2653],[protein_id=CAX32174.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2654_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2655],[protein_id=CAX32176.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2656],[protein_id=CAX32177.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2657],[protein_id=CAX32178.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1270],[protein_id=CAE21445.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2658],[protein_id=CAX32179.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2659],[protein_id=CAX32180.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2660],[protein_id=CAX32181.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1276],[protein_id=CAE21451.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMT_1277],[protein_id=CAE21452.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_1278],[protein_id=CAE21453.1],[gene=None],[protein=possible Paralytic/GBP/PSP peptide]
[locus_tag=PMT_1282],[protein_id=CAE21457.1],[gene=None],"[protein=possible Helix-turn-helix protein, copG family]"
[locus_tag=PMT_2661],[protein_id=CAX32182.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1285],[protein_id=CAE21460.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_1286],[protein_id=CAE21461.1],[gene=None],[protein=possible Glycosyl hydrolases family 11]
[locus_tag=PMT_2662],[protein_id=CAX32183.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2663],[protein_id=CAX32184.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2664],[protein_id=CAX32185.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2665],[protein_id=CAX32186.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2667],[protein_id=CAX32188.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2668_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_1299],[protein_id=CAE21474.1],[gene=None],[protein=Band 7 protein]
[locus_tag=PMT_1300],[protein_id=CAE21475.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2669],[protein_id=CAX32190.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2670_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2671],[protein_id=CAX32192.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1313],[protein_id=CAE21488.1],[gene=pilT2],[protein=homologous to PilT2 protein]
[locus_tag=PMT_1321],[protein_id=CAE21496.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2673],[protein_id=CAX32195.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2674],[protein_id=CAX32196.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2675],[protein_id=CAX32197.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1336],[protein_id=CAE21511.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2677],[protein_id=CAX32199.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1345],[protein_id=CAE21520.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_2678],[protein_id=CAX32200.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1362],[protein_id=CAE21537.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_1368],[protein_id=CAE21543.1],"[gene=rpl34,rpmH]",[protein=50S ribosomal protein L34]
[locus_tag=PMT_2679],[protein_id=CAX32201.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1382],[protein_id=CAE21557.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_1383],[protein_id=CAE21558.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2680],[protein_id=CAX32202.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2681],[protein_id=CAX32203.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2682],[protein_id=CAX32204.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2683],[protein_id=CAX32205.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1384],[protein_id=CAE21559.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_1385],[protein_id=CAE21560.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_1387],[protein_id=CAE21562.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_2684],[protein_id=CAX32206.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2685],[protein_id=CAX32207.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2686],[protein_id=CAX32208.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1389],[protein_id=CAE21564.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_1390],[protein_id=CAE21565.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2687],[protein_id=CAX32209.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2688],[protein_id=CAX32210.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2689],[protein_id=CAX32211.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1391],[protein_id=CAE21566.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_2690],[protein_id=CAX32212.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2691],[protein_id=CAX32213.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1393],[protein_id=CAE21568.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_2692],[protein_id=CAX32214.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2693],[protein_id=CAX32215.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2694],[protein_id=CAX32216.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2695],[protein_id=CAX32217.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2696],[protein_id=CAX32218.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2697],[protein_id=CAX32219.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2699],[protein_id=CAX32221.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2700],[protein_id=CAX32222.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2701],[protein_id=CAX32223.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2702],[protein_id=CAX32224.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2703],[protein_id=CAX32225.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2704],[protein_id=CAX32226.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2705_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2706],[protein_id=CAX32228.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2707],[protein_id=CAX32229.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2708],[protein_id=CAX32230.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2709],[protein_id=CAX32231.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1448],[protein_id=CAE21623.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_1453],[protein_id=CAE21628.1],[gene=None],[protein=Putative fructose-6-phosphate aldolase (FSA)]
[locus_tag=PMT_2710],[protein_id=CAX32232.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2711],[protein_id=CAX32233.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2712],[protein_id=CAX32234.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2713],[protein_id=CAX32235.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2714],[protein_id=CAX32236.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1457],[protein_id=CAE21632.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_1465],[protein_id=CAE21640.1],[gene=None],[protein=hypothetical protein]
[locus_tag=PMT_2715],[protein_id=CAX32237.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_2716],[protein_id=CAX32238.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2717],[protein_id=CAX32239.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1479],[protein_id=CAE21654.1],[gene=None],[protein=possible Extracellular link domain]
[locus_tag=PMT_2718],[protein_id=CAX32240.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1486],[protein_id=CAE21661.1],[gene=None],"[protein=possible multidrug efflux transporter, MFS family]"
[locus_tag=PMT_1487],[protein_id=CAE21662.1],[gene=None],[protein=putative DNA helicase]
[locus_tag=PMT_1492],[protein_id=CAE21667.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2720],[protein_id=CAX32242.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2721],[protein_id=CAX32243.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2722],[protein_id=CAX32244.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2724],[protein_id=CAX32246.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2725],[protein_id=CAX32247.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1513],[protein_id=CAE21688.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_1514],[protein_id=CAE21689.1],[gene=None],[protein=possible Neuromedin U]
[locus_tag=PMT_1515],[protein_id=CAE21690.1],[gene=None],[protein=Sulfatase]
[locus_tag=PMT_1516],[protein_id=CAE21691.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_1517],[protein_id=CAE21692.1],[gene=None],"[protein=possible ABC transporter, solute binding protein]"
[locus_tag=PMT_1518],[protein_id=CAE21693.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMT_1519],[protein_id=CAE21694.1],[gene=None],[protein=possible Iron-containing alcohol dehydrogenase]
[locus_tag=PMT_1520],[protein_id=CAE21695.1],[gene=aslB],[protein=putative arylsulfatase regulatory protein]
[locus_tag=PMT_2726],[protein_id=CAX32248.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1521],[protein_id=CAE21696.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_1522],[protein_id=CAE21697.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_1523],[protein_id=CAE21698.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMT_2727_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_1529],[protein_id=CAE21704.1],[gene=None],[protein=possible (AF261103) unknown [Myxococcus xanthus]
[locus_tag=PMT_2728_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2729],[protein_id=CAX32251.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1533],[protein_id=CAE21708.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2730],[protein_id=CAX32252.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1535],[protein_id=CAE21710.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2731],[protein_id=CAX32253.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1536],[protein_id=CAE21711.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMT_1541],[protein_id=CAE21716.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_1550],[protein_id=CAE21725.1],[gene=thyX],[protein=alternative thymidylate synthase]
[locus_tag=PMT_2732],[protein_id=CAX32254.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1552],[protein_id=CAE21727.1],[gene=None],"[protein=possible Helix-turn-helix protein, copG family]"
[locus_tag=PMT_2733],[protein_id=CAX32255.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1553],[protein_id=CAE21728.1],[gene=None],"[protein=possible sodium:solute symporter, ESS family]"
[locus_tag=PMT_2734],[protein_id=CAX32256.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_1556],[protein_id=CAE21731.1],[gene=None],[protein=possible Transthyretin precursor (formerly preal]
[locus_tag=PMT_2735],[protein_id=CAX32257.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2736],[protein_id=CAX32258.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1557],[protein_id=CAE21732.1],[gene=None],[protein=putative oxidoreductase]
[locus_tag=PMT_2737],[protein_id=CAX32259.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2738_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_2739],[protein_id=CAX32261.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2740],[protein_id=CAX32262.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2741],[protein_id=CAX32263.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2742],[protein_id=CAX32264.1],[gene=None],[protein=Hypothetical protein]
[locus_tag=PMT_2743],[protein_id=CAX32265.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMT_1561],[protein_id=CAE21736.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_2744_pseudo],[protein_id=None],[gene=None],[protein=None]
[locus_tag=PMT_1562],[protein_id=CAE21737.1],[gene=None],[protein=possible Carbamoyl-phosphate synthase small ch]
[locus_tag=PMT_1563],[protein_id=CAE21738.1],[gene=None],[protein=hypothetical]
[locus_tag=PMT_1566],[protein_id=CAE21741.1],[gene=None],[protein=hypothetical]
