[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=1.18003E-157]
[locus_tag=PMT_1233],[protein_id=CAE21408.1],[gene=None],"[protein=30S ribosomal protein S1 homolog B, putative Nbp1]",[locus_tag=PMM0530],[protein_id=CAE18989.1],[gene=None],"[protein=30S ribosomal protein S1 homolog B, putative Nbp1]",[evalue=3.33553E-154],[locus_tag=PMM0312],[protein_id=CAE18771.1],[gene=None],"[protein=30S ribosomal protein S1, homolog A]",[evalue=2.28582E-65]
[locus_tag=PMT_1234],[protein_id=CAE21409.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0529],[protein_id=CAE18988.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.14823E-106]
[locus_tag=PMT_1235],[protein_id=CAE21410.1],[gene=None],[protein=DUF152],[locus_tag=PMM0528],[protein_id=CAE18987.1],[gene=None],[protein=DUF152],[evalue=1.09338E-32]
[locus_tag=PMT_1238],[protein_id=CAE21413.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0527],[protein_id=CAE18986.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.65283E-23]
[locus_tag=PMT_1239],[protein_id=CAE21414.1],[gene=ilvB],[protein=acetolactate synthase],[locus_tag=PMM0526],[protein_id=CAE18985.1],[gene=ilvH],[protein=Acetolactate synthase large subunit],[evalue=0.00000E+00]
[locus_tag=PMT_1240],[protein_id=CAE21415.1],[gene=hemH],[protein=Ferrochelatase],[locus_tag=PMM0525],[protein_id=CAE18984.1],[gene=None],[protein=Ferrochelatase],[evalue=0.00000E+00]
[locus_tag=PMT_1241],[protein_id=CAE21416.1],[gene=None],[protein=phage integrase family],[locus_tag=PMM0524],[protein_id=CAE18983.1],[gene=None],[protein=Phage integrase family],[evalue=5.44728E-148]
[locus_tag=PMT_1243],[protein_id=CAE21418.1],[gene=cobO],[protein=None],[locus_tag=PMM0523],[protein_id=CAE18982.1],[gene=cobO],[protein=None],[evalue=1.30730E-95],[locus_tag=PMM1570],[protein_id=CAE20029.1],[gene=None],[protein=None],[evalue=5.41458E-18],[locus_tag=PMM1570],[protein_id=CAE20029.1],[gene=None],[protein=None],[evalue=6.08250E-18]
[locus_tag=PMT_1244],[protein_id=CAE21419.1],[gene=None],[protein=uridylate kinase],[locus_tag=PMM0522],[protein_id=CAE18981.1],[gene=None],[protein=uridylate kinase],[evalue=4.91720E-148]
[locus_tag=PMT_1245],[protein_id=CAE21420.1],[gene=None],[protein=Ribosome recycling factor],[locus_tag=PMM0521],[protein_id=CAE18980.1],[gene=None],[protein=Ribosome recycling factor],[evalue=6.91312E-96]
[locus_tag=PMT_1246],[protein_id=CAE21421.1],[gene=None],[protein=NAD binding site],[locus_tag=PMM0520],[protein_id=CAE18979.1],[gene=None],[protein=NAD binding site],[evalue=1.54729E-132]
[locus_tag=PMT_1247],[protein_id=CAE21422.1],[gene=None],[protein=None],[locus_tag=PMM0694],[protein_id=CAE19153.1],[gene=None],[protein=None],[evalue=1.03565E-95],[locus_tag=PMM0414],[protein_id=CAE18873.1],[gene=None],[protein=putative short chain dehydrogenase],[evalue=2.00818E-14]
[locus_tag=PMT_1248],[protein_id=CAE21423.1],[gene=tal],[protein=Transaldolase],[locus_tag=PMM0519],[protein_id=CAE18978.1],[gene=tal],[protein=Transaldolase],[evalue=1.64463E-147]
[locus_tag=PMT_1249],[protein_id=CAE21424.1],[gene=ftsI],[protein=None],[locus_tag=PMM0518],[protein_id=CAE18977.1],[gene=ftsI],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM0040],[protein_id=CAE18499.1],[gene=None],[protein=Putative penicillin-binding protein],[evalue=3.09135E-25]
[locus_tag=PMT_1251],[protein_id=CAE21426.1],[gene=None],[protein=Possible membrane associated protease],[locus_tag=PMM0516],[protein_id=CAE18975.1],[gene=None],[protein=Possible membrane associated protease],[evalue=1.93570E-97]
[locus_tag=PMT_1252],[protein_id=CAE21427.1],[gene=cobC],[protein=None],[locus_tag=PMM0515],[protein_id=CAE18974.1],[gene=cobC],[protein=None],[evalue=2.56783E-157]
[locus_tag=PMT_1253],[protein_id=CAE21428.1],[gene=None],[protein=putative dihydroorotase],[locus_tag=PMM0514],[protein_id=CAE18973.1],[gene=None],[protein=putative dihydroorotase],[evalue=4.11586E-97]
[locus_tag=PMT_1254],[protein_id=CAE21429.1],[gene=lepB],[protein=Signal peptidase I],[locus_tag=PMM0513],[protein_id=CAE18972.1],[gene=lepB],[protein=Signal peptidase I],[evalue=4.40567E-60],[locus_tag=PMM0606],[protein_id=CAE19065.1],[gene=lepB],[protein=leader peptidase I],[evalue=3.65020E-24]
[locus_tag=PMT_1256],[protein_id=CAE21431.1],[gene=None],[protein=putative arsenate reductase],[locus_tag=PMM0512],[protein_id=CAE18971.1],[gene=None],[protein=putative arsenate reductase],[evalue=5.67115E-28]
[locus_tag=PMT_1257],[protein_id=CAE21432.1],[gene=None],[protein=Inorganic pyrophosphatase],[locus_tag=PMM0511],[protein_id=CAE18970.1],[gene=None],[protein=Inorganic pyrophosphatase],[evalue=4.20719E-93],[locus_tag=PMM0494],[protein_id=CAE18953.1],[gene=None],[protein=putative inorganic pyrophosphatase],[evalue=2.77752E-27]
[locus_tag=PMT_1258],[protein_id=CAE21433.1],[gene=None],[protein=possible Helix-turn-helix domain of resolvase],[locus_tag=PMM0509],[protein_id=CAE18968.1],[gene=None],[protein=possible Helix-turn-helix domain of resolvase],[evalue=3.75264E-60]
[locus_tag=PMT_1259],[protein_id=CAE21434.1],[gene=None],[protein=None],[locus_tag=PMM0508],[protein_id=CAE18967.1],[gene=proS],[protein=Prolyl-tRNA synthetase],[evalue=0.00000E+00]
[locus_tag=PMT_1260],[protein_id=CAE21435.1],[gene=psb27],[protein=possible Photosystem II reaction center Psb27 protein],[locus_tag=PMM0507],[protein_id=CAE18966.1],[gene=psb27],[protein=possible Photosystem II reaction center Psb27 protein],[evalue=2.60486E-37]
[locus_tag=PMT_1261],[protein_id=CAE21436.1],[gene=None],[protein=Adenylosuccinate synthetase],[locus_tag=PMM0506],[protein_id=CAE18965.1],[gene=None],[protein=Adenylosuccinate synthetase],[evalue=0.00000E+00]
[locus_tag=PMT_1262],[protein_id=CAE21437.1],[gene=None],[protein=Possible carbohydrate kinase],[locus_tag=PMM0505],[protein_id=CAE18964.1],[gene=None],[protein=Possible carbohydrate kinase],[evalue=7.32759E-127]
[locus_tag=PMT_1263],[protein_id=CAE21438.1],[gene=None],[protein=CutA1 divalent ion tolerance protein],[locus_tag=PMM0504],[protein_id=CAE18963.1],[gene=None],[protein=CutA1 divalent ion tolerance protein],[evalue=3.99276E-11]
[locus_tag=PMT_1264],[protein_id=CAE21439.1],[gene=None],[protein=Precorrin-6x reductase CbiJ/CobK],[locus_tag=PMM0503],[protein_id=CAE18962.1],[gene=None],[protein=possible precorrin-6X reductase],[evalue=7.40253E-51]
[locus_tag=PMT_1265],[protein_id=CAE21440.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0502],[protein_id=CAE18961.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.19278E-42]
[locus_tag=PMT_1266],[protein_id=CAE21441.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0501],[protein_id=CAE18960.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.53229E-13]
[locus_tag=PMT_1267],[protein_id=CAE21442.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0500],[protein_id=CAE18959.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.91830E-55]
[locus_tag=PMT_1268],[protein_id=CAE21443.1],[gene=argB],[protein=None],[locus_tag=PMM0499],[protein_id=CAE18958.1],[gene=argB],[protein=None],[evalue=1.96883E-147]
[locus_tag=PMT_1269],[protein_id=CAE21444.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0498],[protein_id=CAE18957.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.76791E-19]
[locus_tag=PMT_1271],[protein_id=CAE21446.1],[gene=priA],[protein=None],[locus_tag=PMM0497],[protein_id=CAE18956.1],[gene=priA],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMT_1272],[protein_id=CAE21447.1],[gene=None],[protein=Putative principal RNA polymerase sigma factor],[locus_tag=PMM0496],[protein_id=CAE18955.1],[gene=None],[protein=Putative principal RNA polymerase sigma factor],[evalue=0.00000E+00],[locus_tag=PMM1289],[protein_id=CAE19748.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=1.27213E-86],[locus_tag=PMM1629],[protein_id=CAE20088.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=6.69412E-81]
[locus_tag=PMT_1273],[protein_id=CAE21448.1],[gene=hemC],[protein=Porphobilinogen deaminase],[locus_tag=PMM0495],[protein_id=CAE18954.1],[gene=hemC],[protein=Porphobilinogen deaminase],[evalue=2.01464E-166]
[locus_tag=PMT_1275],[protein_id=CAE21450.1],[gene=ppa],[protein=putative inorganic pyrophosphatase],[locus_tag=PMM0494],[protein_id=CAE18953.1],[gene=None],[protein=putative inorganic pyrophosphatase],[evalue=3.01393E-122],[locus_tag=PMM0511],[protein_id=CAE18970.1],[gene=None],[protein=Inorganic pyrophosphatase],[evalue=1.44500E-26]
[locus_tag=PMT_1279],[protein_id=CAE21454.1],[gene=cxp],[protein=None],[locus_tag=PMM0493],[protein_id=CAE18952.1],[gene=cxp],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMT_1280],[protein_id=CAE21455.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0423],[protein_id=CAE18882.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.84742E-38]
[locus_tag=PMT_1281],[protein_id=CAE21456.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0492],[protein_id=CAE18951.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.09370E-54]
[locus_tag=PMT_1283],[protein_id=CAE21458.1],[gene=None],[protein=None],[locus_tag=PMM0491],[protein_id=CAE18950.1],[gene=None],[protein=None],[evalue=4.79027E-27]
[locus_tag=PMT_1284],[protein_id=CAE21459.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0490],[protein_id=CAE18949.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.31867E-141],[locus_tag=PMM1033],[protein_id=CAE19492.1],[gene=None],[protein=Cobalamin synthesis protein/P47K],[evalue=8.11441E-62],[locus_tag=PMM0778],[protein_id=CAE19237.1],[gene=cobW],[protein=putative cobalamin synthesis protein],[evalue=5.51758E-30]
[locus_tag=PMT_1287],[protein_id=CAE21462.1],[gene=None],[protein=putative iron ABC transporter],[locus_tag=PMM0489],[protein_id=CAE18948.1],[gene=None],[protein=putative iron ABC transporter],[evalue=9.83916E-180]
[locus_tag=PMT_1290],[protein_id=CAE21465.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0488],[protein_id=CAE18947.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.83276E-38]
[locus_tag=PMT_1291],[protein_id=CAE21466.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0487],[protein_id=CAE18946.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.12084E-119]
[locus_tag=PMT_1292],[protein_id=CAE21467.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0486],[protein_id=CAE18945.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.15521E-50]
[locus_tag=PMT_1294],[protein_id=CAE21469.1],[gene=xthA],[protein=exodeoxyribonuclease III],[locus_tag=PMM0484],[protein_id=CAE18943.1],[gene=xthA],[protein=exodeoxyribonuclease III],[evalue=8.57882E-110]
[locus_tag=PMT_1296],[protein_id=CAE21471.1],[gene=None],"[protein=glutamate-1-semialdehyde 2,1-aminomutase]",[locus_tag=PMM0483],[protein_id=CAE18942.1],[gene=None],"[protein=glutamate-1-semialdehyde 2,1-aminomutase]",[evalue=0.00000E+00],[locus_tag=PMM1301],[protein_id=CAE19760.1],[gene=argD],[protein=N-acetylornithine aminotransferase],[evalue=4.41912E-27],[locus_tag=PMM1472],[protein_id=CAE19931.1],[gene=BioA],[protein=putative diaminopelargonic acid synthase],[evalue=1.47765E-15]
[locus_tag=PMT_1297],[protein_id=CAE21472.1],[gene=None],[protein=None],[locus_tag=PMM0946],[protein_id=CAE19405.1],[gene=gatA],[protein=None],[evalue=8.16103E-19]
[locus_tag=PMT_1298],[protein_id=CAE21473.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0481],[protein_id=CAE18940.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.40688E-67]
[locus_tag=PMT_1301],[protein_id=CAE21476.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0480],[protein_id=CAE18939.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.49152E-97]
[locus_tag=PMT_1302],[protein_id=CAE21477.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0479],[protein_id=CAE18938.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.41451E-163]
[locus_tag=PMT_1304],[protein_id=CAE21479.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0478],[protein_id=CAE18937.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.56168E-72]
[locus_tag=PMT_1305],[protein_id=CAE21480.1],[gene=map],[protein=putative methionine aminopeptidase],[locus_tag=PMM0477],[protein_id=CAE18936.1],[gene=map],[protein=putative methionine aminopeptidase],[evalue=2.42442E-152]
[locus_tag=PMT_1306],[protein_id=CAE21481.1],[gene=rpl19],[protein=Ribosomal protein L19],[locus_tag=PMM0475],[protein_id=CAE18934.1],[gene=rpl19],[protein=Ribosomal protein L19],[evalue=1.42155E-74]
[locus_tag=PMT_1307],[protein_id=CAE21482.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0474],[protein_id=CAE18933.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.38119E-40]
[locus_tag=PMT_1308],[protein_id=CAE21483.1],[gene=gltX],[protein=Glutamyl-tRNA synthetase],[locus_tag=PMM0473],[protein_id=CAE18932.1],[gene=gltX],[protein=Glutamyl-tRNA synthetase],[evalue=0.00000E+00]
[locus_tag=PMT_1309],[protein_id=CAE21484.1],[gene=None],[protein=None],[locus_tag=PMM0472],[protein_id=CAE18931.1],[gene=None],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMT_1311],[protein_id=CAE21486.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1367],[protein_id=CAE19826.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.12203E-33]
[locus_tag=PMT_1314],[protein_id=CAE21489.1],[gene=hli1],[protein=possible high light inducible protein],[locus_tag=PMM0471],[protein_id=CAE18930.1],[gene=hli20],[protein=possible high light inducible protein],[evalue=6.21211E-14]
[locus_tag=PMT_1315],[protein_id=CAE21490.1],[gene=None],[protein=probable o-sialoglycoprotein endopeptidase],[locus_tag=PMM0470],[protein_id=CAE18929.1],[gene=None],[protein=probable o-sialoglycoprotein endopeptidase],[evalue=1.10589E-151]
[locus_tag=PMT_1316],[protein_id=CAE21491.1],[gene=psaF],[protein=None],[locus_tag=PMM0469],[protein_id=CAE18928.1],[gene=psaF],[protein=None],[evalue=5.36312E-57]
[locus_tag=PMT_1317],[protein_id=CAE21492.1],[gene=psaJ],[protein=None],[locus_tag=PMM0468],[protein_id=CAE18927.1],[gene=psaJ],[protein=None],[evalue=1.08051E-15]
[locus_tag=PMT_2672],[protein_id=CAX32193.1],[gene=gmk],[protein=Guanylate kinase],[locus_tag=PMM0467],[protein_id=CAE18926.1],[gene=gmk],[protein=Guanylate kinase],[evalue=5.04173E-64]
[locus_tag=PMT_1318],[protein_id=None],[gene=gmk],[protein=Guanylate kinase],[locus_tag=PMM0467],[protein_id=CAE18926.1],[gene=gmk],[protein=Guanylate kinase],[evalue=1.78285E-64]
[locus_tag=PMT_1319],[protein_id=CAE21494.1],[gene=None],[protein=possible secreted protein MPB70 precursor],[locus_tag=PMM0466],[protein_id=CAE18925.1],[gene=None],[protein=possible secreted protein MPB70 precursor],[evalue=7.13310E-128]
[locus_tag=PMT_1320],[protein_id=CAE21495.1],[gene=None],"[protein=protein secretion component, Tat family]",[locus_tag=PMM0464],[protein_id=CAE18923.1],[gene=None],"[protein=protein secretion component, Tat family]",[evalue=1.74928E-95]
[locus_tag=PMT_1322],[protein_id=CAE21497.1],[gene=petC],[protein=Rieske iron-sulfur protein],[locus_tag=PMM0462],[protein_id=CAE18921.1],[gene=petC],[protein=Rieske iron-sulfur protein],[evalue=2.42573E-89]
[locus_tag=PMT_1323],[protein_id=CAE21498.1],[gene=petA],[protein=Cytochrome f],[locus_tag=PMM0461],[protein_id=CAE18920.1],[gene=petA],[protein=Cytochrome f],[evalue=2.23713E-160]
[locus_tag=PMT_1324],[protein_id=CAE21499.1],[gene=None],[protein=putative prolipoprotein diacylglyceryl transferase],[locus_tag=PMM0460],[protein_id=CAE18919.1],[gene=None],[protein=putative prolipoprotein diacylglyceryl transferase],[evalue=9.40152E-112]
[locus_tag=PMT_1325],[protein_id=CAE21500.1],[gene=cobM],[protein=PUTATIVE PRECORRIN-4 C11-METHYLTRANSFERASE],[locus_tag=PMM0459],[protein_id=CAE18918.1],[gene=cobM],[protein=PUTATIVE PRECORRIN-4 C11-METHYLTRANSFERASE],[evalue=1.55099E-100],[locus_tag=PMM1694],[protein_id=CAE20153.1],[gene=cobA],[protein=putative uroporphyrin-III C-methyltransferase],[evalue=1.99783E-16]
[locus_tag=PMT_1326],[protein_id=CAE21501.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0458],[protein_id=CAE18917.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.41363E-22]
[locus_tag=PMT_1327],[protein_id=CAE21502.1],[gene=ppx],[protein=putative exopolyphosphatase],[locus_tag=PMM0457],[protein_id=CAE18916.1],[gene=ppx],[protein=putative exopolyphosphatase],[evalue=0.00000E+00]
[locus_tag=PMT_1328],[protein_id=CAE21503.1],[gene=ubiA],[protein=probable 4-hydroxybenzoate-octaprenyltransferase],[locus_tag=PMM0456],[protein_id=CAE18915.1],[gene=ubiA],[protein=probable 4-hydroxybenzoate-octaprenyltransferase],[evalue=2.16961E-97]
[locus_tag=PMT_1329],[protein_id=CAE21504.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0455],[protein_id=CAE18914.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.94342E-86]
[locus_tag=PMT_1330],[protein_id=CAE21505.1],[gene=ispD],[protein=putative 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase],[locus_tag=PMM0454],[protein_id=CAE18913.1],[gene=ispD],[protein=putative 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase],[evalue=1.50848E-87]
[locus_tag=PMT_1332],[protein_id=CAE21507.1],[gene=None],"[protein=putative potassium channel, VIC family]",[locus_tag=PMM0704],[protein_id=CAE19163.1],[gene=None],"[protein=putative potassium channel, VIC family]",[evalue=2.07814E-146]
[locus_tag=PMT_1333],[protein_id=CAE21508.1],[gene=fabG],[protein=None],[locus_tag=PMM0453],[protein_id=CAE18912.1],[gene=fabG],[protein=None],[evalue=4.71311E-107],[locus_tag=PMM0535],[protein_id=CAE18994.1],[gene=None],[protein=putative short-chain dehydrogenase],[evalue=1.34230E-22],[locus_tag=PMM1361],[protein_id=CAE19820.1],[gene=None],[protein=None],[evalue=4.35019E-12]
[locus_tag=PMT_2676],[protein_id=CAX32198.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1850],[protein_id=CAP16354.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.66260E-23]
[locus_tag=PMT_1334],[protein_id=CAE21509.1],[gene=None],[protein=None],[locus_tag=PMM0452],[protein_id=CAE18911.1],[gene=None],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM1436],[protein_id=CAE19895.1],[gene=groEL],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMT_1337],[protein_id=CAE21512.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[locus_tag=PMM0450],[protein_id=CAE18909.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=2.93621E-127]
[locus_tag=PMT_1338],[protein_id=CAE21513.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[locus_tag=PMM0449],[protein_id=CAE18908.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=3.70121E-151],[locus_tag=PMM0976],[protein_id=CAE19435.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=2.31704E-27],[locus_tag=PMM0764],[protein_id=CAE19223.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]",[evalue=3.55174E-27]
[locus_tag=PMT_1339],[protein_id=CAE21514.1],[gene=ctaB],[protein=putative protoheme IX farnesyltransferase],[locus_tag=PMM0448],[protein_id=CAE18907.1],[gene=ctaB],[protein=putative protoheme IX farnesyltransferase],[evalue=8.39175E-155]
[locus_tag=PMT_1340],[protein_id=CAE21515.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0447],[protein_id=CAE18906.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.05743E-82]
[locus_tag=PMT_1341],[protein_id=CAE21516.1],[gene=None],"[protein=putative cytochrome c oxidase, subunit II]",[locus_tag=PMM0446],[protein_id=CAE18905.1],[gene=None],"[protein=putative cytochrome c oxidase, subunit 2]",[evalue=3.46345E-111]
[locus_tag=PMT_1342],[protein_id=CAE21517.1],[gene=None],"[protein=Cytochrome c oxidase, subunit I]",[locus_tag=PMM0445],[protein_id=CAE18904.1],[gene=None],"[protein=Cytochrome c oxidase, subunit I]",[evalue=0.00000E+00]
[locus_tag=PMT_1343],[protein_id=CAE21518.1],[gene=None],"[protein=Cytochrome c oxidase, subunit III]",[locus_tag=PMM0444],[protein_id=CAE18903.1],[gene=ctaE],"[protein=Cytochrome c oxidase, subunit III]",[evalue=1.37913E-101]
[locus_tag=PMT_1344],[protein_id=CAE21519.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0443],[protein_id=CAE18902.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.06194E-59],[locus_tag=PMM0573],[protein_id=CAE19032.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.54646E-15]
[locus_tag=PMT_1346],[protein_id=CAE21521.1],[gene=ribE],[protein=Putative Riboflavin synthase alpha chain],[locus_tag=PMM0442],[protein_id=CAE18901.1],[gene=ribE],[protein=Putative Riboflavin synthase alpha chain],[evalue=2.35788E-75]
[locus_tag=PMT_1348],[protein_id=CAE21523.1],[gene=None],[protein=None],[locus_tag=PMM0441],[protein_id=CAE18900.1],[gene=None],[protein=Aldo/keto reductase family],[evalue=1.79372E-139],[locus_tag=PMM1476],[protein_id=CAE19935.1],[gene=None],[protein=Aldo/keto reductase family],[evalue=6.50715E-52]
[locus_tag=PMT_1349],[protein_id=CAE21524.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0440],[protein_id=CAE18899.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.29108E-61]
[locus_tag=PMT_1350],[protein_id=CAE21525.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0439],[protein_id=CAE18898.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.66432E-102]
[locus_tag=PMT_1351],[protein_id=CAE21526.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0438],[protein_id=CAE18897.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.74498E-74]
[locus_tag=PMT_1353],[protein_id=CAE21528.1],[gene=topA],[protein=Prokaryotic DNA topoisomerase],[locus_tag=PMM0436],[protein_id=CAE18895.1],[gene=topA],[protein=Prokaryotic DNA topoisomerase],[evalue=0.00000E+00]
[locus_tag=PMT_1354],[protein_id=CAE21529.1],[gene=ndhB],[protein=None],[locus_tag=PMM0435],[protein_id=CAE18894.1],[gene=ndhB],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM0150],[protein_id=CAE18609.1],[gene=ndhD],[protein=None],[evalue=5.91073E-16],[locus_tag=PMM0149],[protein_id=CAE18608.1],[gene=ndhF],[protein=None],[evalue=2.58674E-15]
[locus_tag=PMT_1355],[protein_id=CAE21530.1],[gene=None],"[protein=possible ABC transporter, ATP binding protein]",[locus_tag=PMM0434],[protein_id=CAE18893.1],[gene=None],"[protein=possible ABC transporter, ATP binding protein]",[evalue=3.37561E-118],[locus_tag=PMM0750],[protein_id=CAE19209.1],[gene=None],"[protein=ABC transporter, ATP-binding component]",[evalue=9.63627E-38],[locus_tag=PMM0372],[protein_id=CAE18831.1],[gene=None],[protein=putative cyanate ABC transporter],[evalue=7.82913E-32]
[locus_tag=PMT_1356],[protein_id=CAE21531.1],[gene=None],[protein=Response regulator receiver domain],[locus_tag=PMM0705],[protein_id=CAE19164.1],[gene=phoB],"[protein=two-component response regulator, phosphate]",[evalue=1.24769E-15],[locus_tag=PMM1619],[protein_id=CAE20078.1],[gene=None],[protein=two-component response regulator],[evalue=1.91544E-12],[locus_tag=PMM0128],[protein_id=CAE18587.1],[gene=rpaA],[protein=two-component response regulator],[evalue=2.92672E-11]
[locus_tag=PMT_1357],[protein_id=CAE21532.1],[gene=None],[protein=two-component response regulator],[locus_tag=PMM0705],[protein_id=CAE19164.1],[gene=phoB],"[protein=two-component response regulator, phosphate]",[evalue=8.26112E-51],[locus_tag=PMM0134],[protein_id=CAE18593.1],[gene=rpaB],[protein=two-component response regulator],[evalue=3.96204E-42],[locus_tag=PMM1619],[protein_id=CAE20078.1],[gene=None],[protein=two-component response regulator],[evalue=1.49793E-41]
[locus_tag=PMT_1359],[protein_id=CAE21534.1],[gene=BirA],[protein=putative Biotin--acetyl-CoA-carboxylase ligase],[locus_tag=PMM0433],[protein_id=CAE18892.1],[gene=BirA],[protein=putative Biotin--acetyl-CoA-carboxylase ligase],[evalue=6.83787E-57]
[locus_tag=PMT_1360],[protein_id=CAE21535.1],[gene=None],[protein=Aminotransferases class-I],[locus_tag=PMM1500],[protein_id=CAE19959.1],[gene=None],[protein=putative aminotransferase],[evalue=7.61542E-20],[locus_tag=PMM0674],[protein_id=CAE19133.1],[gene=aspC],[protein=Aminotransferases class-I],[evalue=5.09058E-15]
[locus_tag=PMT_1362],[protein_id=CAE21537.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0432],[protein_id=CAE18891.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.97513E-38]
[locus_tag=PMT_1363],[protein_id=CAE21538.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1177],[protein_id=CAE19636.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMT_1364],[protein_id=CAE21539.1],[gene=None],"[protein=putative SMR family transporter, possible pecM homologue]",[locus_tag=PMM1179],[protein_id=CAE19638.1],[gene=None],"[protein=putative SMR family transporter, possible pecM homologue]",[evalue=7.63618E-127]
[locus_tag=PMT_1365],[protein_id=CAE21540.1],[gene=sppA],[protein=None],[locus_tag=PMM1180],[protein_id=CAE19639.1],[gene=sppA],[protein=None],[evalue=3.56592E-120]
[locus_tag=PMT_1366],[protein_id=CAE21541.1],[gene=tyrA],[protein=Chorismate mutase],[locus_tag=PMM1181],[protein_id=CAE19640.1],[gene=tyrA],[protein=Chorismate mutase],[evalue=1.01398E-43]
